ID,Status,Uptime,Country,Location,Ships,Distinct,,,,,,,,,,,
3038,,"100,00 %", Greece,Piraeus,346,0,,,,,,,,,,,
3979,,"100,00 %", Netherlands,Hellevoetsluis,341,3,,,,,,,,,,,
3943,,"100,00 %", Korea,Busan,335,215,,,,,,,,,,,
3182,,"47,00 %", United States of America,Seattle,320,41,,,,,,,,,,,
3808,,"100,00 %", Singapore,Singapore,319,64,,,,,,,,,,,
2413,,"81,00 %", Germany,Hamburg Alster,314,1,,,,,,,,,,,
2011,,"100,00 %", Sweden,Gothenburg,307,0,,,,,,,,,,,
2744,,"100,00 %", United States of America,Seattle,305,15,,,,,,,,,,,
2164,,"100,00 %", Sweden,Goteborg, West Coast,304,,,,,,,,,,,
2475,,"100,00 %", Netherlands,Poortugaal,303,1,,,,,,,,,,,
2672,,"100,00 %", United States of America,Highlands,295,26,,,,,,,,,,,
3857,,"100,00 %", Germany,Hamburg,287,0,,,,,,,,,,,
2484,,"93,00 %", United States of America,Biscayne Bay PS - Miami FL,287,57,,,,,,,,,,,
2292,,"100,00 %", Belgium,Gent,285,188,,,,,,,,,,,
2954,,"100,00 %", France,Sophia Antipolis, MINES Paristech,284,,,,,,,,,,,
2650,,"100,00 %", United States of America,Sabine Pass, TX,280,,,,,,,,,,,
2843,,"100,00 %", United Kingdom,Gravesend,279,57,,,,,,,,,,,
2249,,"100,00 %", United States of America,San Diego,183,46,,,,,,,,,,,
3715,,"100,00 %", Spain,Valencia,182,60,,,,,,,,,,,
3029,,"100,00 %", Netherlands,Rockanje,181,12,,,,,,,,,,,
2724,,"100,00 %", Australia,North Ryde, NSW,180,,,,,,,,,,,
3665,,"100,00 %", Sweden,Stockholm,180,78,,,,,,,,,,,
3681,,"100,00 %", United States of America,Seattle,175,0,,,,,,,,,,,
2981,,"100,00 %", Belgium,Oostende,171,0,,,,,,,,,,,
2270,,"100,00 %", Saint Martin (FR),Simpson Bay,171,9,,,,,,,,,,,
3240,,"86,00 %", Netherlands,Huizen,169,22,,,,,,,,,,,
2726,,"100,00 %", United States of America,Seattle,169,0,,,,,,,,,,,
3965,,"100,00 %", Italy,Genoa,168,11,,,,,,,,,,,
3443,,"100,00 %", United States of America,Seattle,166,0,,,,,,,,,,,
2178,,"100,00 %", France,Rouen,163,0,,,,,,,,,,,
2737,,"100,00 %", Germany,Hamburg,162,1,,,,,,,,,,,
2831,,"96,00 %", Netherlands,Delft,162,0,,,,,,,,,,,
2602,,"100,00 %", Spain,Castelldefels,161,51,,,,,,,,,,,
3455,,"100,00 %", United States of America,Los Angeles,158,78,,,,,,,,,,,
2112,,"100,00 %", Netherlands,Harlingen,157,83,,,,,,,,,,,
3984,,"100,00 %", Norway,Tromsoe,156,28,,,,,,,,,,,
2489,,"100,00 %", Italy,Genoa,156,5,,,,,,,,,,,
3459,,"100,00 %", Belgium,Oostende,156,3,,,,,,,,,,,
2857,,"100,00 %", Canada,Vancouver,153,0,,,,,,,,,,,
2372,,"100,00 %", Canada,Vancouver,153,3,,,,,,,,,,,
2355,,"100,00 %", Sweden,Torslanda, Gothenburg ,151,,,,,,,,,,,
3632,,"100,00 %", Singapore,Singapore,151,2,,,,,,,,,,,
3392,,"100,00 %", Germany,Lienen,148,19,,,,,,,,,,,
3335,,"100,00 %", Netherlands,Genderen,146,48,,,,,,,,,,,
2029,,"91,00 %", Netherlands,Den Oever,145,74,,,,,,,,,,,
2541,,"94,00 %", Viet Nam,Haiphong,144,72,,,,,,,,,,,
2797,,"100,00 %", United States of America,Signal Hill,144,8,,,,,,,,,,,
2338,,"100,00 %", United Arab Emirates,Ansam,144,109,,,,,,,,,,,
2426,,"100,00 %", United States of America,San Francisco Bay,143,33,,,,,,,,,,,
2955,,"100,00 %", Canada,Bowen Island,143,0,,,,,,,,,,,
2042,,"100,00 %", Canada,Vancouver,142,4,,,,,,,,,,,
3824,,"82,00 %", United States of America,Miami, FL,142,,,,,,,,,,,
3203,,"100,00 %", Greece,Athens,142,9,,,,,,,,,,,
2460,,"100,00 %", Denmark,Nivå,141,13,,,,,,,,,,,
2940,,"87,00 %", Australia,Thornlands, Queensland,140,,,,,,,,,,,
2505,,"100,00 %", Sweden,Göteborg,140,0,,,,,,,,,,,
3023,,"100,00 %", Netherlands,Rozenburg,140,0,,,,,,,,,,,
3135,,"100,00 %", Netherlands,Koog aan de Zaan,139,7,,,,,,,,,,,
3354,,"100,00 %", Australia,Port Hedland,139,60,,,,,,,,,,,
2281,,"100,00 %", Portugal,Sines,138,95,,,,,,,,,,,
3377,,"100,00 %", United Kingdom,Gosport,138,7,,,,,,,,,,,
2221,,"100,00 %", Norway,Stavanger,137,19,,,,,,,,,,,
2610,,"100,00 %", Germany,Kiel,137,39,,,,,,,,,,,
3207,,"100,00 %", Thailand,Bangkok,137,2,,,,,,,,,,,
3537,,"100,00 %", Poland,Bolesławiec,136,6,,,,,,,,,,,
2305,,"100,00 %", United States of America,Florida, Fort Lauderdale,136,,,,,,,,,,,
3322,,"100,00 %", Korea,Busan,135,8,,,,,,,,,,,
3836,,"0,00 %", Indonesia,Batam,135,18,,,,,,,,,,,
2443,,"100,00 %", Netherlands,Julianadorp,134,9,,,,,,,,,,,
3376,,"100,00 %", United States of America,San Francisco,133,14,,,,,,,,,,,
3412,,"100,00 %", Netherlands,Rotterdam,133,0,,,,,,,,,,,
2291,,"100,00 %", Germany,Bremerhaven,132,2,,,,,,,,,,,
2350,,"100,00 %", Netherlands,Delfzijl,132,85,,,,,,,,,,,
3317,,"100,00 %", Netherlands,Veere,132,8,,,,,,,,,,,
2102,,"100,00 %", France,Antibes,130,0,,,,,,,,,,,
2278,,"100,00 %", Argentina,Mar del Plata,130,130,,,,,,,,,,,
2035,,"100,00 %", United States of America,Seattle,130,119,,,,,,,,,,,
3673,,"100,00 %", Spain,Barcelona,130,39,,,,,,,,,,,
2087,,"100,00 %", Germany,Duisburg,128,111,,,,,,,,,,,
3142,,"100,00 %", Unknown,Roaming station,128,0,,,,,,,,,,,
2076,,"100,00 %", Spain,Murcia,126,89,,,,,,,,,,,
3358,,"100,00 %", Sweden,Gothenburg,126,0,,,,,,,,,,,
3299,,"97,00 %", Netherlands,Zwijndrecht,126,20,,,,,,,,,,,
2457,,"100,00 %", Germany,Madgeburg,126,18,,,,,,,,,,,
2464,,"100,00 %", Germany,Wentorf,125,0,,,,,,,,,,,
2369,,"100,00 %", United States of America,Seattle,125,2,,,,,,,,,,,
3046,,"91,00 %", Taiwan (Province of China),Keelung, National Taiwan Ocean University,124,,,,,,,,,,,
2384,,"100,00 %", Norway,Kristiansund,123,16,,,,,,,,,,,
2388,,"100,00 %", Finland,Finland,122,75,,,,,,,,,,,
2963,,"92,00 %", United States of America,Anacortes, WA,121,,,,,,,,,,,
2554,,"100,00 %", Netherlands,Gorinchem,121,26,,,,,,,,,,,
2512,,"100,00 %", Canada,Quadra Island,121,62,,,,,,,,,,,
2747,,"100,00 %", Germany,Wilhelmshaven,121,15,,,,,,,,,,,
3682,,"100,00 %", France,UK,120,14,,,,,,,,,,,
3630,,"89,00 %", Australia,Cape Lambert,120,42,,,,,,,,,,,
2523,,"100,00 %", Netherlands,Middenbeemster,118,0,,,,,,,,,,,
2139,,"100,00 %", Denmark,Islands Brygge,117,34,,,,,,,,,,,
3400,,"100,00 %", Philippines,Paranaque,117,114,,,,,,,,,,,
3597,,"100,00 %", United States of America,Hampton Virginia,117,61,,,,,,,,,,,
3198,,"100,00 %", Norway,Jeloy, Moss,117,,,,,,,,,,,
3428,,"100,00 %", Spain,Valencia,117,0,,,,,,,,,,,
2950,,"76,00 %", United States of America,Anacortes, WA,115,,,,,,,,,,,
2770,,"100,00 %", New Zealand,Marlborough Sounds,114,88,,,,,,,,,,,
3479,,"100,00 %", United States of America,San Diego,111,15,,,,,,,,,,,
2473,,"100,00 %", Norway,Oslofjord, Fulehuk Lighthouse,111,,,,,,,,,,,
2481,,"100,00 %", Finland,Vaasa,109,3,,,,,,,,,,,
2975,,"100,00 %", Turkey,Fethiye,109,97,,,,,,,,,,,
2335,,"100,00 %", France,Le Havre,109,2,,,,,,,,,,,
3933,,"100,00 %", United Kingdom,Bursledon, Solent,108,,,,,,,,,,,
2886,,"100,00 %", Netherlands,Maassluis,108,0,,,,,,,,,,,
2093,,"100,00 %", France,Rouen,107,2,,,,,,,,,,,
2559,,"100,00 %", Netherlands,Nijmegen,107,3,,,,,,,,,,,
2334,,"93,00 %", Russian Federation,Ust-Luga,107,91,,,,,,,,,,,
2912,,"82,00 %", Belgium,Zeebruge,105,16,,,,,,,,,,,
2731,,"100,00 %", Ukraine,Kyiv,104,0,,,,,,,,,,,
2649,,"100,00 %", United Kingdom,Southampton,103,5,,,,,,,,,,,
2163,,"100,00 %", Australia,Koumala,102,59,,,,,,,,,,,
2117,,"100,00 %", Indonesia,Bintulu, Sarawak,101,,,,,,,,,,,
3168,,"98,00 %", Poland,Gdańsk,101,5,,,,,,,,,,,
2757,,"100,00 %", United States of America,New Orleans,100,100,,,,,,,,,,,
2018,,"100,00 %", United Kingdom,Cowes,100,15,,,,,,,,,,,
3269,,"100,00 %", Netherlands,Bergen op Zoom,100,16,,,,,,,,,,,
2708,,"100,00 %", United Kingdom,Fareham,96,3,,,,,,,,,,,
3950,,"100,00 %", Netherlands,Amsterdam,96,2,,,,,,,,,,,
2817,,"90,00 %", Netherlands,WSV de Kogge,96,9,,,,,,,,,,,
2923,,"100,00 %", Denmark,Lemvig,96,96,,,,,,,,,,,
2718,,"100,00 %", Unknown,Roaming station,95,21,,,,,,,,,,,
3254,,"100,00 %", Netherlands,Emmeloord,93,5,,,,,,,,,,,
2607,,"100,00 %", Unknown,Roaming station,93,3,,,,,,,,,,,
3660,,"94,00 %", Australia,Roaming station,92,60,,,,,,,,,,,
2502,,"100,00 %", Australia,Scarborough,91,39,,,,,,,,,,,
3634,,"100,00 %", Italy,Udine,91,8,,,,,,,,,,,
2136,,"100,00 %", Netherlands,NW_Overijssel ,91,19,,,,,,,,,,,
2845,,"100,00 %", Germany,Cuxhaven,90,85,,,,,,,,,,,
3093,,"100,00 %", Cyprus,Limassol,89,50,,,,,,,,,,,
2807,,"100,00 %", Germany,Bremerhaven,89,0,,,,,,,,,,,
2127,,"100,00 %", Netherlands,Rotterdam,88,0,,,,,,,,,,,
2548,,"100,00 %", Netherlands,Poortugaal,88,0,,,,,,,,,,,
3296,,"100,00 %", Norway,Stavanger,87,12,,,,,,,,,,,
3329,,"100,00 %", United Kingdom,Plymouth,87,41,,,,,,,,,,,
2474,,"100,00 %", United Kingdom,Gosport,87,0,,,,,,,,,,,
3445,,"0,00 %", United Kingdom,Minster On Sea,87,0,,,,,,,,,,,
2976,,"100,00 %", Canada,Vancouver,86,1,,,,,,,,,,,
3752,,"100,00 %", Japan,Tokyo,86,86,,,,,,,,,,,
3234,,"100,00 %", France,L'Epine,86,36,,,,,,,,,,,
2061,,"100,00 %", Belgium,Ostend,85,0,,,,,,,,,,,
3212,,"100,00 %", Netherlands,Maarssenbroek,85,27,,,,,,,,,,,
2641,,"100,00 %", Germany,Hooksiel,85,27,,,,,,,,,,,
3024,,"100,00 %", Japan,Katsuura, Chiba,84,,,,,,,,,,,
2813,,"100,00 %", Canada,Vancouver,84,4,,,,,,,,,,,
2720,,"100,00 %", Spain,Vigo Bay,84,23,,,,,,,,,,,
2899,,"100,00 %", Germany,Berlin,82,60,,,,,,,,,,,
2511,,"100,00 %", South Africa,Cape Town,81,20,,,,,,,,,,,
2697,,"100,00 %", United States of America,Bremerton, WA,80,,,,,,,,,,,
2463,,"100,00 %", Canada,Prince Rupert,80,1,,,,,,,,,,,
2344,,"100,00 %", Slovenia,Koper,80,5,,,,,,,,,,,
3589,,"100,00 %", Norway,Tomasjord,79,0,,,,,,,,,,,
3473,,"100,00 %", Netherlands,Breskens,79,0,,,,,,,,,,,
2593,,"100,00 %", Canada,Prince Rupert,79,0,,,,,,,,,,,
3593,,"100,00 %", Germany,Rostock,79,50,,,,,,,,,,,
3526,,"100,00 %", United Arab Emirates,Abu Dhabi,79,36,,,,,,,,,,,
2422,,"100,00 %", Australia,Collaroy Plateau,79,58,,,,,,,,,,,
2812,,"100,00 %", United States of America,San Francisco,79,65,,,,,,,,,,,
2648,,"100,00 %", United Kingdom,London,78,4,,,,,,,,,,,
3423,,"100,00 %", Germany,Oldendorf,77,19,,,,,,,,,,,
2180,,"100,00 %", France,Rouen,77,0,,,,,,,,,,,
2365,,"100,00 %", New Zealand,Auckland,77,5,,,,,,,,,,,
2180,,"100,00 %", France,Rouen,77,0,,,,,,,,,,,
3423,,"100,00 %", Germany,Oldendorf,77,19,,,,,,,,,,,
2892,,"100,00 %", Netherlands,Duiven,76,21,,,,,,,,,,,
3147,,"100,00 %", Norway,Tromsø,76,0,,,,,,,,,,,
3258,,"53,00 %", Viet Nam,Haiphong,76,5,,,,,,,,,,,
2655,,"100,00 %", Netherlands,Sliedrecht,75,44,,,,,,,,,,,
2586,,"100,00 %", Norway,Jeloy, Moss,75,,,,,,,,,,,
2825,,"100,00 %", United Kingdom,Alton,75,11,,,,,,,,,,,
2791,,"100,00 %", United States of America,Florida, Tampa,75,,,,,,,,,,,
2137,,"100,00 %", Germany,Bremen,75,3,,,,,,,,,,,
2701,,"100,00 %", Australia,O'Connor,74,58,,,,,,,,,,,
2959,,"100,00 %", Spain,Valencia,73,0,,,,,,,,,,,
2804,,"100,00 %", Norway,Oslo,73,2,,,,,,,,,,,
2279,,"98,00 %", Australia,Minyama Sunshine Coast QLD,73,58,,,,,,,,,,,
2537,,"100,00 %", United States of America,Savannah, Georgia,72,,,,,,,,,,,
3077,,"100,00 %", Germany,Kiel,72,0,,,,,,,,,,,
2289,,"98,00 %", France,Six Fours Les Plages,72,71,,,,,,,,,,,
2741,,"100,00 %", United States of America,Stanford,72,7,,,,,,,,,,,
3176,,"100,00 %", Sweden,Näsudden Ingarö,72,6,,,,,,,,,,,
2135,,"100,00 %", United States of America,Wilmington, CA,72,,,,,,,,,,,
2821,,"100,00 %", Canada,Burnaby,71,0,,,,,,,,,,,
3287,,"100,00 %", Netherlands,Renesse,71,5,,,,,,,,,,,
2347,,"100,00 %", Netherlands,The Hague,71,0,,,,,,,,,,,
2277,,"100,00 %", United States of America,Dania Beach - Florida,71,6,,,,,,,,,,,
2652,,"100,00 %", Germany,Hamburg,70,0,,,,,,,,,,,
2379,,"100,00 %", Netherlands,Zeist,70,27,,,,,,,,,,,
3939,,"100,00 %", France,Nice,70,3,,,,,,,,,,,
3193,,"100,00 %", United Kingdom,Aberdeenshire,70,35,,,,,,,,,,,
3141,,"100,00 %", Netherlands,Harkstede,69,29,,,,,,,,,,,
3845,,"100,00 %", United States of America,Bellingham, WA,69,,,,,,,,,,,
2380,,"100,00 %", Finland,Helsinki,69,23,,,,,,,,,,,
3842,,"100,00 %", United Kingdom,Brighton,69,38,,,,,,,,,,,
3544,,"100,00 %", Sweden,Gothenburg,69,0,,,,,,,,,,,
3721,,"100,00 %", Norway,Bergen,68,4,,,,,,,,,,,
3840,,"100,00 %", Denmark,Røsnæs Fyr,68,51,,,,,,,,,,,
3152,,"96,00 %", Belgium,Zeebrugge,68,40,,,,,,,,,,,
2199,,"100,00 %", United States of America,Vicksburg,68,68,,,,,,,,,,,
3457,,"100,00 %", United States of America,Stephensville, Louisiana,68,,,,,,,,,,,
2716,,"100,00 %", United Kingdom,Gosport,68,4,,,,,,,,,,,
2116,,"100,00 %", United States of America,Eastport, Annapolis, MD,,,,,,,,,,,"60,00 %"
3809,,"100,00 %", United States of America,Norfolk VA,67,19,,,,,,,,,,,
2719,,"100,00 %", Lithuania,Klaipeda,67,67,,,,,,,,,,,
2771,,"100,00 %", Netherlands,West-Terschelling,66,36,,,,,,,,,,,
3136,,"100,00 %", Norway,Bergen,66,2,,,,,,,,,,,
3143,,"100,00 %", United States of America,Houston, Texas,66,,,,,,,,,,,
3674,,"100,00 %", United States of America,Seattle, WA,66,,,,,,,,,,,
3497,,"100,00 %", Denmark,Rødby,66,3,,,,,,,,,,,
3004,,"92,00 %", Slovenia,Izola,65,5,,,,,,,,,,,
2043,,"95,00 %", Poland,Szczecin-Golecin,64,35,,,,,,,,,,,
2273,,"98,00 %", Netherlands,Rotterdam,64,0,,,,,,,,,,,
2043,,"95,00 %", Poland,Szczecin-Golecin,64,35,,,,,,,,,,,
