ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor,,
2726,,"100,00 %", United States of America,Seattle,162,0, ,,
3681,,"100,00 %", United States of America,Seattle,161,0, ,,
2088,,"95,00 %", Singapore,Singapore,161,0, ,,
2344,,"100,00 %", Slovenia,Koper,161,51, ,,
3203,,"94,00 %", Greece,Athens,160,6, ,,
3392,,"100,00 %", Germany,Lienen,160,22, ,,
3537,,"100,00 %", Poland,Bolesławiec,158,4, ,,
2981,,"100,00 %", Belgium,Oostende,157,14, ,,
2338,,"100,00 %", United Arab Emirates,Ansam,157,106, ,,
2737,,"100,00 %", Germany,Hamburg,157,1, ,,
2029,,"100,00 %", Netherlands,Den Oever,157,37, ,,
2826,,"96,00 %", Unknown,Roaming station,155,152, ,,
3240,,"100,00 %", Netherlands,Huizen,153,22, ,,
3156,,"100,00 %", Greece,Athens,152,2, ,,
2602,,"100,00 %", Spain,Castelldefels,151,57, ,,
2281,,"100,00 %", Portugal,Sines,150,106, ,,
2940,,"99,00 %", Australia,Thornlands, Queensland,146,32, ,
2355,,"100,00 %", Sweden,Torslanda, Gothenburg ,144,15, ,
2221,,"100,00 %", Norway,Stavanger,143,19, ,,
2559,,"100,00 %", Netherlands,Nijmegen,141,4, ,,
2443,,"100,00 %", Netherlands,Julianadorp,140,43, ,,
2610,,"100,00 %", Germany,Kiel,139,37, ,,
3455,,"100,00 %", United States of America,Los Angeles,139,80, ,,
3322,,"100,00 %", Korea,Busan,139,11, ,,
2291,,"100,00 %", Germany,Bremerhaven,138,5,North Sea Terminal Bremerhaven GmbH & Co.,,
2490,,"26,00 %", Indonesia,Jakarta,138,137, ,,
3142,,"100,00 %", Unknown,Roaming station,138,1, ,,
2505,,"100,00 %", Sweden,Göteborg,137,3, ,,
2554,,"100,00 %", Netherlands,Gorinchem,137,31, ,,
2112,,"100,00 %", Netherlands,Harlingen,136,45, ,,
2770,,"100,00 %", New Zealand,Marlborough Sounds,135,118, ,,
2831,,"99,00 %", Netherlands,Delft,135,0, ,,
2847,,"100,00 %", Sweden,Stockholm,132,1, ,,
3984,,"100,00 %", Norway,Tromsoe,132,22, ,,
2857,,"100,00 %", Canada,Vancouver,132,0, ,,
2523,,"100,00 %", Netherlands,Middenbeemster,132,0, ,,
2087,,"100,00 %", Germany,Duisburg,131,104, ,,
2372,,"100,00 %", Canada,Vancouver,131,2, ,,
3168,,"100,00 %", Poland,Gdańsk,131,4, ,,
2799,,"77,00 %", Indonesia,Jepara,130,123, ,,
2178,,"100,00 %", France,Rouen,130,0, ,,
3824,,"100,00 %", United States of America,Miami, FL,129,1, ,
3358,,"100,00 %", Sweden,Gothenburg,129,0, ,,
3143,,"8,00 %", United States of America,Houston, Texas,127,69, ,
2692,,"53,00 %", Singapore,Pasir Ris,126,33, ,,
2076,,"100,00 %", Spain,Murcia,126,99,Localiz,,
2886,,"100,00 %", Netherlands,Maassluis,126,0, ,,
3335,,"86,00 %", Netherlands,Genderen,126,49, ,,
2117,,"100,00 %", Indonesia,Bintulu, Sarawak,126,126, ,
2426,,"100,00 %", United States of America,San Francisco Bay,125,27, ,,
2426,,"100,00 %", United States of America,San Francisco Bay,125,27, ,,
3616,,"100,00 %", Netherlands,Vlissingen,125,0, ,,
3023,,"100,00 %", Netherlands,Rozenburg,125,1, ,,
2397,,"100,00 %", Denmark,Copenhagen,125,52, ,,
3135,,"100,00 %", Netherlands,Koog aan de Zaan,123,5, ,,
2384,,"100,00 %", Norway,Kristiansund,121,21, ,,
2102,,"100,00 %", France,Antibes,120,2, ,,
2975,,"100,00 %", Turkey,Fethiye,120,111, ,,
2350,,"100,00 %", Netherlands,Delfzijl,120,73, ,,
2139,,"100,00 %", Denmark,Islands Brygge,119,31, ,,
3428,,"100,00 %", Spain,Valencia,119,0, ,,
2402,,"100,00 %", Netherlands,Spijkenisse,118,3, ,,
3299,,"100,00 %", Netherlands,Zwijndrecht,118,19, ,,
2512,,"100,00 %", Canada,Quadra Island,117,64, ,,
2388,,"100,00 %", Finland,Finland,117,59,Pocket Mariner,,
2481,,"100,00 %", Finland,Vaasa,117,44, ,,
3822,,"100,00 %", Canada,Calgary,116,29, ,,
3317,,"100,00 %", Netherlands,Veere,116,3,Marina Veere B.V.,,
3673,,"99,00 %", Spain,Barcelona,114,39, ,,
2334,,"99,00 %", Russian Federation,Ust-Luga,113,93, ,,
3632,,"100,00 %", Singapore,Singapore,113,1, ,,
2035,,"100,00 %", United States of America,Seattle,111,105,Shine Micro,,
2305,,"100,00 %", United States of America,Florida, Fort Lauderdale,107,5, ,
3933,,"100,00 %", United Kingdom,Bursledon, Solent,104,8, ,
2270,,"100,00 %", Saint Martin (FR),Simpson Bay,104,77, ,,
3412,,"100,00 %", Netherlands,Rotterdam,104,0, ,,
2278,,"100,00 %", Argentina,Mar del Plata,103,103, ,,
3198,,"100,00 %", Norway,Jeloy, Moss,103,1, ,
2422,,"100,00 %", Australia,Collaroy Plateau,103,42, ,,
2597,,"100,00 %", United States of America,San Pedro,103,22, ,,
3354,,"100,00 %", Australia,Port Hedland,102,56, ,,
2093,,"100,00 %", France,Rouen,101,0, ,,
2607,,"100,00 %", Unknown,Roaming station,101,9, ,,
2718,,"100,00 %", Unknown,Roaming station,101,46, ,,
2747,,"100,00 %", Germany,Wilhelmshaven,101,7, ,,
3296,,"100,00 %", Norway,Stavanger,101,11, ,,
3597,,"100,00 %", United States of America,Hampton Virginia,100,52, ,,
3376,,"100,00 %", United States of America,San Francisco,100,24, ,,
3526,,"96,00 %", United Arab Emirates,Abu Dhabi,99,48, ,,
2950,,"100,00 %", United States of America,Anacortes, WA,99,27, ,
3307,,"100,00 %", Poland,Gdansk,98,0, ,,
2335,,"100,00 %", France,Le Havre,98,2, ,,
2959,,"100,00 %", Spain,Valencia,98,0, ,,
2757,,"100,00 %", United States of America,New Orleans,97,96, ,,
3400,,"100,00 %", Philippines,Paranaque,97,95, ,,
2473,,"100,00 %", Norway,Oslofjord, Fulehuk Lighthouse,96,14, ,
3479,,"100,00 %", United States of America,San Diego,95,5, ,,
2797,,"100,00 %", United States of America,Signal Hill,94,23, ,,
2199,,"100,00 %", United States of America,Vicksburg,94,64, ,,
2708,,"96,00 %", United Kingdom,Fareham,92,6, ,,
3093,,"100,00 %", Cyprus,Limassol,91,59, ,,
2731,,"100,00 %", Ukraine,Kyiv,91,0, ,,
2912,,"100,00 %", Belgium,Zeebruge,91,20,dotOcean,,
3630,,"100,00 %", Australia,Cape Lambert,90,44, ,,
2697,,"100,00 %", United States of America,Bremerton, WA,89,14, ,
2923,,"100,00 %", Denmark,Lemvig,89,89, ,,
2807,,"100,00 %", Germany,Bremerhaven,88,0, ,,
2963,,"100,00 %", United States of America,Anacortes, WA,88,29,CleverKathy Designs,
3939,,"100,00 %", France,Nice,88,7, ,,
3141,,"100,00 %", Netherlands,Harkstede,88,13, ,,
2775,,"100,00 %", Netherlands,Franeker,88,9, ,,
2899,,"100,00 %", Germany,Berlin,86,65, ,,
2464,,"98,00 %", Germany,Wentorf,86,0, ,,
2955,,"100,00 %", Canada,Bowen Island,86,1, ,,
2474,,"100,00 %", United Kingdom,Gosport,86,8, ,,
3004,,"100,00 %", Slovenia,Izola,86,3, ,,
2701,,"100,00 %", Australia,O'Connor,86,56, ,,
3445,,"85,00 %", United Kingdom,Minster On Sea,85,0, ,,
2893,,"100,00 %", Israel,Haifa,84,0, ,,
2371,,"100,00 %", Israel,Haifa,84,0, ,,
2720,,"100,00 %", Spain,Vigo Bay,83,24, ,,
3287,,"92,00 %", Netherlands,Renesse,83,6, ,,
2471,,"100,00 %", France,UBS-Vannes,82,2, ,,
2061,,"100,00 %", Belgium,Ostend,81,1, ,,
2922,,"100,00 %", Spain,Alcaidesa,81,56, ,,
2892,,"100,00 %", Netherlands,Duiven,81,13, ,,
2655,,"100,00 %", Netherlands,Sliedrecht,80,49, ,,
2719,,"100,00 %", Lithuania,Klaipeda,80,80, ,,
2586,,"100,00 %", Norway,Jeloy, Moss,80,1, ,
3473,,"100,00 %", Netherlands,Breskens,80,0, ,,
3234,,"100,00 %", France,L'Epine,80,4, ,,
3207,,"100,00 %", Thailand,Bangkok,79,4, ,,
3136,,"100,00 %", Norway,Bergen,79,5, ,,
3176,,"100,00 %", Sweden,Näsudden Ingarö,79,3, ,,
2817,,"100,00 %", Netherlands,WSV de Kogge,79,25, ,,
2649,,"100,00 %", United Kingdom,Southampton,79,1, ,,
3202,,"100,00 %", Hong Kong,Tsuen Wan,79,3, ,,
2137,,"100,00 %", Germany,Bremen,78,3, ,,
2018,,"100,00 %", United Kingdom,Cowes,78,15, ,,
2641,,"100,00 %", Germany,Hooksiel,78,16, ,,
2812,,"100,00 %", United States of America,San Francisco,77,64, ,,
3653,,"100,00 %", Greece,Aegina Island,77,3, ,,
2537,,"100,00 %", United States of America,Savannah, Georgia,75,28, ,
2136,,"100,00 %", Netherlands,NW_Overijssel ,75,6, ,,
2813,,"100,00 %", Canada,Vancouver,75,1, ,,
2887,,"90,00 %", Sweden,Djurhamn,74,20, ,,
2949,,"100,00 %", Norway,Bergen,74,0, ,,
2460,,"100,00 %", Denmark,Nivå,74,5, ,,
2116,,"100,00 %", United States of America,Eastport, Annapolis, MD,74,53, 
2289,,"100,00 %", France,Six Fours Les Plages,73,72, ,,
3842,,"100,00 %", United Kingdom,Brighton,72,33, ,,
3254,,"100,00 %", Netherlands,Emmeloord,72,2, ,,
3193,,"100,00 %", United Kingdom,Aberdeenshire,72,26, ,,
2511,,"100,00 %", South Africa,Cape Town,72,22, ,,
2380,,"100,00 %", Finland,Helsinki,72,28, ,,
2804,,"100,00 %", Norway,Oslo,72,3, ,,
2070,,"100,00 %", Australia,Nelson Bay, NSW,72,33, ,
2502,,"100,00 %", Australia,Scarborough,71,34, ,,
3752,,"100,00 %", Japan,Tokyo,71,71, ,,
2191,,"100,00 %", United Kingdom,Aberdeen,71,37, ,,
2073,,"100,00 %", United Kingdom,Felixstowe ,71,14, ,,
3660,,"84,00 %", Australia,Roaming station,71,26, ,,
2277,,"100,00 %", United States of America,Dania Beach - Florida,71,7, ,,
3329,,"100,00 %", United Kingdom,Plymouth,71,21, ,,
2379,,"100,00 %", Netherlands,Zeist,71,36,QPS,,
2463,,"100,00 %", Canada,Prince Rupert,71,1, ,,
3061,,"81,00 %", Argentina,Buenos Aires,70,70, ,,
2313,,"100,00 %", United Kingdom,Broadstairs, Kent,70,0, ,
2845,,"100,00 %", Germany,Cuxhaven,70,67, ,,
2593,,"100,00 %", Canada,Prince Rupert,70,0, ,,
3075,,"93,00 %", Slovenia,Colomban,69,0, ,,
3593,,"100,00 %", Germany,Rostock,69,54, ,,
2043,,"79,00 %", Poland,Szczecin-Golecin,68,35,Advanced Technology Engineering,,
2180,,"100,00 %", France,Rouen,68,0, ,,
2273,,"100,00 %", Netherlands,Rotterdam,68,0, ,,
2189,,"91,00 %", Italy,Milazzo,67,46, ,,
2110,,"100,00 %", Germany,Bremen,66,4, ,,
2081,,"90,00 %", Martinique,Fort-de-France,66,48, ,,
2058,,"100,00 %", Denmark,Humlebaek,66,1, ,,
3077,,"100,00 %", Germany,Kiel,66,0, ,,
2652,,"100,00 %", Germany,Hamburg,66,0, ,,
3457,,"100,00 %", United States of America,Stephensville, Louisiana,65,50, ,
3497,,"100,00 %", Denmark,Rødby,65,10, ,,
2996,,"100,00 %", Greece,Nea Erithrea,65,0, ,,
2716,,"100,00 %", United Kingdom,Gosport,65,2, ,,
2648,,"100,00 %", United Kingdom,London,64,2, ,,
3175,,"95,00 %", United Kingdom,Tangmere,64,18, ,,
3258,,"35,00 %", Viet Nam,Haiphong,64,64, ,,
2684,,"100,00 %", Norway,Oslo, Frognerkilen,63,32, ,
2825,,"100,00 %", United Kingdom,Alton,63,7, ,,
2365,,"100,00 %", New Zealand,Auckland,63,1, ,,
2993,,"88,00 %", Thailand,Samut Prakan,62,54, ,,
3845,,"100,00 %", United States of America,Bellingham, WA,62,41, ,
3152,,"100,00 %", Belgium,Zeebrugge,61,37,Citymesh,,
2589,,"100,00 %", Norway,Asker,61,33, ,,
2262,,"100,00 %", Sweden,Karlskrona,61,52, ,,
2574,,"92,00 %", Netherlands,Zwolle,60,14, ,,
2187,,"100,00 %", United States of America,Canada, Monterey,60,32, ,
2661,,"100,00 %", Netherlands,Amersfoort,60,20, ,,
3544,,"100,00 %", Sweden,Gothenburg,60,0, ,,
2187,,"100,00 %", United States of America,Canada, Monterey,60,32, ,
2347,,"100,00 %", Netherlands,The Hague,60,8, ,,
3589,,"100,00 %", Norway,Tomasjord,60,0, ,,
2574,,"92,00 %", Netherlands,Zwolle,60,14, ,,
3174,,"100,00 %", United Kingdom,Higham, Kent,59,3, ,
3531,,"100,00 %", Australia,Bunbury,59,17, ,,
2635,,"97,00 %", Italy,Roaming station,58,0, ,,
3646,,"100,00 %", Netherlands,Urk,58,2, ,,
3581,,"23,00 %", Germany,Helgoland,58,42, ,,
2095,,"100,00 %", United Kingdom,Southampton,58,6, ,,
3749,,"100,00 %", Sweden,Enskede,58,0, ,,
2821,,"100,00 %", Canada,Burnaby,58,0, ,,
3159,,"100,00 %", Netherlands,Gendt,58,1, ,,
2653,,"100,00 %", France,La Rochelle,57,39, ,,
2819,,"98,00 %", Unknown,Roaming station,57,11, ,,
2135,,"100,00 %", United States of America,Wilmington, CA,57,1, ,
3840,,"100,00 %", Denmark,Røsnæs Fyr,57,44, ,,
2113,,"100,00 %", Saudi Arabia,Tabuk,57,56, ,,
2107,,"100,00 %", Brazil,Santos,57,57, ,,
2782,,"100,00 %", Netherlands,Sneek,57,53, ,,
3271,,"100,00 %", Spain,Torrevieja,56,27, ,,
2642,,"100,00 %", United Kingdom,Southampton,56,1, ,,
3674,,"99,00 %", United States of America,Seattle, WA,56,0, ,
3721,,"100,00 %", Norway,Bergen,56,3, ,,
3574,,"100,00 %", Spain,Vigo,56,0, ,,
3151,,"100,00 %", Norway,Trondheim,56,20, ,,
2130,,"100,00 %", United Kingdom,Sheerness,56,0, ,,
3347,,"100,00 %", Netherlands,Krimpen aan den IJssel,56,1, ,,
2279,,"100,00 %", Australia,Minyama Sunshine Coast QLD,56,50, ,,
2791,,"100,00 %", United States of America,Florida, Tampa,55,41, ,
3032,,"100,00 %", Spain,Badalona,55,14, ,,
3417,,"100,00 %", Sweden,Sodra Bjorkfjarden,55,25, ,,
3827,,"61,00 %", Taiwan (Province of China),Keelung,55,54, ,,
2206,,"100,00 %", United Kingdom,Cleethorpes,55,0, ,,
3962,,"19,00 %", United States of America,Seattle,55,3, ,,
3487,,"100,00 %", United States of America,Friday Harbor,55,5, ,,
2147,,"34,00 %", Spain,S/C de Tenerife,54,49, ,,
3043,,"100,00 %", Monaco,Monaco,54,29, ,,
2394,,"100,00 %", Italy,Livorno,53,2, ,,
3809,,"100,00 %", United States of America,Norfolk VA,53,10, ,,
2667,,"99,00 %", Netherlands,Eelde,53,5, ,,
2290,,"100,00 %", Greece,Athens,53,16, ,,
2106,,"100,00 %", Denmark,Lørslev,52,29, ,,
2351,,"100,00 %", Netherlands,Goes,52,2, ,,
2695,,"100,00 %", Finland,Turku,52,10, ,,
2867,,"100,00 %", Finland,Vantaa,52,8, ,,
2020,,"100,00 %", United Kingdom,Liverpool,52,0,www.shipais.com,,
2403,,"100,00 %", Germany,Stadersand,52,12, ,,
2115,,"100,00 %", United Kingdom,London,52,1, ,,
3149,,"100,00 %", Germany,Bremerhaven,52,0, ,,
2995,,"93,00 %", Australia,Kingston,51,5, ,,
3130,,"100,00 %", Denmark,Lunderskov,51,14, ,,
2911,,"100,00 %", Spain,el Toro,51,34, ,,
2976,,"100,00 %", Canada,Vancouver,51,0, ,,
3215,,"100,00 %", Belgium,Antwerp,50,0, ,,
3232,,"100,00 %", Germany,Cologne,50,0, ,,
2485,,"100,00 %", Slovakia,Miloslavov,50,41, ,,
3997,,"100,00 %", Norway,Molde,50,26, ,,
3491,,"53,00 %", Germany,Hamburg,50,0, ,,
3031,,"100,00 %", Malta,Malta Freeport,50,45, ,,
3256,,"100,00 %", United Kingdom,Bangor,49,40, ,,
3200,,"100,00 %", Norway,Bergen / Nygårdshøyden,49,5, ,,
2282,,"100,00 %", United States of America,Seattle,49,6, ,,
2689,,"100,00 %", Norway,Haugesund,49,7, ,,
3269,,"100,00 %", Netherlands,Bergen op Zoom,49,8, ,,
2032,,"100,00 %", Greece,Athens,48,0, ,,
2060,,"100,00 %", United Kingdom,Solent,48,1,ShipFinder,,
3099,,"69,00 %", Netherlands,Espel,48,1, ,,
2573,,"98,00 %", Italy,Venice,48,16, ,,
2973,,"100,00 %", United States of America,Savannah GA,48,1, ,,
3654,,"100,00 %", United Kingdom,Portsmouth,47,1, ,,
3083,,"100,00 %", Canada,New Westminster,47,0, ,,
3090,,"100,00 %", South Africa,Umhlanga,47,1, ,,
2163,,"100,00 %", Australia,Koumala,47,47, ,,
3447,,"100,00 %", Sweden,Helsingborg,47,16, ,,
2801,,"100,00 %", France,Boulogne-sur-Mer,47,41, ,,
2333,,"100,00 %", United Kingdom,Worldwide,46,29, ,,
2654,,"100,00 %", Guernsey,St Martin,46,17, ,,
2796,,"100,00 %", Canada,Victoria,46,2, ,,
2398,,"100,00 %", Germany,Berlin,46,1, ,,
2340,,"100,00 %", Spain,Valencia,46,0, ,,
3179,,"100,00 %", Denmark,Aarhus,46,12, ,,
3950,,"100,00 %", Netherlands,Amsterdam,46,1, ,,
3658,,"97,00 %", United States of America,Cape May,45,34, ,,
2904,,"100,00 %", Netherlands,Wezep,45,1, ,,
