ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor
3640;;54 %; Germany;Greifswald;4;4; 
3693;;90 %; Sweden;Hudiksvall;4;4; 
3011;;100 %; United States of America;Belpre, Ohio;3;0; 
2033;;96 %; United States of America;Bodega Bay;3;0;Four Fathom Marine Technology
2174;;100 %; New Zealand;Whakatane;3;3; 
2437;;54 %; United Kingdom;Liverpool;3;0; 
2478;;92 %; United Kingdom;Berwick-upon-Tweed;3;3; 
2181;;100 %; Norway;Vanersborg;3;1; 
2450;;100 %; Sweden;Trollhattan;3;0; 
2445;;91 %; New Zealand;Roaming station;3;3; 
2389;;100 %; Thailand;Surat Thani;3;3; 
3003;;97 %; Canada;Young Island, Mahone Bay, Nova Scotia;3;3; 
2538;;100 %; United States of America;Wilmington;3;3; 
2451;;99 %; Sweden;Segersang;3;0; 
2566;;100 %; Estonia;Tallinn;3;0; 
2245;;100 %; Australia;Tasmania;3;0; 
2192;;71 %; Sweden;Norrköping;3;0; 
2524;;99 %; Cyprus;Limassol;3;3; 
2604;;100 %; Sweden;Sundbyberg;3;1; 
2615;;100 %; New Zealand;Tasman;3;0; 
2645;;100 %; Netherlands;Ouddorp;3;1; 
2677;;100 %; Netherlands;Loch Lomond;3;1; 
2783;;100 %; Germany;Wunstorf;3;3; 
2815;;95 %; Netherlands;Delft;3;0; 
2873;;88 %; Italy;Licata;3;0; 
2910;;56 %; Spain;Motril;3;3; 
2927;;100 %; Sweden;Luleå;3;3; 
2977;;100 %; Sweden;Krokslätt;3;0; 
3341;;100 %; Netherlands;Amstelveen;3;0; 
3361;;99 %; Denmark;Korsør;3;2; 
3366;;100 %; Germany;Lüneburg;3;0; 
3416;;95 %; United Kingdom;London;3;0; 
3432;;100 %; Unknown;Roaming station;3;0;MOIN - MMSI 211161020
3453;;100 %; Germany;Stralsund;3;3; 
3514;;100 %; Ireland;Baltimore;3;2; 
3560;;100 %; United States of America;Illinois, Lake Bluff;3;2; 
3703;;100 %; Uruguay;Roaming station;3;3; 
3733;;99 %; Germany;Wittingen;3;0; 
3801;;35 %; Ireland;Arranmore Island;3;3; 
3934;;100 %; United States of America;Montclair;3;0; 
3045;;91 %; United States of America;New York;2;0; 
2555;;88 %; United Kingdom;St. Andrews;2;2; 
2288;;89 %; Australia;Johanna;2;2; 
2368;;100 %; Denmark;Copenhagen ;2;0; 
2176;;100 %; Germany;Glueckstadt;2;0; 
2016;;100 %; United States of America;Carolina Beach;2;1; 
2425;;98 %; Netherlands;Ter Walslage;2;2; 
2203;;100 %; Sweden;Vanersborg;2;0; 
2513;;87 %; Germany;Cologne;2;0; 
2531;;100 %; Germany;Frankfurt;2;0; 
3047;;21 %; United States of America;Waimanalo, Hawaii;2;1; 
2618;;95 %; Venezuela;Puerto Ordaz;2;2; 
2665;;48 %; United Kingdom;London;2;0; 
2680;;97 %; United States of America;Rockport, ME;2;2; 
2738;;100 %; United States of America;Huntingdon Valley;2;0; 
2758;;100 %; United Kingdom;Helensburgh;2;0; 
2900;;100 %; United Kingdom;Dyffryn Ardudwy;2;1; 
2958;;53 %; Germany;Dettelbach;2;0; 
2988;;95 %; Sweden;Trollhättan;2;0; 
3014;;100 %; Ireland;Galway;2;2; 
3057;;100 %; Russian Federation;Irkutsk;2;2;Seasib.ru
3134;;100 %; Norway;Nærsnes;2;1; 
3171;;100 %; Norway;Sokndal;2;0; 
3243;;93 %; United Kingdom;Killyleagh;2;0; 
3306;;82 %; United States of America;Rockport, MA;2;2; 
3339;;97 %; United States of America;Chebeague Island, Maine;2;2; 
3357;;33 %; Ireland;Inishbofin;2;1; 
3371;;94 %; Spain;Sanlúcar de Barrameda;2;2; 
3426;;39 %; United Kingdom;Wales, Anglesey;2;1; 
3430;;79 %; Greece;Nafplio Port;2;1; 
3435;;58 %; Australia;Taringa;2;0; 
3581;;27 %; Germany;Helgoland;2;2; 
3705;;90 %; Netherlands;Den Ham;2;1; 
3738;;100 %; United States of America;Pickwick Dam, Counce, TN;2;2; 
3896;;65 %; United States of America;Tarrytown, New York;2;1; 
3899;;82 %; Panama;Roaming station;2;0; 
3971;;100 %; Japan;Itoigawa-shi, Niigata;2;2; 
2151;;71 %; Norway;Straume;1;0; 
2248;;96 %; Australia;Perth;1;0; 
2444;;100 %; United States of America;Roaming station;1;1; 
2125;;9 %; Denmark;Egå;1;0; 
2229;;100 %; United States of America;New York;1;1; 
2131;;78 %; United Kingdom;Newquay-Cornwall;1;0; 
2057;;93 %; United States of America;Seattle;1;0;SkunkTracker
2133;;47 %; United Kingdom;Caithness (Scotland);1;0; 
2307;;27 %; United Kingdom;Sully;1;1; 
2149;;100 %; United States of America;Niceville, FL;1;0; 
2013;;90 %; Netherlands;Delft;1;0; 
2592;;100 %; Taiwan (Province of China);Keelung, National Taiwan Ocean University;1;1; 
2354;;28 %; Ireland;Mizen Head;1;0; 
2482;;99 %; United States of America;San Francisco Bay;1;1; 
2048;;100 %; Sweden;Åkersberga;1;1; 
2529;;100 %; United States of America;Arnold, MD;1;1; 
2309;;95 %; United Kingdom;Brighton;1;0; 
2390;;88 %; United States of America;Shelton Washington;1;0; 
2332;;100 %; United States of America;Martinique;1;1; 
2302;;95 %; Spain;Llastres;1;1; 
2612;;94 %; Unknown; ;1;1; 
2616;;37 %; Netherlands;Houten;1;0; 
2633;;93 %; Germany;Bremen;1;0; 
2651;;100 %; Jersey;S/Y Aweh;1;1; 
2682;;32 %; Australia;River Heads;1;1; 
