ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2213,,100 %,ÿUnknown,Worldwide,5135,2493, 
2010,,100 %,ÿNorway, ,4511,2647, 
2077,,78 %,ÿNetherlands,Harderwijk,990,50, 
2241,,100 %,ÿNetherlands,Gouda,876,124, 
3438,,100 %,ÿNetherlands,Amsterdam,823,222, 
2141,,86 %,ÿNorway,Multiple AIS stations,779,75, 
2945,,100 %,ÿNetherlands,Rotterdam,753,36, 
3103,,100 %,ÿCanada,Multiple Locations,745,0, 
3343,,100 %,ÿCanada,"Point Grey, BC",745,0, 
2902,,100 %,ÿSingapore,Singapore,735,85, 
2459,,100 %,ÿNetherlands,Edam,701,12, 
2134,,100 %,ÿUnited States of America,"Fort Lauderdale, FL",649,125, 
2435,,100 %,ÿNetherlands,Katwijk,648,45, 
2549,,49 %,ÿNetherlands,Zoetermeer,635,1, 
3131,,100 %,ÿGreece,Elliniko,610,70, 
2262,,69 %,ÿSweden,Karlskrona,572,84, 
2145,,100 %,ÿBelgium,Antwerp,558,242,Tresco Engineering
2097,,100 %,ÿNetherlands,Hellevoetsluis,558,22,InterTransIS
2404,,100 %,ÿUnknown,Roaming stations,536,99, 
3567,,80 %,ÿSingapore,Singapore,501,132, 
2323,,100 %,ÿNetherlands,Marken,493,2, 
3270,,100 %,ÿSweden,"Gothenburg - SW, S„r”",485,14, 
2397,,100 %,ÿDenmark,Copenhagen,479,68, 
2918,,100 %,ÿSingapore,Singapore,474,20, 
2446,,100 %,ÿNetherlands,IJmuiden,474,22, 
2843,,100 %,ÿUnited Kingdom,Gravesend,460,63, 
3272,,100 %,ÿHong Kong,Tseung Kwan O,457,279, 
3344,,93 %,ÿGreece,Athens,455,4, 
2011,,100 %,ÿSweden,Gothenburg,450,0, 
2164,,100 %,ÿSweden,"Goteborg, West Coast",449,0, 
3808,,100 %,ÿSingapore,Singapore,432,92, 
2460,,100 %,ÿDenmark,Niv†,418,13, 
2214,,99 %,ÿNetherlands,Rotterdam,414,1, 
2997,,100 %,ÿSingapore,Keppel Bay,404,18, 
3074,,100 %,ÿGreece,Piraeus,403,0, 
2139,,100 %,ÿDenmark,Islands Brygge,387,37, 
3979,,100 %,ÿNetherlands,Hellevoetsluis,378,8, 
2118,,100 %,ÿGreece,Alimos,365,1, 
2577,,100 %,ÿGermany,Hamburg,354,31, 
2698,,100 %,ÿNetherlands,Arnemuiden Oranjeplaat,332,54, 
2042,,100 %,ÿCanada,Vancouver,330,20, 
3423,,63 %,ÿGermany,Oldendorf,328,47, 
3840,,68 %,ÿDenmark,R›sn‘s Fyr,328,40, 
