ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
3116,,100 %,ÿNetherlands,Amsterdam,177,2, 
2353,,100 %,ÿTaiwan (Province of China),Kaohsiung,175,174, 
3354,,100 %,ÿAustralia,Port Hedland,173,18, 
3537,,100 %,ÿPoland,Boles?awiec,168,8, 
3455,,100 %,ÿUnited States of America,Los Angeles,168,5, 
2826,,100 %,ÿUnknown,Roaming station,168,166, 
2541,,100 %,ÿViet Nam,Haiphong,164,164, 
2724,,100 %,ÿAustralia,"North Ryde, NSW",163,53, 
2112,,100 %,ÿNetherlands,Harlingen,163,62, 
2344,,100 %,ÿSlovenia,Koper,163,60, 
3665,,100 %,ÿSweden,Stockholm,162,63, 
3143,,100 %,ÿUnited States of America,"Houston, Texas",162,87, 
2076,,100 %,ÿSpain,Murcia,161,109,Localiz
2799,,92 %,ÿIndonesia,Jepara,161,158, 
2088,,100 %,ÿSingapore,Singapore,161,0, 
2355,,100 %,ÿSweden,"Torslanda, Gothenburg ",161,19, 
3965,,100 %,ÿItaly,Genoa,159,21, 
2029,,100 %,ÿNetherlands,Den Oever,159,7, 
2559,,100 %,ÿNetherlands,Nijmegen,159,12, 
3392,,100 %,ÿGermany,Lienen,157,8, 
2737,,100 %,ÿGermany,Hamburg,156,1, 
3203,,100 %,ÿGreece,Athens,155,8, 
2857,,100 %,ÿCanada,Vancouver,154,2, 
2489,,26 %,ÿItaly,Genoa,152,14, 
2726,,100 %,ÿUnited States of America,Seattle,151,0, 
3377,,100 %,ÿUnited Kingdom,Gosport,151,8, 
3156,,100 %,ÿGreece,Athens,151,2, 
2178,,100 %,ÿFrance,Rouen,150,0, 
2249,,100 %,ÿUnited States of America,San Diego,150,62, 
2087,,100 %,ÿGermany,Duisburg,148,74, 
3061,,100 %,ÿArgentina,Buenos Aires,148,146, 
3974,,100 %,ÿUnited States of America,Seattle,146,3, 
3023,,100 %,ÿNetherlands,Rozenburg,145,1, 
2747,,100 %,ÿGermany,Wilhelmshaven,144,5, 
2388,,100 %,ÿFinland,Finland,144,68,Pocket Mariner
2369,,100 %,ÿUnited States of America,Seattle,144,0, 
2338,,100 %,ÿUnited Arab Emirates,Ansam,142,95, 
2035,,100 %,ÿUnited States of America,Seattle,141,126,Shine Micro
2886,,100 %,ÿNetherlands,Maassluis,139,0, 
