ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2213,,100 %,ÿUnknown,Worldwide,4745,2479, 
2010,,100 %,ÿNorway, ,3221,2300, 
2077,,100 %,ÿNetherlands,Harderwijk,1094,60, 
2241,,100 %,ÿNetherlands,Gouda,1053,221, 
3438,,100 %,ÿNetherlands,Amsterdam,803,245, 
2945,,100 %,ÿNetherlands,Rotterdam,760,34, 
2902,,100 %,ÿSingapore,Singapore,706,93, 
3103,,100 %,ÿCanada,Multiple Locations,663,0, 
3343,,100 %,ÿCanada,"Point Grey, BC",663,0, 
3131,,100 %,ÿGreece,Elliniko,619,54, 
2097,,100 %,ÿNetherlands,Hellevoetsluis,597,20,InterTransIS
2145,,100 %,ÿBelgium,Antwerp,569,231,Tresco Engineering
2141,,100 %,ÿNorway,Multiple AIS stations,569,92, 
2918,,100 %,ÿSingapore,Singapore,547,32, 
2435,,100 %,ÿNetherlands,Katwijk,529,37, 
3272,,100 %,ÿHong Kong,Tseung Kwan O,526,327, 
2134,,100 %,ÿUnited States of America,"Fort Lauderdale, FL",525,225, 
2946,,100 %,ÿSingapore,Singapore,492,9, 
2404,,100 %,ÿUnknown,Roaming stations,466,68, 
3344,,100 %,ÿGreece,Athens,466,5, 
2118,,100 %,ÿGreece,Alimos,448,4, 
2214,,100 %,ÿNetherlands,Rotterdam,439,2, 
2459,,100 %,ÿNetherlands,Edam,426,16, 
3074,,100 %,ÿGreece,Piraeus,423,2, 
3567,,100 %,ÿSingapore,Singapore,412,91, 
3979,,100 %,ÿNetherlands,Hellevoetsluis,396,6, 
2997,,100 %,ÿSingapore,Keppel Bay,385,24, 
2698,,100 %,ÿNetherlands,Arnemuiden Oranjeplaat,380,79, 
2577,,100 %,ÿGermany,Hamburg,374,25, 
2446,,100 %,ÿNetherlands,IJmuiden,362,15, 
2650,,71 %,ÿUnited States of America,"Sabine Pass, TX",359,122, 
2249,,100 %,ÿUnited States of America,San Diego,353,87, 
3332,,100 %,ÿRussian Federation,Vladivostok,352,350, 
3038,,100 %,ÿGreece,Piraeus,351,0, 
2323,,100 %,ÿNetherlands,Marken,338,8, 
3808,,100 %,ÿSingapore,Singapore,332,54, 
2843,,99 %,ÿUnited Kingdom,Gravesend,329,69, 
3182,,94 %,ÿUnited States of America,Seattle,320,41, 
2475,,100 %,ÿNetherlands,Poortugaal,317,2, 
3943,,100 %,ÿKorea,Busan,308,213, 
2276,,100 %,ÿBelgium,Schilde,303,8, 
2413,,100 %,ÿGermany,Hamburg Alster,302,1,www.searoutes.com
2550,,80 %,ÿSingapore,Singapore,296,11, 
2744,,87 %,ÿUnited States of America,Seattle,295,13, 
2954,,100 %,ÿFrance,"Sophia Antipolis, MINES Paristech",294,181,MINES Paristech
2011,,100 %,ÿSweden,Gothenburg,294,0, 
2164,,100 %,ÿSweden,"Goteborg, West Coast",292,0, 
2484,,100 %,ÿUnited States of America,Biscayne Bay PS - Miami FL,287,82,SEAiq
2036,,100 %,ÿGermany,Hamburg,285,1, 
3016,,100 %,ÿIndonesia,Jakarta,278,265, 
3016,,100 %,ÿIndonesia,Jakarta,278,265, 
2236,,100 %,ÿNetherlands,IJmuiden,273,2,SHIPM8
2292,,100 %,ÿBelgium,Gent,273,166, 
2672,,100 %,ÿUnited States of America,Highlands,272,28, 
3040,,100 %,ÿNetherlands,Ter Heijde,272,3, 
2298,,100 %,ÿNetherlands,Rotterdam,267,2, 
3857,,100 %,ÿGermany,Hamburg,266,0, 
2126,,100 %,ÿGermany,Cologne,256,145, 
3270,,100 %,ÿSweden,"Gothenburg - SW, S„r”",256,22, 
2987,,97 %,ÿNetherlands,"Vogelwaarde, Zeeland",254,46, 
2803,,100 %,ÿNetherlands,Bergharen,248,21, 
2636,,100 %,ÿNetherlands,IJmuiden,248,0, 
2662,,100 %,ÿFrance,Le Havre,248,29, 
3917,,100 %,ÿUnited States of America,Jersey City,247,17, 
2603,,100 %,ÿGermany,Geesthacht,246,21, 
2169,,100 %,ÿItaly,La Spezia,245,86, 
2068,,100 %,ÿSpain,Roaming station,241,10, 
2468,,100 %,ÿNetherlands,Rotterdam,241,14,InterTransIS
2047,,100 %,ÿUnited States of America,Galveston Bay Texas,240,4, 
3372,,99 %,ÿNetherlands,Wijchen,237,28, 
3124,,100 %,ÿNetherlands,Zierikzee,232,76, 
3479,,100 %,ÿUnited States of America,San Diego,232,35, 
3455,,100 %,ÿUnited States of America,Los Angeles,226,7, 
2146,,100 %,ÿSpain,Palma de Mallorca,224,0, 
3978,,100 %,ÿUnited States of America,"Mandeville, LA",223,222, 
2042,,100 %,ÿCanada,Vancouver,221,9, 
2177,,100 %,ÿHong Kong,Kowloon,214,30, 
3731,,100 %,ÿNetherlands,Rotterdam,214,1, 
2624,,100 %,ÿSpain,Las Palmas de Gran Canaria,212,49, 
2528,,100 %,ÿUnited Arab Emirates,Abu Dhabi,210,174, 
2031,,100 %,ÿPoland,Gdynia,209,37,SP2XDM
