ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2213,,100 %,ÿUnknown,Worldwide,4925,2612, 
2010,,100 %,ÿNorway, ,3170,2387, 
2077,,100 %,ÿNetherlands,Harderwijk,1032,69, 
2241,,100 %,ÿNetherlands,Gouda,955,178, 
3438,,100 %,ÿNetherlands,Amsterdam,797,254, 
2945,,100 %,ÿNetherlands,Rotterdam,740,40, 
2902,,100 %,ÿSingapore,Singapore,672,102, 
2404,,100 %,ÿUnknown,Roaming stations,658,81, 
2141,,100 %,ÿNorway,Multiple AIS stations,658,104, 
3131,,100 %,ÿGreece,Elliniko,647,67, 
3103,,100 %,ÿCanada,Multiple Locations,592,0, 
3343,,100 %,ÿCanada,"Point Grey, BC",592,0, 
2918,,100 %,ÿSingapore,Singapore,581,75, 
2145,,100 %,ÿBelgium,Antwerp,563,262,Tresco Engineering
2097,,100 %,ÿNetherlands,Hellevoetsluis,542,16,InterTransIS
2134,,100 %,ÿUnited States of America,"Fort Lauderdale, FL",542,209, 
2517,,100 %,ÿBrazil,Belem,521,267, 
3344,,100 %,ÿGreece,Athens,487,4, 
2435,,100 %,ÿNetherlands,Katwijk,485,50, 
2946,,100 %,ÿSingapore,Singapore,449,11, 
3074,,100 %,ÿGreece,Piraeus,431,3, 
2118,,100 %,ÿGreece,Alimos,406,2, 
2997,,100 %,ÿSingapore,Keppel Bay,406,24, 
2214,,100 %,ÿNetherlands,Rotterdam,399,1, 
2459,,100 %,ÿNetherlands,Edam,391,22, 
2698,,100 %,ÿNetherlands,Arnemuiden Oranjeplaat,383,84, 
3808,,100 %,ÿSingapore,Singapore,376,70, 
2550,,81 %,ÿSingapore,Singapore,366,25, 
2577,,100 %,ÿGermany,Hamburg,364,28, 
3979,,100 %,ÿNetherlands,Hellevoetsluis,354,4, 
3332,,100 %,ÿRussian Federation,Vladivostok,354,354, 
2446,,100 %,ÿNetherlands,IJmuiden,344,17, 
2843,,99 %,ÿUnited Kingdom,Gravesend,341,64, 
3038,,100 %,ÿGreece,Piraeus,339,0, 
2803,,100 %,ÿNetherlands,Bergharen,327,54, 
2323,,100 %,ÿNetherlands,Marken,326,6, 
3182,,96 %,ÿUnited States of America,Seattle,322,49, 
2744,,87 %,ÿUnited States of America,Seattle,312,14, 
3943,,100 %,ÿKorea,Busan,311,203, 
2488,,100 %,ÿNetherlands,Oud-Beijerland,301,11, 
2011,,100 %,ÿSweden,Gothenburg,298,0, 
2126,,100 %,ÿGermany,Cologne,297,169, 
2164,,100 %,ÿSweden,"Goteborg, West Coast",295,0, 
2413,,100 %,ÿGermany,Hamburg Alster,289,1,www.searoutes.com
2954,,100 %,ÿFrance,"Sophia Antipolis, MINES Paristech",288,109,MINES Paristech
2042,,100 %,ÿCanada,Vancouver,274,28, 
2650,,71 %,ÿUnited States of America,"Sabine Pass, TX",273,78, 
2169,,100 %,ÿItaly,La Spezia,272,93, 
2276,,100 %,ÿBelgium,Schilde,262,4, 
2292,,100 %,ÿBelgium,Gent,261,159, 
3372,,96 %,ÿNetherlands,Wijchen,261,30, 
2484,,100 %,ÿUnited States of America,Biscayne Bay PS - Miami FL,261,60,SEAiq
3124,,100 %,ÿNetherlands,Zierikzee,257,108, 
2292,,100 %,ÿBelgium,Gent,257,161, 
3270,,100 %,ÿSweden,"Gothenburg - SW, S„r”",242,19, 
2068,,100 %,ÿSpain,Roaming station,242,9, 
3857,,100 %,ÿGermany,Hamburg,242,0, 
2468,,100 %,ÿNetherlands,Rotterdam,241,25,InterTransIS
2672,,100 %,ÿUnited States of America,Highlands,239,19, 
3016,,100 %,ÿIndonesia,Jakarta,236,231, 
2236,,100 %,ÿNetherlands,IJmuiden,236,4,SHIPM8
2603,,100 %,ÿGermany,Geesthacht,235,25, 
2291,,100 %,ÿGermany,Bremerhaven,231,7,North Sea Terminal Bremerhaven GmbH & Co.
3116,,100 %,ÿNetherlands,Amsterdam,231,0, 
2036,,100 %,ÿGermany,Hamburg,231,1, 
2177,,97 %,ÿHong Kong,Kowloon,229,145, 
3040,,100 %,ÿNetherlands,Ter Heijde,228,1, 
2146,,100 %,ÿSpain,Palma de Mallorca,226,0, 
2298,,100 %,ÿNetherlands,Rotterdam,226,1, 
3917,,100 %,ÿUnited States of America,Jersey City,218,17, 
2047,,100 %,ÿUnited States of America,Galveston Bay Texas,217,2, 
2031,,100 %,ÿPoland,Gdynia,214,50,SP2XDM
2662,,100 %,ÿFrance,Le Havre,213,26, 
3978,,100 %,ÿUnited States of America,"Mandeville, LA",211,211, 
3731,,100 %,ÿNetherlands,Rotterdam,211,2, 
2261,,100 %,ÿUnited States of America,Seattle,210,76, 
3737,,100 %,ÿBrazil,Rio de Janeiro,208,76, 
2528,,100 %,ÿUnited Arab Emirates,Abu Dhabi,206,163, 
3240,,100 %,ÿNetherlands,Huizen,203,31, 
2353,,100 %,ÿTaiwan (Province of China),Kaohsiung,201,201, 
2624,,100 %,ÿSpain,Las Palmas de Gran Canaria,199,43, 
2619,,100 %,ÿUnited States of America,Groves,199,9, 
2376,,100 %,ÿUnknown,Roaming Station,198,14, 
3715,,100 %,ÿSpain,Valencia,193,47, 
2475,,100 %,ÿNetherlands,Poortugaal,188,0, 
2029,,100 %,ÿNetherlands,Den Oever,188,48, 
3630,,100 %,ÿAustralia,Cape Lambert,186,49, 
3700,,100 %,ÿNetherlands,Emmeloord,185,25, 
3092,,100 %,ÿUnited States of America,Bainbridge Island,182,2, 
2987,,97 %,ÿNetherlands,"Vogelwaarde, Zeeland",181,26, 
2270,,100 %,ÿSaint Martin (FR),Simpson Bay,181,95, 
3029,,6 %,ÿNetherlands,Rockanje,180,14, 
2543,,100 %,ÿGermany,Hamburg,179,0, 
2724,,100 %,ÿAustralia,"North Ryde, NSW",177,14, 
3965,,100 %,ÿItaly,Genoa,177,16, 
2878,,100 %,ÿGermany,Friedrichsort,177,2, 
2638,,100 %,ÿAustralia,Manly,175,59, 
2112,,100 %,ÿNetherlands,Harlingen,174,92, 
2397,,99 %,ÿDenmark,Copenhagen,174,62, 
2443,,100 %,ÿNetherlands,Julianadorp,173,43, 
2806,,41 %,ÿUnited States of America,San Francisco,172,30, 
3665,,100 %,ÿSweden,Stockholm,171,43, 
3443,,100 %,ÿUnited States of America,Seattle,170,0, 
2826,,100 %,ÿUnknown,Roaming station,169,168, 
3974,,100 %,ÿUnited States of America,Seattle,168,3, 
2602,,100 %,ÿSpain,Castelldefels,165,62, 
3046,,60 %,ÿTaiwan (Province of China),"Keelung, National Taiwan Ocean University",162,162, 
3681,,100 %,ÿUnited States of America,Seattle,161,0, 
3156,,100 %,ÿGreece,Athens,161,1, 
2338,,100 %,ÿUnited Arab Emirates,Ansam,160,104, 
3455,,100 %,ÿUnited States of America,Los Angeles,159,3, 
2886,,100 %,ÿNetherlands,Maassluis,156,1, 
2489,,48 %,ÿItaly,Genoa,155,7, 
3354,,100 %,ÿAustralia,Port Hedland,154,17, 
3537,,100 %,ÿPoland,Boles?awiec,154,5, 
2099,,78 %,ÿUnited States of America,US East Coast,154,64, 
3203,,100 %,ÿGreece,Athens,152,8, 
2178,,100 %,ÿFrance,Rouen,151,0, 
2344,,100 %,ÿSlovenia,Koper,150,24, 
2088,,88 %,ÿSingapore,Singapore,150,1, 
2355,,100 %,ÿSweden,"Torslanda, Gothenburg ",148,14, 
