ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2213,,100 %,ÿUnknown,Worldwide,4404,2039, 
2010,,100 %,ÿNorway, ,3280,2543, 
2241,,100 %,ÿNetherlands,Gouda,916,183, 
2945,,100 %,ÿNetherlands,Rotterdam,778,87, 
3103,,100 %,ÿCanada,Multiple Locations,758,0, 
3343,,100 %,ÿCanada,"Point Grey, BC",758,0, 
2141,,100 %,ÿNorway,Multiple AIS stations,704,128, 
3131,,100 %,ÿGreece,Elliniko,647,54, 
2946,,100 %,ÿSingapore,Singapore,580,60, 
2134,,100 %,ÿUnited States of America,"Fort Lauderdale, FL",574,84, 
2145,,100 %,ÿBelgium,Antwerp,556,226,Tresco Engineering
2097,,100 %,ÿNetherlands,Hellevoetsluis,542,32,InterTransIS
2517,,100 %,ÿBrazil,Belem,537,324, 
2918,,100 %,ÿSingapore,Singapore,532,91, 
3344,,100 %,ÿGreece,Athens,506,6, 
2435,,100 %,ÿNetherlands,Katwijk,495,56, 
2214,,100 %,ÿNetherlands,Rotterdam,453,12, 
2118,,100 %,ÿGreece,Alimos,447,4, 
2698,,100 %,ÿNetherlands,Arnemuiden Oranjeplaat,434,77, 
3074,,100 %,ÿGreece,Piraeus,432,2, 
2902,,100 %,ÿSingapore,Singapore,422,25, 
2459,,100 %,ÿNetherlands,Edam,415,27, 
3038,,100 %,ÿGreece,Piraeus,377,0, 
2843,,100 %,ÿUnited Kingdom,Gravesend,371,62, 
2577,,100 %,ÿGermany,Hamburg,364,31, 
2323,,100 %,ÿNetherlands,Marken,357,24, 
2803,,100 %,ÿNetherlands,Bergharen,355,73, 
3332,,100 %,ÿRussian Federation,Vladivostok,353,353, 
2488,,100 %,ÿNetherlands,Oud-Beijerland,349,11, 
3943,,100 %,ÿKorea,Busan,348,203, 
2011,,100 %,ÿSweden,Gothenburg,347,0, 
2164,,100 %,ÿSweden,"Goteborg, West Coast",345,0, 
3979,,100 %,ÿNetherlands,Hellevoetsluis,343,5, 
3808,,100 %,ÿSingapore,Singapore,339,58, 
2446,,100 %,ÿNetherlands,IJmuiden,334,18, 
3182,,86 %,ÿUnited States of America,Seattle,316,43, 
2744,,100 %,ÿUnited States of America,Seattle,311,14, 
2987,,100 %,ÿNetherlands,"Vogelwaarde, Zeeland",301,21, 
3270,,100 %,ÿSweden,"Gothenburg - SW, S„r”",300,19, 
2276,,100 %,ÿBelgium,Schilde,299,10, 
3016,,100 %,ÿIndonesia,Jakarta,290,289, 
2997,,99 %,ÿSingapore,Keppel Bay,287,22, 
2126,,96 %,ÿGermany,Cologne,280,169, 
2413,,100 %,ÿGermany,Hamburg Alster,278,2,www.searoutes.com
3978,,100 %,ÿUnited States of America,"Mandeville, LA",278,278, 
2292,,100 %,ÿBelgium,Gent,274,171, 
2624,,100 %,ÿSpain,Las Palmas de Gran Canaria,268,258, 
2068,,86 %,ÿSpain,Roaming station,264,6, 
2036,,100 %,ÿGermany,Hamburg,263,1, 
2404,,100 %,ÿUnknown,Roaming stations,262,82, 
2261,,100 %,ÿUnited States of America,Seattle,261,92, 
2169,,100 %,ÿItaly,La Spezia,256,80, 
2042,,100 %,ÿCanada,Vancouver,253,11, 
2146,,100 %,ÿSpain,Palma de Mallorca,252,3, 
2599,,40 %,ÿNetherlands,Zwijndrecht,250,8, 
3857,,100 %,ÿGermany,Hamburg,249,0, 
2182,,91 %,ÿCanada,Vancouver,249,1, 
2291,,100 %,ÿGermany,Bremerhaven,244,17,North Sea Terminal Bremerhaven GmbH & Co.
2650,,77 %,ÿUnited States of America,"Sabine Pass, TX",243,74, 
2672,,100 %,ÿUnited States of America,Highlands,238,22, 
3124,,100 %,ÿNetherlands,Zierikzee,235,77, 
2603,,93 %,ÿGermany,Geesthacht,231,23, 
3313,,68 %,ÿNetherlands,Rotterdam,231,4, 
2484,,100 %,ÿUnited States of America,Biscayne Bay PS - Miami FL,230,18,SEAiq
3731,,100 %,ÿNetherlands,Rotterdam,227,1, 
2528,,100 %,ÿUnited Arab Emirates,Abu Dhabi,226,182, 
2662,,100 %,ÿFrance,Le Havre,226,19, 
2475,,100 %,ÿNetherlands,Poortugaal,225,1, 
2177,,98 %,ÿHong Kong,Kowloon,220,141, 
