ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2213,,100 %,ÿUnknown,Worldwide,4019,2121, 
2010,,100 %,ÿNorway, ,3234,2322, 
2077,,100 %,ÿNetherlands,Harderwijk,1090,75, 
2241,,100 %,ÿNetherlands,Gouda,975,177, 
3438,,100 %,ÿNetherlands,Amsterdam,800,240, 
2902,,100 %,ÿSingapore,Singapore,755,121, 
2945,,100 %,ÿNetherlands,Rotterdam,729,26, 
2141,,100 %,ÿNorway,Multiple AIS stations,672,106, 
3103,,100 %,ÿCanada,Multiple Locations,623,0, 
3343,,100 %,ÿCanada,"Point Grey, BC",623,0, 
3131,,100 %,ÿGreece,Elliniko,614,50, 
2097,,100 %,ÿNetherlands,Hellevoetsluis,594,29,InterTransIS
3272,,100 %,ÿHong Kong,Tseung Kwan O,576,362, 
2918,,100 %,ÿSingapore,Singapore,574,41, 
2145,,100 %,ÿBelgium,Antwerp,560,251,Tresco Engineering
2134,,100 %,ÿUnited States of America,"Fort Lauderdale, FL",526,212, 
2435,,100 %,ÿNetherlands,Katwijk,480,37, 
3344,,100 %,ÿGreece,Athens,480,11, 
2997,,100 %,ÿSingapore,Keppel Bay,460,26, 
2404,,100 %,ÿUnknown,Roaming stations,460,63, 
2214,,100 %,ÿNetherlands,Rotterdam,459,0, 
2118,,100 %,ÿGreece,Alimos,451,5, 
3808,,100 %,ÿSingapore,Singapore,442,88, 
3074,,100 %,ÿGreece,Piraeus,424,6, 
2698,,100 %,ÿNetherlands,Arnemuiden Oranjeplaat,402,82, 
2459,,100 %,ÿNetherlands,Edam,393,14, 
3979,,100 %,ÿNetherlands,Hellevoetsluis,384,5, 
2446,,100 %,ÿNetherlands,IJmuiden,382,12, 
2323,,100 %,ÿNetherlands,Marken,371,7, 
2577,,100 %,ÿGermany,Hamburg,368,19, 
3943,,100 %,ÿKorea,Busan,362,214, 
3038,,100 %,ÿGreece,Piraeus,361,0, 
3332,,100 %,ÿRussian Federation,Vladivostok,355,354, 
2946,,100 %,ÿSingapore,Singapore,345,8, 
2803,,100 %,ÿNetherlands,Bergharen,330,40, 
2550,,81 %,ÿSingapore,Singapore,326,12, 
3182,,95 %,ÿUnited States of America,Seattle,315,40, 
2488,,100 %,ÿNetherlands,Oud-Beijerland,312,6, 
2843,,99 %,ÿUnited Kingdom,Gravesend,309,57, 
2249,,100 %,ÿUnited States of America,San Diego,307,68, 
2744,,87 %,ÿUnited States of America,Seattle,305,13, 
2011,,100 %,ÿSweden,Gothenburg,304,0, 
3479,,100 %,ÿUnited States of America,San Diego,304,59, 
2164,,100 %,ÿSweden,"Goteborg, West Coast",303,0, 
2413,,100 %,ÿGermany,Hamburg Alster,300,0,www.searoutes.com
2954,,100 %,ÿFrance,"Sophia Antipolis, MINES Paristech",279,97,MINES Paristech
2276,,100 %,ÿBelgium,Schilde,274,9, 
3270,,100 %,ÿSweden,"Gothenburg - SW, S„r”",273,33, 
2475,,100 %,ÿNetherlands,Poortugaal,273,2, 
3016,,100 %,ÿIndonesia,Jakarta,271,261, 
3857,,100 %,ÿGermany,Hamburg,267,0, 
2236,,100 %,ÿNetherlands,IJmuiden,267,2,SHIPM8
2650,,71 %,ÿUnited States of America,"Sabine Pass, TX",264,81, 
2484,,100 %,ÿUnited States of America,Biscayne Bay PS - Miami FL,263,60,SEAiq
2987,,97 %,ÿNetherlands,"Vogelwaarde, Zeeland",256,38, 
2068,,100 %,ÿSpain,Roaming station,254,17, 
2636,,100 %,ÿNetherlands,IJmuiden,251,0, 
2353,,100 %,ÿTaiwan (Province of China),Kaohsiung,251,251, 
2291,,100 %,ÿGermany,Bremerhaven,250,11,North Sea Terminal Bremerhaven GmbH & Co.
2292,,100 %,ÿBelgium,Gent,247,135, 
3372,,98 %,ÿNetherlands,Wijchen,245,20, 
2036,,100 %,ÿGermany,Hamburg,244,0, 
2177,,99 %,ÿHong Kong,Kowloon,243,42, 
3040,,100 %,ÿNetherlands,Ter Heijde,243,2, 
3455,,100 %,ÿUnited States of America,Los Angeles,241,8, 
2126,,100 %,ÿGermany,Cologne,238,142, 
3124,,100 %,ÿNetherlands,Zierikzee,237,67, 
2603,,100 %,ÿGermany,Geesthacht,237,20, 
2047,,100 %,ÿUnited States of America,Galveston Bay Texas,235,3, 
2169,,100 %,ÿItaly,La Spezia,233,75, 
3731,,100 %,ÿNetherlands,Rotterdam,231,2, 
2042,,100 %,ÿCanada,Vancouver,230,13, 
2528,,100 %,ÿUnited Arab Emirates,Abu Dhabi,228,190, 
2672,,100 %,ÿUnited States of America,Highlands,227,24, 
2146,,100 %,ÿSpain,Palma de Mallorca,227,0, 
2662,,100 %,ÿFrance,Le Havre,226,32, 
2326,,100 %,ÿJapan,Sumoto,216,211, 
2298,,100 %,ÿNetherlands,Rotterdam,216,0, 
2182,,82 %,ÿCanada,Vancouver,208,5, 
2376,,100 %,ÿUnknown,Roaming Station,208,12, 
2638,,100 %,ÿAustralia,Manly,206,58, 
3116,,100 %,ÿNetherlands,Amsterdam,206,6, 
3737,,100 %,ÿBrazil,Rio de Janeiro,204,204, 
3715,,100 %,ÿSpain,Valencia,203,51, 
2878,,100 %,ÿGermany,Friedrichsort,200,4, 
2543,,100 %,ÿGermany,Hamburg,198,0, 
2517,,100 %,ÿBrazil,Belem,197,81, 
3917,,100 %,ÿUnited States of America,Jersey City,197,15, 
2468,,100 %,ÿNetherlands,Rotterdam,194,11,InterTransIS
2443,,100 %,ÿNetherlands,Julianadorp,192,57, 
2261,,100 %,ÿUnited States of America,Seattle,192,76, 
3974,,100 %,ÿUnited States of America,Seattle,189,4, 
2724,,100 %,ÿAustralia,"North Ryde, NSW",189,16, 
2031,,100 %,ÿPoland,Gdynia,189,18,SP2XDM
2619,,100 %,ÿUnited States of America,Groves,185,9, 
