ID;Status;Uptime;Country;Location;Ships;Distinct
3984;;100 %; Norway;Tromsoe;159;34
2528;;100 %; United Arab Emirates;Abu Dhabi;159;128
3203;;100 %; Greece;Athens;159;4
2270;;100 %; Saint Martin (FR);Simpson Bay;159;13
3023;;100 %; Netherlands;Rozenburg;157;1
2042;;100 %; Canada;Vancouver;156;5
3392;;100 %; Germany;Lienen;156;21
2088;;100 %; Singapore;Singapore;156;0
2355;;100 %; Sweden;Torslanda, Gothenburg ;155;19
3335;;100 %; Netherlands;Genderen;152;52
2737;;100 %; Germany;Hamburg;148;1
3156;;100 %; Greece;Athens;146;2
2489;;100 %; Italy;Genoa;146;5
2178;;100 %; France;Rouen;146;0
2831;;96 %; Netherlands;Delft;144;1
2344;;100 %; Slovenia;Koper;143;25
3322;;100 %; Korea;Busan;142;10
3537;;100 %; Poland;Bolesławiec;141;5
3142;;100 %; Unknown;Roaming station;140;0
2523;;100 %; Netherlands;Middenbeemster;140;2
3012;;92 %; Turkey;Istanbul;140;139
2372;;100 %; Canada;Vancouver;139;3
2726;;100 %; United States of America;Seattle;138;0
2505;;100 %; Sweden;Göteborg;138;0
2291;;100 %; Germany;Bremerhaven;136;2
2955;;100 %; Canada;Bowen Island;136;1
3143;;100 %; United States of America;Houston, Texas;136;69
3377;;100 %; United Kingdom;Gosport;136;6
2384;;100 %; Norway;Kristiansund;135;17
2610;;100 %; Germany;Kiel;132;34
2388;;100 %; Finland;Finland;131;65
2087;;100 %; Germany;Duisburg;130;97
3135;;100 %; Netherlands;Koog aan de Zaan;129;5
3358;;100 %; Sweden;Gothenburg;129;0
2139;;100 %; Denmark;Islands Brygge;128;38
3824;;82 %; United States of America;Miami, FL;128;3
2102;;100 %; France;Antibes;127;0
2076;;100 %; Spain;Murcia;126;93
2559;;100 %; Netherlands;Nijmegen;126;6
2278;;100 %; Argentina;Mar del Plata;125;125
2940;;87 %; Australia;Thornlands, Queensland;125;33
2281;;100 %; Portugal;Sines;124;89
2857;;100 %; Canada;Vancouver;124;0
2554;;100 %; Netherlands;Gorinchem;124;28
2457;;100 %; Germany;Madgeburg;124;18
2597;;100 %; United States of America;San Pedro;123;22
2221;;100 %; Norway;Stavanger;121;19
2426;;100 %; United States of America;San Francisco Bay;121;29
3428;;100 %; Spain;Valencia;120;1
2338;;100 %; United Arab Emirates;Ansam;120;88
3046;;99 %; Taiwan (Province of China);Keelung, National Taiwan Ocean University;119;119
2963;;100 %; United States of America;Anacortes, WA;118;25
3682;;100 %; France;UK;118;28
2035;;100 %; United States of America;Seattle;117;108
2350;;100 %; Netherlands;Delfzijl;117;90
2334;;100 %; Russian Federation;Ust-Luga;116;85
3673;;100 %; Spain;Barcelona;116;35
2770;;100 %; New Zealand;Marlborough Sounds;115;94
3376;;100 %; United States of America;San Francisco;115;11
3168;;98 %; Poland;Gdańsk;114;7
2797;;100 %; United States of America;Signal Hill;114;28
2460;;100 %; Denmark;Nivå;112;12
3459;;100 %; Belgium;Oostende;110;1
2775;;9 %; Netherlands;Franeker;109;17
3299;;99 %; Netherlands;Zwijndrecht;108;24
3317;;100 %; Netherlands;Veere;107;8
2912;;93 %; Belgium;Zeebruge;106;18
2771;;100 %; Netherlands;West-Terschelling;106;62
2512;;100 %; Canada;Quadra Island;105;58
2117;;100 %; Indonesia;Bintulu, Sarawak;103;103
3198;;100 %; Norway;Jeloy, Moss;103;7
2817;;93 %; Netherlands;WSV de Kogge;102;20
2422;;100 %; Australia;Collaroy Plateau;102;60
2747;;100 %; Germany;Wilhelmshaven;102;10
2018;;100 %; United Kingdom;Cowes;102;16
2950;;90 %; United States of America;Anacortes, WA;101;8
2163;;100 %; Australia;Koumala;101;18
2481;;100 %; Finland;Vaasa;100;8
2708;;100 %; United Kingdom;Fareham;99;7
3933;;100 %; United Kingdom;Bursledon, Solent;99;7
2757;;100 %; United States of America;New Orleans;98;96
2305;;100 %; United States of America;Florida, Fort Lauderdale;97;0
2718;;100 %; Unknown;Roaming station;97;45
2975;;100 %; Turkey;Fethiye;97;94
