ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
3965,,100 %,ÿItaly,Genoa,174,27, 
2344,,100 %,ÿSlovenia,Koper,174,38, 
2602,,100 %,ÿSpain,Castelldefels,172,56, 
3092,,97 %,ÿUnited States of America,Bainbridge Island,172,3, 
2724,,100 %,ÿAustralia,"North Ryde, NSW",171,54, 
2619,,100 %,ÿUnited States of America,Groves,170,170, 
3377,,100 %,ÿUnited Kingdom,Gosport,166,12, 
2886,,100 %,ÿNetherlands,Maassluis,165,5, 
2029,,86 %,ÿNetherlands,Den Oever,165,11, 
3455,,100 %,ÿUnited States of America,Los Angeles,163,8, 
2093,,100 %,ÿFrance,Rouen,163,11, 
3665,,90 %,ÿSweden,Stockholm,159,66, 
2737,,100 %,ÿGermany,Hamburg,158,1, 
3332,,100 %,ÿRussian Federation,Vladivostok,158,158, 
2037,,100 %,ÿFrance,France,158,12, 
2355,,100 %,ÿSweden,"Torslanda, Gothenburg ",158,15, 
3537,,100 %,ÿPoland,Boles?awiec,157,4, 
3023,,100 %,ÿNetherlands,Rozenburg,154,4, 
2076,,100 %,ÿSpain,Murcia,154,104,Localiz
2087,,100 %,ÿGermany,Duisburg,152,105, 
2305,,100 %,ÿUnited States of America,"Florida, Fort Lauderdale",151,0, 
3203,,100 %,ÿGreece,Athens,150,9, 
2489,,0 %,ÿItaly,Genoa,150,6, 
2112,,100 %,ÿNetherlands,Harlingen,150,60, 
3513,,99 %,ÿNetherlands,Hoornaar,148,20, 
2726,,100 %,ÿUnited States of America,Seattle,147,0, 
2042,,100 %,ÿCanada,Vancouver,146,8, 
2388,,100 %,ÿFinland,Finland,143,68,Pocket Mariner
2747,,100 %,ÿGermany,Wilhelmshaven,143,6, 
2799,,81 %,ÿIndonesia,Jepara,143,142, 
2505,,100 %,ÿSweden,G”teborg,142,1, 
2826,,100 %,ÿUnknown,Roaming station,141,140, 
2443,,100 %,ÿNetherlands,Julianadorp,140,50, 
2940,,100 %,ÿAustralia,"Thornlands, Queensland",140,35, 
2281,,100 %,ÿPortugal,Sines,139,100, 
2035,,100 %,ÿUnited States of America,Seattle,139,132,Shine Micro
3681,,98 %,ÿUnited States of America,Seattle,139,0, 
3367,,100 %,ÿQatar,Doha,138,138, 
2335,,100 %,ÿFrance,Le Havre,136,5, 
3682,,100 %,ÿFrance,UK,135,30, 
2088,,96 %,ÿSingapore,Singapore,134,0, 
2806,,87 %,ÿUnited States of America,San Francisco,133,17, 
2139,,100 %,ÿDenmark,Islands Brygge,132,39, 
3335,,100 %,ÿNetherlands,Genderen,132,39, 
3824,,100 %,ÿUnited States of America,"Miami, FL",132,4, 
3156,,100 %,ÿGreece,Athens,131,2, 
3974,,100 %,ÿUnited States of America,Seattle,131,5, 
3700,,83 %,ÿNetherlands,Emmeloord,129,1, 
2831,,100 %,ÿNetherlands,Delft,129,0, 
2369,,100 %,ÿUnited States of America,Seattle,129,0, 
3322,,100 %,ÿKorea,Busan,129,9, 
3933,,100 %,ÿUnited Kingdom,"Bursledon, Solent",128,8, 
2718,,100 %,ÿUnknown,Roaming station,128,28, 
3616,,100 %,ÿNetherlands,Vlissingen,127,3, 
2857,,100 %,ÿCanada,Vancouver,127,0, 
2610,,100 %,ÿGermany,Kiel,126,46, 
2221,,100 %,ÿNorway,Stavanger,126,25, 
3207,,91 %,ÿThailand,Bangkok,124,8, 
2350,,98 %,ÿNetherlands,Delfzijl,124,82, 
2731,,100 %,ÿUkraine,Kyiv,124,1, 
3428,,99 %,ÿSpain,Valencia,124,0, 
3168,,100 %,ÿPoland,Gda?sk,124,1, 
3932,,100 %,ÿFrench Polynesia,Roaming station,123,0, 
3358,,100 %,ÿSweden,Gothenburg,123,0, 
3234,,100 %,ÿFrance,L'Epine,122,2, 
3287,,82 %,ÿNetherlands,Renesse,122,16, 
3143,,100 %,ÿUnited States of America,"Houston, Texas",121,90, 
3307,,93 %,ÿPoland,Gdansk,120,4, 
3329,,100 %,ÿUnited Kingdom,Plymouth,120,42, 
2797,,100 %,ÿUnited States of America,Signal Hill,120,35, 
2334,,63 %,ÿRussian Federation,Ust-Luga,118,92, 
3412,,100 %,ÿNetherlands,Rotterdam,118,0, 
2512,,100 %,ÿCanada,Quadra Island,117,62, 
2975,,99 %,ÿTurkey,Fethiye,117,99, 
2102,,100 %,ÿFrance,Antibes,116,2, 
2981,,75 %,ÿBelgium,Oostende,114,1, 
2708,,100 %,ÿUnited Kingdom,Fareham,114,4, 
3198,,100 %,ÿNorway,"Jeloy, Moss",113,6, 
2426,,100 %,ÿUnited States of America,San Francisco Bay,113,6, 
3012,,77 %,ÿTurkey,Istanbul,112,105, 
3634,,74 %,ÿItaly,Udine,112,9, 
3673,,100 %,ÿSpain,Barcelona,111,19, 
2770,,100 %,ÿNew Zealand,Marlborough Sounds,111,88, 
2471,,100 %,ÿFrance,UBS-Vannes,110,13, 
3984,,100 %,ÿNorway,Tromsoe,110,19, 
2371,,95 %,ÿIsrael,Haifa,108,0, 
2893,,95 %,ÿIsrael,Haifa,108,0, 
3376,,100 %,ÿUnited States of America,San Francisco,107,6, 
3842,,100 %,ÿUnited Kingdom,Brighton,107,55, 
3400,,100 %,ÿPhilippines,Paranaque,106,105, 
2460,,100 %,ÿDenmark,Niv†,106,8, 
2597,,100 %,ÿUnited States of America,San Pedro,105,18, 
2481,,100 %,ÿFinland,Vaasa,105,3, 
2018,,100 %,ÿUnited Kingdom,Cowes,104,12, 
2950,,55 %,ÿUnited States of America,"Anacortes, WA",103,34, 
2607,,100 %,ÿUnknown,Roaming station,103,9, 
3317,,100 %,ÿNetherlands,Veere,101,3,Marina Veere B.V.
3445,,100 %,ÿUnited Kingdom,Minster On Sea,99,0, 
3254,,100 %,ÿNetherlands,Emmeloord,96,3, 
2474,,100 %,ÿUnited Kingdom,Gosport,96,0, 
3299,,100 %,ÿNetherlands,Zwijndrecht,96,11, 
2523,,100 %,ÿNetherlands,Middenbeemster,95,0, 
2337,,100 %,ÿBrazil,Florianopolis,95,95, 
2955,,100 %,ÿCanada,Bowen Island,95,2, 
2464,,100 %,ÿGermany,Wentorf,95,7, 
2649,,100 %,ÿUnited Kingdom,Southampton,93,5, 
2345,,100 %,ÿUnknown,Multiple AIS stations,93,0, 
2693,,100 %,ÿFrance,Roaming station,93,0,SailGrib
3526,,100 %,ÿUnited Arab Emirates,Abu Dhabi,93,46, 
3653,,100 %,ÿGreece,Aegina Island,93,4, 
2648,,100 %,ÿUnited Kingdom,London,93,2, 
3752,,100 %,ÿJapan,Tokyo,92,91, 
2422,,90 %,ÿAustralia,Collaroy Plateau,92,45, 
3152,,95 %,ÿBelgium,Zeebrugge,91,31,Citymesh
2661,,98 %,ÿNetherlands,Amersfoort,91,1, 
2473,,100 %,ÿNorway,"Oslofjord, Fulehuk Lighthouse",91,13, 
2757,,100 %,ÿUnited States of America,New Orleans,91,91, 
2701,,95 %,ÿAustralia,O'Connor,90,49, 
3544,,100 %,ÿSweden,Gothenburg,90,1, 
2117,,99 %,ÿIndonesia,"Bintulu, Sarawak",90,90, 
2993,,90 %,ÿThailand,Samut Prakan,90,77, 
2573,,100 %,ÿItaly,Venice,90,24, 
3491,,76 %,ÿGermany,Hamburg,88,0, 
2922,,100 %,ÿSpain,Alcaidesa,87,42, 
3597,,100 %,ÿUnited States of America,Hampton Virginia,85,31, 
3093,,100 %,ÿCyprus,Limassol,85,77, 
2762,,96 %,ÿSingapore,Singapore,85,0, 
3271,,100 %,ÿSpain,Torrevieja,85,34, 
3264,,100 %,ÿNetherlands,Utrecht,85,19, 
2804,,100 %,ÿNorway,Oslo,84,5, 
2365,,100 %,ÿNew Zealand,Auckland,84,0, 
2641,,100 %,ÿGermany,Hooksiel,84,10, 
2807,,100 %,ÿGermany,Bremerhaven,83,0, 
2537,,99 %,ÿUnited States of America,"Savannah, Georgia",83,35, 
2817,,100 %,ÿNetherlands,WSV de Kogge,83,20, 
3939,,87 %,ÿFrance,Nice,83,4, 
2073,,100 %,ÿUnited Kingdom,Felixstowe ,82,14, 
2812,,100 %,ÿUnited States of America,San Francisco,82,55, 
2825,,100 %,ÿUnited Kingdom,Alton,81,10, 
2892,,100 %,ÿNetherlands,Duiven,80,27, 
2899,,100 %,ÿGermany,Berlin,80,59, 
2716,,100 %,ÿUnited Kingdom,Gosport,80,3, 
2278,,100 %,ÿArgentina,Mar del Plata,79,22, 
2277,,100 %,ÿUnited States of America,Dania Beach - Florida,79,7, 
2262,,98 %,ÿSweden,Karlskrona,78,73, 
3593,,100 %,ÿGermany,Rostock,78,38, 
2912,,100 %,ÿBelgium,Zeebruge,78,27,dotOcean
2771,,100 %,ÿNetherlands,West-Terschelling,77,40,Maritime Institute Willem Barentsz
2655,,100 %,ÿNetherlands,Sliedrecht,77,47, 
2099,,100 %,ÿUnited States of America,US East Coast,77,5, 
2813,,100 %,ÿCanada,Vancouver,77,0, 
3459,,76 %,ÿBelgium,Oostende,77,2,Flanders Marine Institute
2313,,100 %,ÿUnited Kingdom,"Broadstairs, Kent",76,3, 
2896,,100 %,ÿSpain,Barcelona,76,5,FroL
3581,,53 %,ÿGermany,Helgoland,76,54, 
2115,,100 %,ÿUnited Kingdom,London,76,0, 
2923,,100 %,ÿDenmark,Lemvig,76,76, 
3419,,96 %,ÿUnited States of America,"Cambridge, MA",75,35, 
2380,,100 %,ÿFinland,Helsinki,75,22, 
2586,,100 %,ÿNorway,"Jeloy, Moss",75,0, 
2137,,100 %,ÿGermany,Bremen,75,4, 
2252,,46 %,ÿSouth Africa,Umhlanga,73,20, 
2125,,38 %,ÿDenmark,Eg†,72,0, 
2346,,100 %,ÿNetherlands,Amsterdam,72,0, 
2845,,100 %,ÿGermany,Cuxhaven,72,46, 
2861,,100 %,ÿGermany,Karlsruhe,71,63,Fraunhofer IOSB
3457,,100 %,ÿUnited States of America,"Stephensville, Louisiana",71,50, 
2775,,100 %,ÿNetherlands,Franeker,71,6, 
3809,,100 %,ÿUnited States of America,Norfolk VA,70,13, 
2502,,100 %,ÿAustralia,Scarborough,70,36, 
2113,,100 %,ÿSaudi Arabia,Tabuk,70,69, 
2403,,100 %,ÿGermany,Stadersand,70,2, 
3004,,97 %,ÿSlovenia,Izola,69,1, 
3497,,100 %,ÿDenmark,R›dby,69,11, 
3136,,100 %,ÿNorway,Bergen,69,2, 
