ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor;ships_rel;cum_ships_rel;dist_rel;
2344;;100 %; Slovenia;Koper;80;5; ;0,08 %;79,85 %;0,02 %;76,47 %
3589;;100 %; Norway;Tomasjord;79;0; ;0,08 %;79,93 %;0,00 %;76,47 %
3473;;100 %; Netherlands;Breskens;79;0; ;0,08 %;80,02 %;0,00 %;76,47 %
2593;;100 %; Canada;Prince Rupert;79;0; ;0,08 %;80,10 %;0,00 %;76,47 %
3593;;100 %; Germany;Rostock;79;50; ;0,08 %;80,18 %;0,19 %;76,66 %
3526;;100 %; United Arab Emirates;Abu Dhabi;79;36; ;0,08 %;80,27 %;0,14 %;76,80 %
2422;;100 %; Australia;Collaroy Plateau;79;58; ;0,08 %;80,35 %;0,22 %;77,02 %
2812;;100 %; United States of America;San Francisco;79;65; ;0,08 %;80,43 %;0,25 %;77,26 %
2648;;100 %; United Kingdom;London;78;4; ;0,08 %;80,51 %;0,02 %;77,28 %
3423;;100 %; Germany;Oldendorf;77;19; ;0,08 %;80,59 %;0,07 %;77,35 %
2180;;100 %; France;Rouen;77;0; ;0,08 %;80,67 %;0,00 %;77,35 %
2365;;100 %; New Zealand;Auckland;77;5;;0,08 %;80,76 %;0,02 %;77,37 %
2180;;100 %; France;Rouen;77;0; ;0,08 %;80,84 %;0,00 %;77,37 %
3423;;100 %; Germany;Oldendorf;77;19; ;0,08 %;80,92 %;0,07 %;77,44 %
2892;;100 %; Netherlands;Duiven;76;21; ;0,08 %;81,00 %;0,08 %;77,52 %
3147;;100 %; Norway;Tromsø;76;0; ;0,08 %;81,08 %;0,00 %;77,52 %
3258;;53 %; Viet Nam;Haiphong;76;5; ;0,08 %;81,16 %;0,02 %;77,54 %
2655;;100 %; Netherlands;Sliedrecht;75;44; ;0,08 %;81,23 %;0,17 %;77,71 %
2586;;100 %; Norway;Jeloy, Moss;75;0; ;0,08 %;81,31 %;0,00 %;77,71 %
2825;;100 %; United Kingdom;Alton;75;11; ;0,08 %;81,39 %;0,04 %;77,75 %
2791;;100 %; United States of America;Florida, Tampa;75;54; ;0,08 %;81,47 %;0,20 %;77,95 %
2137;;100 %; Germany;Bremen;75;3; ;0,08 %;81,55 %;0,01 %;77,96 %
2701;;100 %; Australia;O'Connor;74;58; ;0,08 %;81,63 %;0,22 %;78,18 %
2959;;100 %; Spain;Valencia;73;0; ;0,08 %;81,70 %;0,00 %;78,18 %
2804;;100 %; Norway;Oslo;73;2; ;0,08 %;81,78 %;0,01 %;78,19 %
2279;;98 %; Australia;Minyama Sunshine Coast QLD;73;58; ;0,08 %;81,86 %;0,22 %;78,41 %
2537;;100 %; United States of America;Savannah, Georgia;72;23; ;0,08 %;81,93 %;0,09 %;78,50 %
3077;;100 %; Germany;Kiel;72;0; ;0,08 %;82,01 %;0,00 %;78,50 %
2289;;98 %; France;Six Fours Les Plages;72;71; ;0,08 %;82,08 %;0,27 %;78,77 %
2741;;100 %; United States of America;Stanford;72;7; ;0,08 %;82,16 %;0,03 %;78,80 %
3176;;100 %; Sweden;Näsudden Ingarö;72;6; ;0,08 %;82,23 %;0,02 %;78,82 %
