ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2213,,100 %,ÿUnknown,Worldwide,5694,2921, 
2010,,100 %,ÿNorway, ,3249,2496, 
2077,,78 %,ÿNetherlands,Harderwijk,1004,55, 
2241,,100 %,ÿNetherlands,Gouda,801,98, 
3438,,100 %,ÿNetherlands,Amsterdam,800,223, 
2902,,100 %,ÿSingapore,Singapore,772,103, 
3343,,100 %,ÿCanada,"Point Grey, BC",767,0, 
3103,,100 %,ÿCanada,Multiple Locations,767,0, 
2945,,100 %,ÿNetherlands,Rotterdam,764,29, 
2549,,63 %,ÿNetherlands,Zoetermeer,684,4, 
2459,,100 %,ÿNetherlands,Edam,650,15, 
2134,,100 %,ÿUnited States of America,"Fort Lauderdale, FL",647,116, 
3131,,100 %,ÿGreece,Elliniko,627,75, 
2141,,89 %,ÿNorway,Multiple AIS stations,607,119, 
2097,,100 %,ÿNetherlands,Hellevoetsluis,603,24,InterTransIS
2145,,100 %,ÿBelgium,Antwerp,567,228,Tresco Engineering
3567,,95 %,ÿSingapore,Singapore,516,139, 
2404,,100 %,ÿUnknown,Roaming stations,469,128, 
2918,,100 %,ÿSingapore,Singapore,460,20, 
2435,,100 %,ÿNetherlands,Katwijk,445,33, 
3344,,93 %,ÿGreece,Athens,444,4, 
2323,,100 %,ÿNetherlands,Marken,439,1, 
3272,,100 %,ÿHong Kong,Tseung Kwan O,429,281, 
2214,,99 %,ÿNetherlands,Rotterdam,411,2, 
2541,,93 %,ÿViet Nam,Haiphong,401,399, 
2446,,100 %,ÿNetherlands,IJmuiden,400,26, 
3074,,100 %,ÿGreece,Piraeus,396,1, 
2118,,100 %,ÿGreece,Alimos,378,1, 
2997,,100 %,ÿSingapore,Keppel Bay,377,22, 
3979,,100 %,ÿNetherlands,Hellevoetsluis,377,7, 
3808,,100 %,ÿSingapore,Singapore,372,74, 
3943,,100 %,ÿKorea,Busan,368,278, 
2577,,100 %,ÿGermany,Hamburg,366,21, 
3270,,100 %,ÿSweden,"Gothenburg - SW, S„r”",357,72, 
2843,,100 %,ÿUnited Kingdom,Gravesend,336,51, 
2042,,100 %,ÿCanada,Vancouver,334,25, 
3372,,100 %,ÿNetherlands,Wijchen,329,50, 
3046,,79 %,ÿTaiwan (Province of China),"Keelung, National Taiwan Ocean University",328,328, 
3182,,99 %,ÿUnited States of America,Seattle,312,59, 
2011,,100 %,ÿSweden,Gothenburg,311,1, 
2698,,100 %,ÿNetherlands,Arnemuiden Oranjeplaat,308,52, 
2164,,100 %,ÿSweden,"Goteborg, West Coast",307,1, 
2488,,100 %,ÿNetherlands,Oud-Beijerland,307,9, 
2276,,100 %,ÿBelgium,Schilde,306,14, 
3016,,100 %,ÿIndonesia,Jakarta,298,281, 
2744,,100 %,ÿUnited States of America,Seattle,295,10, 
3978,,100 %,ÿUnited States of America,"Mandeville, LA",293,292, 
2803,,100 %,ÿNetherlands,Bergharen,292,22, 
3040,,100 %,ÿNetherlands,Ter Heijde,292,14, 
2954,,80 %,ÿFrance,"Sophia Antipolis, MINES Paristech",289,127,MINES Paristech
3038,,100 %,ÿGreece,Piraeus,285,0, 
2484,,100 %,ÿUnited States of America,Biscayne Bay PS - Miami FL,284,53,SEAiq
2413,,100 %,ÿGermany,Hamburg Alster,282,2,www.searoutes.com
2987,,99 %,ÿNetherlands,"Vogelwaarde, Zeeland",270,42, 
3423,,78 %,ÿGermany,Oldendorf,267,49, 
2650,,100 %,ÿUnited States of America,"Sabine Pass, TX",263,90, 
2249,,100 %,ÿUnited States of America,San Diego,257,76, 
3857,,100 %,ÿGermany,Hamburg,254,0, 
2047,,100 %,ÿUnited States of America,Galveston Bay Texas,253,18, 
3116,,100 %,ÿNetherlands,Amsterdam,245,1, 
2475,,100 %,ÿNetherlands,Poortugaal,242,1, 
2068,,100 %,ÿSpain,Roaming station,242,8, 
