MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
373943000,2024-09-29T00:00:58,37.7074,-122.31539,0.0,123.2,290.0,ELM K,IMO9614294,3EVH2,79.0,1.0,181.0,28.0,6.1,79.0,A
373913000,2024-09-29T00:01:15,29.67389,-89.96375,0.0,208.4,339.0,INDIGO OMEGA,IMO9566423,3FIZ7,70.0,5.0,190.0,32.0,6.4,70.0,A
256613000,2024-09-29T00:00:13,48.80114,-123.34121,12.6,175.4,175.0,MAJORCA,IMO9294109,9HYQ8,70.0,0.0,225.0,32.0,7.6,70.0,A
577482000,2024-09-29T00:00:12,29.64673,-91.10535,0.0,0.0,27.0,NFE CLEAN ENERGY,IMO9315513,YJWY4,70.0,5.0,71.0,17.0,3.1,70.0,A
636016206,2024-09-29T00:00:21,30.33738,-78.16088,17.2,18.7,20.0,LAKE WANAKA,IMO9432892,D5EZ8,70.0,0.0,183.0,32.0,9.0,90.0,A
228439900,2024-09-29T00:00:28,34.45424,-70.03672,7.7,21.9,16.0,ANEMOS,IMO9982938,FMUZ,79.0,8.0,81.0,13.0,3.7,79.0,A
367330830,2024-09-29T00:00:35,28.40093,-89.00592,0.4,143.2,511.0,ODYSSEA DARWIN,IMO9343120,WDE2876,79.0,0.0,48.0,13.0,3.7,70.0,A
477732100,2024-09-29T00:00:58,29.58519,-89.8206,0.0,164.9,298.0,IONA ISLAND,IMO9641780,VRUG9,70.0,1.0,180.0,30.0,6.9,70.0,A
431772000,2024-09-29T00:00:07,39.76411,-73.68926,9.2,0.1,3.0,ONE OWL,IMO9741449,7KBK,71.0,0.0,364.0,51.0,11.8,70.0,A
538008750,2024-09-29T00:00:29,23.6989,-83.21511,16.3,108.6,105.0,ARTEMIS BULKER,IMO9860673,V7A2720,70.0,0.0,199.0,32.0,9.6,70.0,A
636021579,2024-09-29T00:00:43,29.93961,-90.14199,0.0,56.4,1.0,BUNUN TREASURE,IMO9894715,5LEQ7,70.0,5.0,180.0,30.0,5.6,70.0,A
373636000,2024-09-29T00:01:03,25.98697,-78.04364,1.1,60.6,70.0,SIDER COLOMBIA,IMO9656541,3FLP8,79.0,2.0,139.0,22.0,5.4,70.0,A
356066000,2024-09-29T00:00:04,36.92942,-125.38549,7.3,305.6,301.0,GIRASOLE RIVER,IMO9882322,3EUC4,70.0,0.0,229.0,32.0,13.9,70.0,A
