,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,TransceiverClass,size,size_scaled,size_traced
11638,636019245,2024-09-12T00:01:56,18.43214,-66.10044,0.0,182.1,59.0,CONTSHIP DON,IMO9347956,D5TP5,70.0,5.0,148.0,23.0,8.6,A,29274.399999999998,3.734501738981022,3.734501738981022
11643,319132300,2024-09-12T00:00:24,36.73137,-75.64479,0.1,299.0,104.0,TEGEA,IMO9478937,ZGHJ4,70.0,1.0,190.0,32.0,12.7,A,77216.0,6.575030958009682,6.575030958009682
11650,219209000,2024-09-12T00:00:08,34.19198,-77.95593,0.2,26.4,1.0,DANICA SUNRISE,IMO8702410,OXWB2,70.0,5.0,66.0,10.0,3.2,A,2112.0,2.1251355338701363,2.1251355338701363
11651,538005709,2024-09-12T00:01:51,29.92337,-89.9313,0.0,173.6,283.0,TOMINI OROSHI,IMO9714795,V7GG9,70.0,5.0,180.0,32.0,7.1,A,40896.0,4.4230789740308225,4.4230789740308225
11679,338034000,2024-09-12T00:01:25,29.315,-94.79417,0.0,69.5,153.0,CAPE HOPE,IMO9292319,WDJ4747,70.0,5.0,63.0,16.0,4.2,A,4233.6,2.2508398656215007,2.2508398656215007
11724,636021393,2024-09-12T00:02:13,40.66447,-74.14512,0.0,267.0,28.0,MSC EVEREST,IMO9286231,D5VF6,70.0,5.0,334.0,43.0,12.5,A,179525.0,12.636816627858062,12.636816627858062
11758,367370000,2024-09-12T00:01:57,30.40143,-87.20913,0.0,251.1,258.0,US GOVT VESSEL,IMO8302466,NWRB,79.0,5.0,205.0,32.0,8.4,A,55104.0,5.264899838248103,5.264899838248103
11783,368053000,2024-09-12T00:02:29,36.76352,-75.69879,0.0,219.7,87.0,MAERSK KANSAS,IMO9311701,WDD7559,71.0,1.0,292.0,32.0,10.9,A,101849.6,8.034566321240455,8.034566321240455
11787,636021244,2024-09-12T00:02:29,49.02334,-123.14744,0.0,328.8,32.0,YM TOGETHER,IMO9789984,5LCZ4,71.0,5.0,333.0,48.0,14.4,A,230169.6,15.63749800031995,15.63749800031995
11805,303829046,2024-09-12T00:01:43,36.85825,-76.31867,0.0,52.5,511.0,CAPE STARR,IMO9578969,WDU2000,70.0,5.0,240.0,38.0,0.0,A,0.0,2.0,2.0
11817,338919000,2024-09-12T00:02:59,29.31264,-94.81881,0.0,227.3,284.0,KENNEDY,IMO6621662,KVMU,70.0,5.0,164.0,24.0,8.7,A,34243.2,4.028902042339892,4.028902042339892
11819,256239000,2024-09-12T00:02:55,48.40964,-89.17032,0.0,255.2,164.0,MIEDWIE,IMO9393448,9HA5757,70.0,1.0,190.0,24.0,6.7,A,30552.0,3.810199257007768,3.810199257007768
11828,538006472,2024-09-12T00:02:46,27.64173,-83.05285,0.1,160.1,243.0,FEDERAL CARIBOU,IMO9671096,V7NK6,70.0,1.0,200.0,23.0,6.5,A,29900.0,3.771568400907707,3.771568400907707
11839,636093041,2024-09-12T00:03:42,33.76649,-118.27361,0.0,18.2,81.0,CONTI CONQUEST,IMO9293818,5LCJ8,71.0,5.0,334.0,42.0,12.3,A,172544.40000000002,12.223217618514374,12.223217618514374
11884,367596830,2024-09-12T00:04:16,29.14651,-90.2131,0.0,326.7,60.0,HOS CLAYMORE,IMO9647588,WDH2366,70.0,5.0,100.0,20.0,4.0,A,8000.0,2.473998234356577,2.473998234356577
12021,369050000,2024-09-12T00:43:25,29.13588,-90.21919,0.0,142.5,259.0,STIM STAR III,IMO9274991,WDA7484,70.0,5.0,79.0,18.0,5.6,A,7963.2,2.471817842478537,2.471817842478537
12109,538009562,2024-09-12T05:44:29,22.44964,-84.84742,18.9,39.1,39.0,DEL MONTE ROSE,IMO9849655,V7A4892,70.0,0.0,192.0,30.0,8.9,A,51264.0,5.037380685756945,0.25
12111,636093159,2024-09-12T05:50:45,18.42544,-69.63062,0.0,242.0,348.0,AS CLAUDIA,IMO9330549,D5MS9,71.0,5.0,222.0,30.0,11.2,A,74592.0,6.419559537140724,6.419559537140724
12120,538007274,2024-09-12T06:38:07,45.49312,-73.51699,0.8,167.9,169.0,FEDERAL SAKURA,IMO9288291,V7EO6,70.0,0.0,190.0,23.0,8.4,A,36708.0,4.174940898345154,0.25
12227,538007406,2024-09-12T14:59:34,32.79648,-79.91715,7.9,190.7,192.0,SOUTHPORT EAGLE,IMO9575228,V7FW5,79.0,0.0,199.0,32.0,7.2,A,45849.6,4.716578680744414,0.25
12391,477136800,2024-09-11T00:00:01,35.84789,-122.25037,17.4,325.3,325.0,COSCO KAOHSIUNG,IMO9355563,VREM3,71.0,0.0,349.0,46.0,13.8,A,221545.2,15.126504203771843,0.25
12402,367622850,2024-09-11T00:00:04,29.11923,-90.21158,0.0,301.9,142.0,FMS ENDURANCE,IMO9209075,WDH4937,75.0,0.0,62.0,13.0,3.2,A,2579.2000000000003,2.1528170307565606,0.25
12415,246900000,2024-09-11T00:00:05,42.21902,-81.04678,11.1,251.2,249.0,VOLGABORG,IMO9631072,PCSQ,70.0,0.0,142.0,15.0,6.3,A,13419.0,2.7950727883538633,0.25
12420,303923000,2024-09-11T00:00:01,30.02648,-93.99914,0.0,0.0,13.0,CAPE VICTORY,IMO8211306,KAEY,70.0,15.0,193.0,28.0,6.5,A,35126.0,4.081207747501141,4.081207747501141
12448,366904940,2024-09-11T00:00:08,46.40984,-84.24148,8.7,338.7,339.0,PAUL R TREGURTHA,IMO7729057,WYR4481,70.0,0.0,309.0,32.0,8.2,A,81081.59999999999,6.804066904850779,0.25
12450,538009667,2024-09-11T00:00:05,28.98717,-119.97117,10.3,310.0,316.0,DEVBULK SINEM,IMO9416458,V7A5019,70.0,0.0,180.0,30.0,10.7,A,57779.99999999999,5.423452247640377,0.25
12456,367309990,2024-09-11T00:00:01,29.81446,-93.34653,0.0,41.0,511.0,MISS PEGGY ANN,IMO8977754,WDD9336,70.0,0.0,40.0,7.0,0.0,A,0.0,2.0,0.25
12516,357839000,2024-09-11T00:00:02,31.94738,-80.68328,8.4,311.0,320.0,TAO BRAVE,IMO9487586,3FLN4,70.0,0.0,158.0,24.0,8.9,A,33748.8,3.999608951456656,0.25
12556,338931000,2024-09-11T00:00:08,36.86598,-76.31588,0.0,0.0,227.0,US GOV VESSEL,IMO9145449,NEHM,70.0,5.0,289.0,32.0,8.4,A,77683.2,6.602712454896106,6.602712454896106
12598,538010900,2024-09-11T00:00:09,24.43064,-117.76341,13.4,122.5,121.0,SSI DOMINION,IMO1029455,V7A6292,70.0,0.0,199.0,32.0,10.3,A,65590.40000000001,5.886216723842704,0.25
12659,368053000,2024-09-11T00:00:26,34.26161,-75.58653,15.5,46.4,48.0,MAERSK KANSAS,IMO9311701,WDD7559,71.0,0.0,292.0,32.0,10.5,A,98112.0,7.813114346149061,0.25
12690,538002635,2024-09-11T00:00:03,48.22265,-123.57391,6.3,92.0,85.0,STAR NINA,IMO9354832,V7KK6,70.0,0.0,229.0,32.0,8.7,A,63753.59999999999,5.777386729234433,0.25
12714,351446000,2024-09-11T00:00:01,36.80486,-74.57741,0.6,280.8,307.0,MORNING CAROLINE,IMO9338723,H3OO,79.0,0.0,199.0,32.0,7.6,A,48396.799999999996,4.867499718563549,0.25
12724,316047639,2024-09-11T00:00:39,49.52845,-124.10533,0.1,227.4,152.0,CANPAC VALOUR,IMO9396684,CFA3516,70.0,0.0,49.0,13.0,2.3,A,1465.1,2.0868068516444778,0.25
12728,538006785,2024-09-11T00:01:00,41.63891,-87.1502,0.0,218.7,181.0,FEDERAL SETO,IMO9267209,V7RG6,70.0,5.0,199.0,23.0,7.4,A,33869.8,4.006778174751299,4.006778174751299
12825,352898806,2024-09-11T00:00:03,25.80065,-80.25087,0.0,43.9,133.0,BAHAMAS PEARL,IMO9356347,HOA5301,75.0,0.0,59.0,14.0,2.2,A,1817.2,2.1076686989340967,0.25
12846,256865000,2024-09-11T00:00:07,18.01133,-68.35243,10.1,209.0,209.0,KALLONE,IMO9370006,9HA6006,70.0,0.0,189.0,32.0,7.4,A,44755.200000000004,4.651735722284435,0.25
12867,563174100,2024-09-11T00:00:58,33.75366,-118.26393,0.0,334.7,44.0,WAN HAI 357,IMO9930387,9V7389,70.0,5.0,204.0,35.0,9.8,A,69972.0,6.145825556799801,6.145825556799801
12875,366987890,2024-09-11T00:00:17,29.12167,-90.20846,0.0,318.0,511.0,CAPT RUDY,IMO9337420,WDC2099,70.0,8.0,50.0,10.0,0.0,A,0.0,2.0,2.0
12877,636021244,2024-09-11T00:01:10,48.51011,-125.55777,12.3,117.6,117.0,YM TOGETHER,IMO9789984,5LCZ4,71.0,0.0,333.0,48.0,14.4,A,230169.6,15.63749800031995,0.25
12887,563211800,2024-09-11T00:00:15,31.77391,-116.66591,0.0,325.9,279.0,EA CETUS,IMO9967495,9V8975,70.0,1.0,272.0,43.0,11.2,A,130995.2,9.761436688648335,9.761436688648335
12902,262005000,2024-09-11T00:00:37,31.12981,-81.4926,0.0,197.4,164.0,KOTOR,IMO9575981,4OCE,70.0,5.0,179.0,28.0,9.4,A,47112.8,4.791423001949318,4.791423001949318
12909,319132300,2024-09-11T00:00:25,36.73282,-75.64238,0.1,12.0,188.0,TEGEA,IMO9478937,ZGHJ4,70.0,1.0,190.0,32.0,6.5,A,39520.0,4.341551277721491,4.341551277721491
12947,366843080,2024-09-11T00:00:17,29.2549,-89.96932,0.0,31.8,511.0,CAPT LEVERT,IMO1123753,WDA7416,70.0,5.0,36.0,9.0,0.0,A,0.0,2.0,2.0
12964,538005709,2024-09-11T00:01:49,29.9234,-89.93126,0.0,35.2,281.0,TOMINI OROSHI,IMO9714795,V7GG9,70.0,5.0,180.0,32.0,7.1,A,40896.0,4.4230789740308225,4.4230789740308225
12979,338034000,2024-09-11T00:01:19,29.315,-94.7942,0.0,69.5,154.0,CAPE HOPE,IMO9292319,WDJ4747,70.0,5.0,63.0,16.0,4.2,A,4233.6,2.2508398656215007,2.2508398656215007
13003,366938770,2024-09-11T00:02:00,41.69375,-83.45973,0.0,190.5,11.0,H LEE WHITE,IMO7366362,WZD2465,70.0,5.0,215.0,23.0,8.7,A,43021.5,4.549014379921434,4.549014379921434
13099,538006472,2024-09-11T00:02:46,27.63903,-83.05497,0.0,74.8,19.0,FEDERAL CARIBOU,IMO9671096,V7NK6,70.0,1.0,200.0,23.0,7.8,A,35880.0,4.125882081089248,4.125882081089248
13111,636021393,2024-09-11T00:01:37,40.12534,-72.64571,0.2,51.1,132.0,MSC EVEREST,IMO9286231,D5VF6,70.0,0.0,334.0,43.0,12.5,A,179525.0,12.636816627858062,0.25
13115,352283000,2024-09-11T00:02:05,39.24148,-76.56597,0.0,310.3,144.0,FRONTIER ACE,IMO9209271,H3CM,70.0,5.0,190.0,32.0,8.6,A,52288.0,5.098052459754587,5.098052459754587
13140,352586000,2024-09-11T00:00:15,25.68922,-117.31704,13.7,175.9,174.0,KEY OPUS,IMO9518206,3FPD,70.0,0.0,229.0,32.0,14.7,A,107721.59999999999,8.38248102525818,0.25
13153,367750000,2024-09-11T00:01:46,29.49702,-88.80863,0.3,280.8,69.0,HARVEY SUPPLIER,IMO9388118,WDAW,70.0,0.0,77.0,18.0,3.1,A,4296.6,2.254572601717059,0.25
13160,563231800,2024-09-11T00:02:40,18.43213,-66.10033,0.0,131.3,60.0,H CYGNUS,IMO9946233,5LEC6,71.0,5.0,172.0,28.0,7.2,A,34675.200000000004,4.054497946995148,4.054497946995148
13182,303829046,2024-09-11T00:01:42,36.85828,-76.31867,0.0,68.8,511.0,CAPE STARR,IMO9578969,WDU2000,70.0,5.0,240.0,38.0,0.0,A,0.0,2.0,2.0
13192,563098300,2024-09-11T00:01:57,30.19377,-91.11464,0.0,225.8,225.0,SARAH H,IMO9858539,9V8410,70.0,1.0,229.0,32.0,14.3,A,104790.40000000001,8.208808072189932,8.208808072189932
13231,367596830,2024-09-11T00:01:08,29.1465,-90.2131,0.0,326.7,60.0,HOS CLAYMORE,IMO9647588,WDH2366,70.0,5.0,100.0,20.0,4.0,A,8000.0,2.473998234356577,2.473998234356577
13236,636093041,2024-09-11T00:03:42,33.76647,-118.27366,0.0,18.2,81.0,CONTI CONQUEST,IMO9293818,5LCJ8,71.0,5.0,334.0,42.0,12.3,A,172544.40000000002,12.223217618514374,12.223217618514374
13257,338919000,2024-09-11T00:02:50,29.31267,-94.81886,0.0,240.0,284.0,KENNEDY,IMO6621662,KVMU,70.0,5.0,164.0,24.0,8.7,A,34243.2,4.028902042339892,4.028902042339892
13302,367370000,2024-09-11T00:04:56,30.40145,-87.20919,0.0,251.1,258.0,US GOVT VESSEL,IMO8302466,NWRB,79.0,5.0,205.0,32.0,8.4,A,55104.0,5.264899838248103,5.264899838248103
13304,538006469,2024-09-11T00:02:06,48.40253,-89.15436,0.1,221.7,45.0,FEDERAL CHURCHILL,IMO9671060,V7NK3,70.0,1.0,200.0,23.0,6.2,A,28520.0,3.6898037054811974,3.6898037054811974
13326,256239000,2024-09-11T00:08:47,48.40702,-89.17145,0.0,350.6,57.0,MIEDWIE,IMO9393448,9HA5757,70.0,1.0,190.0,24.0,8.1,A,36936.0,4.188449848024316,4.188449848024316
13337,563076300,2024-09-11T00:08:28,40.68135,-74.14651,0.0,314.2,309.0,MAERSK GIRONDE,IMO9235555,9V6212,71.0,5.0,292.0,32.0,13.0,A,121472.0,9.197189190470265,9.197189190470265
13339,305146000,2024-09-11T00:07:40,24.42,-80.251,10.0,237.0,236.0,INDUSTRIALCHALLENGER,IMO9213935,V2HI2,70.0,0.0,120.0,20.0,5.2,A,12480.0,2.7394372455962603,0.25
13351,255806187,2024-09-11T00:08:59,41.624,-70.91423,0.0,254.5,345.0,UHL FRONTIER,IMO9789685,CQAI9,70.0,5.0,150.0,26.0,7.7,A,30030.0,3.779270872216001,3.779270872216001
13362,369050000,2024-09-11T00:11:29,29.13591,-90.21918,0.0,142.5,259.0,STIM STAR III,IMO9274991,WDA7484,70.0,5.0,79.0,18.0,5.6,A,7963.2,2.471817842478537,2.471817842478537
13389,304676000,2024-09-11T00:25:45,27.27302,-79.38913,14.2,2.2,4.0,THORCO CYGNUS,IMO9294977,V2BQ2,70.0,0.0,145.0,18.0,5.7,A,14877.0,2.88145896656535,0.25
13394,413219610,2024-09-11T00:28:54,24.88385,-97.06891,7.7,32.4,28.0,KANG HUAN,IMO9277644,BOCA8,70.0,0.0,190.0,32.0,11.3,A,68704.0,6.0706968366542835,0.25
13438,636019245,2024-09-11T01:51:08,18.11846,-68.90868,12.9,115.1,114.0,CONTSHIP DON,IMO9347956,D5TP5,70.0,0.0,148.0,23.0,7.8,A,26551.2,3.5731527400060434,0.25
13439,538007406,2024-09-11T01:52:11,32.8303,-79.94217,0.0,333.9,158.0,SOUTHPORT EAGLE,IMO9575228,V7FW5,79.0,5.0,199.0,32.0,11.8,A,75142.40000000001,6.452170615664458,6.452170615664458
13503,311000972,2024-09-11T07:48:14,17.56978,-68.71796,17.8,53.5,52.0,BALTIC PERFORMER,IMO9016674,C6EQ6,70.0,0.0,150.0,22.0,8.2,A,27059.999999999996,3.6032990277111216,0.25
13506,219209000,2024-09-11T08:12:11,34.19199,-77.95592,0.1,325.2,3.0,DANICA SUNRISE,IMO8702410,OXWB2,70.0,5.0,66.0,10.0,3.2,A,2112.0,2.1251355338701363,2.1251355338701363
13557,305536000,2024-09-11T13:12:31,19.16754,-68.7596,13.5,135.9,136.0,BBC ECHO,IMO9407603,V2ES5,70.0,0.0,139.0,20.0,7.7,A,21406.0,3.268300775579611,0.25
13581,312802000,2024-09-11T16:43:37,25.70988,-79.30782,7.6,310.1,317.0,SUNGARI,IMO7928160,V3NC8,70.0,0.0,105.0,19.0,0.0,A,0.0,2.0,0.25
13661,262005000,2024-09-07T00:00:00,36.65203,-75.61938,11.0,141.9,139.0,KOTOR,IMO9575981,4OCE,70.0,0.0,179.0,28.0,9.1,A,45609.2,4.702335033801999,0.25
13672,563098300,2024-09-07T00:00:05,29.92336,-89.96574,9.7,286.0,285.0,SARAH H,IMO9858539,9V8410,70.0,0.0,229.0,32.0,14.6,A,106988.8,8.339062786991118,0.25
13693,367309990,2024-09-07T00:00:01,29.57133,-92.30148,16.2,8.7,511.0,MISS PEGGY ANN,IMO8977754,WDD9336,70.0,0.0,40.0,7.0,0.0,A,0.0,2.0,0.25
13763,215965000,2024-09-07T00:00:04,42.18721,-131.7754,16.6,300.7,301.0,CMA CGM C COLOMB,IMO9453559,9HA5397,71.0,0.0,365.0,52.0,11.2,A,212576.0,14.595081083322965,0.25
13768,304122000,2024-09-07T00:00:03,33.67433,-78.16876,13.0,214.5,215.0,PEGASUS J,IMO9355434,V2CF5,79.0,0.0,140.0,22.0,6.3,A,19404.0,3.1496827174318778,0.25
13887,366843080,2024-09-07T00:00:01,29.25458,-89.97163,0.0,66.8,511.0,CAPT LEVERT,IMO1123753,WDA7416,70.0,0.0,36.0,9.0,0.0,A,0.0,2.0,0.25
13908,303923000,2024-09-07T00:00:02,30.0265,-93.99912,0.0,0.0,13.0,CAPE VICTORY,IMO8211306,KAEY,70.0,15.0,193.0,28.0,0.0,A,0.0,2.0,2.0
14008,636019985,2024-09-07T00:00:19,47.27253,-122.40631,0.0,360.0,133.0,YM TARGET,IMO9860934,D5XC6,71.0,5.0,330.0,48.0,13.4,A,212256.0,14.576121153948703,14.576121153948703
14020,413219610,2024-09-07T00:00:28,26.08097,-97.01169,0.2,137.9,10.0,KANG HUAN,IMO9277644,BOCA8,70.0,1.0,190.0,32.0,11.3,A,68704.0,6.0706968366542835,6.0706968366542835
14022,338931000,2024-09-07T00:00:38,36.86597,-76.31588,0.0,0.0,227.0,US GOV VESSEL,IMO9145449,NEHM,70.0,5.0,289.0,32.0,0.0,A,0.0,2.0,2.0
14033,311001296,2024-09-07T00:00:07,24.21559,-80.43236,13.7,60.4,61.0,ANGEL,IMO9590620,C6GN6,79.0,0.0,190.0,28.0,10.3,A,54796.00000000001,5.2466509062253746,0.25
14037,305536000,2024-09-07T00:00:25,30.71082,-88.04041,0.0,360.0,349.0,BBC ECHO,IMO9407603,V2ES5,70.0,5.0,139.0,20.0,5.2,A,14456.0,2.8565148094823347,2.8565148094823347
14066,209593000,2024-09-07T00:00:03,32.08705,-81.09708,7.2,316.8,318.0,CONTSHIP ZOE,IMO9434797,5BFL5,70.0,0.0,147.0,22.0,7.2,A,23284.8,3.379619260918253,0.25
14071,305146000,2024-09-07T00:00:01,37.5955,-74.25483,11.7,187.0,183.0,INDUSTRIALCHALLENGER,IMO9213935,V2HI2,70.0,0.0,120.0,20.0,5.8,A,13920.0,2.8247569277804443,0.25
14098,352586000,2024-09-07T00:00:08,34.17484,-125.09189,12.6,138.5,137.0,KEY OPUS,IMO9518206,3FPD,70.0,0.0,229.0,32.0,13.7,A,100393.59999999999,7.948298642587556,0.25
14165,636019245,2024-09-07T00:00:10,18.57464,-66.18158,1.3,259.4,343.0,CONTSHIP DON,IMO9347956,D5TP5,70.0,0.0,148.0,23.0,7.6,A,25870.399999999998,3.5328154902622986,0.25
14166,366904940,2024-09-07T00:00:16,45.91383,-86.00208,0.0,257.1,333.0,PAUL R TREGURTHA,IMO7729057,WYR4481,70.0,1.0,309.0,32.0,8.3,A,82070.40000000001,6.862653086617253,6.862653086617253
14173,538006472,2024-09-07T00:00:08,25.68582,-83.27793,10.3,2.4,4.0,FEDERAL CARIBOU,IMO9671096,V7NK6,70.0,0.0,200.0,23.0,6.5,A,29900.0,3.771568400907707,0.25
14232,366938770,2024-09-07T00:00:08,46.50333,-84.34406,0.0,266.2,267.0,H LEE WHITE,IMO7366362,WZD2465,70.0,0.0,215.0,23.0,8.7,A,43021.5,4.549014379921434,0.25
14236,369050000,2024-09-07T00:00:27,29.1367,-90.2195,0.0,101.8,172.0,STIM STAR III,IMO9274991,WDA7484,70.0,0.0,79.0,18.0,5.6,A,7963.2,2.471817842478537,0.25
14239,319132300,2024-09-07T00:00:56,37.23866,-76.09065,0.0,136.0,5.0,TEGEA,IMO9478937,ZGHJ4,70.0,1.0,190.0,32.0,9.0,A,54720.0,5.242147922998987,5.242147922998987
14244,563174100,2024-09-07T00:00:07,33.62763,-120.00001,9.5,92.0,92.0,WAN HAI 357,IMO9930387,9V7389,70.0,0.0,204.0,35.0,10.1,A,72114.0,6.272738584048775,0.25
14265,538005452,2024-09-07T00:01:05,24.68281,-117.12664,16.6,297.6,298.0,MORNING POST,IMO9669029,V7EA8,70.0,0.0,199.0,35.0,8.1,A,56416.5,5.342665173572229,0.25
14294,303829046,2024-09-07T00:01:43,36.85828,-76.31863,0.1,43.0,511.0,CAPE STARR,IMO9578969,WDU2000,70.0,5.0,240.0,38.0,0.0,A,0.0,2.0,2.0
14303,538007406,2024-09-07T00:01:11,32.83025,-79.94217,0.1,213.8,158.0,SOUTHPORT EAGLE,IMO9575228,V7FW5,79.0,5.0,199.0,32.0,12.5,A,79600.0,6.716282431847942,6.716282431847942
14309,352283000,2024-09-07T00:00:40,32.74322,-79.84879,10.9,11.8,267.0,FRONTIER ACE,IMO9209271,H3CM,70.0,0.0,190.0,32.0,8.9,A,54112.0,5.206124057187887,0.25
14316,538005709,2024-09-07T00:01:15,29.92347,-89.93129,0.0,296.8,280.0,TOMINI OROSHI,IMO9714795,V7GG9,70.0,5.0,180.0,32.0,7.1,A,40896.0,4.4230789740308225,4.4230789740308225
14325,366987890,2024-09-07T00:00:09,28.99788,-88.7883,6.0,62.3,511.0,CAPT RUDY,IMO9337420,WDC2099,70.0,8.0,50.0,10.0,0.0,A,0.0,2.0,2.0
14332,255806187,2024-09-07T00:01:12,41.35042,-71.25704,0.2,149.7,78.0,UHL FRONTIER,IMO9789685,CQAI9,70.0,1.0,150.0,26.0,7.7,A,30030.0,3.779270872216001,3.779270872216001
14339,368053000,2024-09-07T00:01:40,28.39747,-93.18348,13.7,125.0,124.0,MAERSK KANSAS,IMO9311701,WDD7559,71.0,0.0,292.0,32.0,9.6,A,89702.4,7.314847402193426,0.25
14384,367370000,2024-09-07T00:01:56,30.40138,-87.20927,0.0,251.1,259.0,US GOVT VESSEL,IMO8302466,NWRB,79.0,5.0,205.0,32.0,8.4,A,55104.0,5.264899838248103,5.264899838248103
14398,353408000,2024-09-07T00:01:48,30.0523,-90.66328,0.1,176.7,248.0,BULK XAYMACA,IMO9362190,3EEE2,79.0,5.0,225.0,32.0,9.4,A,67680.0,6.010025062656642,6.010025062656642
14479,538006785,2024-09-07T00:01:07,41.63858,-87.15024,0.1,203.6,181.0,FEDERAL SETO,IMO9267209,V7RG6,70.0,5.0,199.0,23.0,7.2,A,32954.4,3.9525409267850478,3.9525409267850478
14523,563058900,2024-09-07T00:03:07,22.99317,-83.45343,17.2,254.0,256.0,X-PRESS MACHU PICCHU,IMO9325441,9V8324,71.0,0.0,200.0,32.0,11.1,A,71040.0,6.2091043210864045,0.25
14530,477136800,2024-09-07T00:02:35,33.74082,-118.19739,0.0,137.2,269.0,COSCO KAOHSIUNG,IMO9355563,VREM3,71.0,5.0,349.0,46.0,13.8,A,221545.2,15.126504203771843,15.126504203771843
14532,538006469,2024-09-07T00:02:13,46.75215,-92.09655,0.1,188.7,242.0,FEDERAL CHURCHILL,IMO9671060,V7NK3,70.0,5.0,200.0,23.0,8.2,A,37720.0,4.234901674991261,4.234901674991261
14567,367750000,2024-09-07T00:01:48,29.13645,-90.20217,0.0,80.3,160.0,HARVEY SUPPLIER,IMO9388118,WDAW,70.0,0.0,77.0,18.0,4.1,A,5682.599999999999,2.3366927958193355,0.25
14578,369285000,2024-09-07T00:02:06,47.27441,-122.40507,0.0,38.7,312.0,NORTH STAR,IMO9232280,KIYI,70.0,5.0,256.0,36.0,9.7,A,89395.2,7.296645869994134,7.296645869994134
14594,636018262,2024-09-07T00:02:39,49.29017,-123.09917,0.0,36.0,113.0,YM PLUM,IMO9198264,D5OX5,70.0,5.0,274.0,40.0,12.2,A,133712.0,9.92240648903583,9.92240648903583
14651,338919000,2024-09-07T00:02:57,29.31275,-94.81889,0.0,276.9,284.0,KENNEDY,IMO6621662,KVMU,70.0,5.0,164.0,24.0,8.7,A,34243.2,4.028902042339892,4.028902042339892
14663,304676000,2024-09-07T00:04:02,30.05115,-90.6674,0.0,20.7,246.0,THORCO CYGNUS,IMO9294977,V2BQ2,70.0,5.0,145.0,18.0,4.7,A,12267.0,2.726817042606516,2.726817042606516
14690,367596830,2024-09-07T00:06:44,29.14347,-90.21478,0.0,251.0,341.0,HOS CLAYMORE,IMO9647588,WDH2366,70.0,5.0,100.0,20.0,4.0,A,8000.0,2.473998234356577,2.473998234356577
14758,256239000,2024-09-07T00:26:17,48.40608,-89.1706,0.0,293.7,41.0,MIEDWIE,IMO9393448,9HA5757,70.0,1.0,190.0,24.0,6.7,A,30552.0,3.810199257007768,3.810199257007768
14785,351446000,2024-09-07T01:01:40,27.54026,-77.40346,18.5,319.4,321.0,MORNING CAROLINE,IMO9338723,H3OO,79.0,0.0,199.0,32.0,7.6,A,48396.799999999996,4.867499718563549,0.25
14790,563211800,2024-09-07T01:10:57,38.01282,-135.795,16.6,119.9,119.0,EA CETUS,IMO9967495,9V8975,70.0,0.0,272.0,43.0,11.2,A,130995.2,9.761436688648335,0.25
14856,538006475,2024-09-07T04:07:13,25.95991,-77.87126,12.6,285.1,284.0,DSI AQUILA,IMO9729362,V7ID4,70.0,0.0,198.0,32.0,11.9,A,75398.40000000001,6.467338559163868,0.25
14870,538010900,2024-09-07T05:20:11,33.90342,-138.17418,12.8,109.5,109.0,SSI DOMINION,IMO1029455,V7A6292,70.0,0.0,199.0,32.0,10.3,A,65590.40000000001,5.886216723842704,0.25
14878,246900000,2024-09-07T05:57:39,45.04982,-74.55988,8.6,238.7,239.0,VOLGABORG,IMO9631072,PCSQ,70.0,0.0,142.0,15.0,6.3,A,13419.0,2.7950727883538633,0.25
14882,305856000,2024-09-07T06:40:36,30.0136,-140.70667,15.6,270.2,270.0,BBC MOONSTONE,IMO9563732,V2FY9,70.0,0.0,154.0,24.0,7.8,A,28828.8,3.7081000373273607,0.25
14883,374968000,2024-09-07T06:52:24,27.86578,-77.54058,11.9,252.8,254.0,BUNUN HERO,IMO9738894,3FHM5,70.0,0.0,179.0,29.0,11.1,A,57620.1,5.413978207931176,0.25
14896,357694000,2024-09-07T08:59:32,37.02613,-134.99207,18.9,118.2,117.0,DALIAN HIGHWAY,IMO9565560,3FYE5,70.0,0.0,199.0,32.0,9.2,A,58585.6,5.471183869840085,0.25
14903,368160000,2024-09-07T09:46:37,34.21505,-68.38559,14.9,85.7,83.0,SAGAMORE,IMO9322009,WMOJ,79.0,0.0,184.0,26.0,7.6,A,36358.4,4.154227175503772,0.25
14913,367622850,2024-09-07T10:34:54,28.96009,-90.41166,7.7,54.1,55.0,FMS ENDURANCE,IMO9209075,WDH4937,75.0,0.0,62.0,13.0,3.2,A,2579.2000000000003,2.1528170307565606,0.25
14929,636093041,2024-09-07T12:00:05,38.98018,-133.68337,13.2,110.7,108.0,CONTI CONQUEST,IMO9293818,5LCJ8,71.0,0.0,334.0,42.0,12.3,A,172544.40000000002,12.223217618514374,0.25
15002,357839000,2024-09-07T20:55:56,30.60584,-78.03118,10.0,299.9,306.0,TAO BRAVE,IMO9487586,3FLN4,70.0,0.0,158.0,24.0,8.9,A,33748.8,3.999608951456656,0.25
15019,563076300,2024-09-07T23:03:48,39.98785,-63.30885,14.2,267.8,261.0,MAERSK GIRONDE,IMO9235555,9V6212,71.0,0.0,292.0,32.0,11.8,A,110259.20000000001,8.53283326519609,0.25
