,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,TransceiverClass,size,size_scaled,size_traced
9385,304676000,2024-09-10T01:34:19,23.76557,-82.67149,14.0,91.6,93.0,THORCO CYGNUS,IMO9294977,V2BQ2,70.0,0.0,145.0,18.0,4.7,A,12267.0,2.726817042606516,0.25
9422,305146000,2024-09-10T04:01:30,27.18283,-79.30683,10.0,188.0,187.0,INDUSTRIALCHALLENGER,IMO9213935,V2HI2,70.0,0.0,120.0,20.0,5.8,A,13920.0,2.8247569277804443,0.25
9424,538002635,2024-09-10T04:03:03,48.5487,-129.28169,12.0,96.7,97.0,STAR NINA,IMO9354832,V7KK6,70.0,0.0,229.0,32.0,8.0,A,58624.0,5.473459061364997,0.25
9426,563231800,2024-09-10T04:06:23,18.25655,-69.69206,15.4,112.4,112.0,H CYGNUS,IMO9946233,5LEC6,71.0,0.0,172.0,28.0,6.4,A,30822.4,3.82622039732902,0.25
9428,219209000,2024-09-10T04:07:21,32.79122,-77.56383,8.7,319.7,319.0,DANICA SUNRISE,IMO8702410,OXWB2,70.0,0.0,66.0,10.0,3.2,A,2112.0,2.1251355338701363,0.25
9429,538007406,2024-09-10T04:55:10,32.83025,-79.94215,0.1,165.2,158.0,SOUTHPORT EAGLE,IMO9575228,V7FW5,79.0,5.0,199.0,32.0,12.5,A,79600.0,6.716282431847942,6.716282431847942
9480,304122000,2024-09-10T08:32:38,23.03362,-82.75866,5.7,336.5,339.0,PEGASUS J,IMO9355434,V2CF5,79.0,0.0,140.0,22.0,7.3,A,22484.0,3.33217203765916,0.25
9493,312802000,2024-09-10T10:49:56,25.73328,-78.66015,8.9,279.4,279.0,SUNGARI,IMO7928160,V3NC8,70.0,0.0,105.0,19.0,0.0,A,0.0,2.0,0.25
9566,636019245,2024-09-10T22:34:12,18.41245,-69.59999,11.2,135.6,129.0,CONTSHIP DON,IMO9347956,D5TP5,70.0,0.0,148.0,23.0,7.6,A,25870.399999999998,3.5328154902622986,0.25
9585,374353000,2024-09-01T00:00:03,47.97902,-122.22707,1.9,258.7,243.0,COSMIC ACE,IMO9779927,3EDH6,70.0,0.0,119.0,21.0,5.5,A,13744.5,2.814358591514247,0.25
9614,368053000,2024-09-01T00:00:04,27.98544,-79.99604,10.1,174.1,171.0,MAERSK KANSAS,IMO9311701,WDD7559,71.0,0.0,292.0,32.0,10.5,A,98112.0,7.813114346149061,0.25
9628,636020354,2024-09-01T00:00:04,38.64422,-74.84643,15.0,322.4,324.0,MSC PASSION III,IMO9399765,D5YV3,79.0,0.0,224.0,31.0,9.8,A,68051.20000000001,6.032018580730788,0.25
9717,563203200,2024-09-01T00:00:02,48.69952,-127.25738,9.2,280.0,282.0,CHAMCHURI NAREE,IMO9296274,9V9125,70.0,0.0,177.0,29.0,9.7,A,49790.1,4.950052436054676,0.25
9724,538011221,2024-09-01T00:00:05,46.61382,-130.001,14.5,297.9,301.0,JIUYANG BONANZA,IMO9330616,V7A6811,70.0,0.0,199.0,32.0,8.0,A,50944.0,5.018420756382683,0.25
9760,303923000,2024-09-01T00:00:03,30.02651,-93.99912,0.0,0.0,13.0,CAPE VICTORY,IMO8211306,KAEY,70.0,15.0,193.0,28.0,6.5,A,35126.0,4.081207747501141,4.081207747501141
9764,477056400,2024-09-01T00:00:05,33.74086,-118.19738,0.0,246.5,270.0,COSCO OCEANIA,IMO9334923,VRDQ5,71.0,5.0,349.0,46.0,13.1,A,210307.4,14.460667034015298,14.460667034015298
9806,538007406,2024-09-01T00:00:13,33.59527,-76.15184,8.7,232.7,230.0,SOUTHPORT EAGLE,IMO9575228,V7FW5,79.0,0.0,199.0,32.0,11.8,A,75142.40000000001,6.452170615664458,0.25
9809,352001831,2024-09-01T00:00:00,25.71243,-115.95625,17.2,128.0,125.0,MORNING CHARLOTTE,IMO9338694,3E2746,70.0,0.0,200.0,32.0,9.1,A,58240.0,5.450707146115882,0.25
9842,256239000,2024-09-01T00:00:03,42.90493,-79.24461,2.2,188.9,189.0,MIEDWIE,IMO9393448,9HA5757,70.0,0.0,190.0,24.0,8.1,A,36936.0,4.188449848024316,0.25
9853,477895700,2024-09-01T00:00:03,19.68112,-64.64224,16.2,122.0,120.0,GERDA MAERSK,IMO9359052,VRVO2,71.0,0.0,367.0,42.0,11.8,A,181885.2,12.776657956949112,0.25
9855,229457000,2024-09-01T00:00:01,23.64939,-112.43585,18.7,124.9,126.0,CMA CGM VELA,IMO9354923,9HA5500,79.0,0.0,347.0,46.0,10.4,A,166004.80000000002,11.835747761839588,0.25
9887,367622850,2024-09-01T00:00:04,29.17717,-94.0503,2.3,123.4,115.0,FMS ENDURANCE,IMO9209075,WDH4937,75.0,0.0,62.0,13.0,3.2,A,2579.2000000000003,2.1528170307565606,0.25
9889,369285000,2024-09-01T00:00:01,49.78192,-127.96716,18.5,312.7,313.0,NORTH STAR,IMO9232280,KIYI,70.0,0.0,256.0,36.0,9.7,A,89395.2,7.296645869994134,0.25
9926,538006785,2024-09-01T00:01:07,41.63856,-87.15022,0.1,150.8,181.0,FEDERAL SETO,IMO9267209,V7RG6,70.0,5.0,199.0,23.0,7.4,A,33869.8,4.006778174751299,4.006778174751299
9928,338931000,2024-09-01T00:00:38,36.86601,-76.31588,0.0,0.0,227.0,US GOV VESSEL,IMO9145449,NEHM,70.0,5.0,289.0,32.0,8.4,A,77683.2,6.602712454896106,6.602712454896106
9936,636019985,2024-09-01T00:00:31,49.02355,-123.14741,0.0,100.1,32.0,YM TARGET,IMO9860934,D5XC6,71.0,5.0,330.0,48.0,14.3,A,226512.0,15.420786007572122,15.420786007572122
9939,366843080,2024-09-01T00:00:08,28.97083,-89.79897,0.0,196.3,511.0,CAPT LEVERT,IMO1123753,WDA7416,70.0,0.0,36.0,9.0,0.0,A,0.0,2.0,0.25
