MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367387930,2024-09-11T00:00:40,29.14732,-90.19932,0.0,196.6,511.0,ODYSSEA DEFENDER,IMO9535072,WDE7022,79.0,0.0,60.0,14.0,3.0,79.0,A
377907000,2024-09-11T00:00:27,26.76789,-80.05198,0.0,245.3,92.0,TROPIC JADE,IMO7800265,J8NY,71.0,5.0,90.0,17.0,4.6,71.0,A
563187700,2024-09-11T00:01:18,37.20731,-76.12818,0.0,33.2,259.0,GCL MOBILE,IMO9957488,9V7707,70.0,1.0,226.0,32.0,7.5,70.0,A
229554000,2024-09-11T00:00:50,29.87367,-89.9383,0.0,245.7,108.0,HOPA I,IMO9684213,9HA3402,70.0,1.0,200.0,32.0,7.1,70.0,A
538010009,2024-09-11T00:00:23,49.28545,-123.18191,0.1,218.4,124.0,FAST,IMO9513842,V7A5460,70.0,1.0,188.0,32.0,7.0,70.0,A
367516920,2024-09-11T00:00:43,30.42771,-89.0583,0.0,47.7,90.0,HARVEY EXPRESS,IMO1233561,WDG8713,70.0,5.0,35.0,12.0,2.1,70.0,A
372750000,2024-09-11T00:00:55,30.0437,-90.68091,0.0,64.7,221.0,ROYAL NEPTUNE,IMO9851517,3FDB,70.0,1.0,229.0,32.0,14.6,70.0,A
373627000,2024-09-11T00:01:40,38.95714,-76.40735,0.2,343.2,92.0,NEW ASCENT,IMO9512290,3FBI2,70.0,1.0,228.0,32.0,7.1,70.0,A
367587710,2024-09-11T00:00:14,29.13584,-90.19636,0.0,246.9,335.0,CELTIC,IMO9696814,WDG9429,70.0,0.0,58.0,12.0,3.3,70.0,A
477168400,2024-09-11T00:01:27,32.83087,-79.89291,0.0,213.7,22.0,COSCO SHIPPING PEONY,IMO9785744,VRRU6,71.0,5.0,366.0,48.0,15.5,71.0,A
353260000,2024-09-11T00:02:05,38.04274,-122.13235,0.0,135.8,237.0,ATLANTIC TRAMP,IMO9659921,3FMY2,70.0,5.0,170.0,27.0,6.8,70.0,A
477915800,2024-09-11T00:00:54,46.11012,-122.96337,0.0,130.0,131.0,UNI BULKER,IMO9731808,VRPJ4,70.0,5.0,179.0,,9.9,70.0,A
636092962,2024-09-11T00:00:42,37.18123,-76.10414,0.1,191.9,267.0,RELIABLE,IMO9762900,D5IZ6,70.0,1.0,178.0,32.0,7.2,70.0,A
303890000,2024-09-11T00:01:17,45.59418,-122.77213,0.0,34.0,149.0,NELSON V. BRITTIN,IMO9193575,NBVJ,70.0,5.0,290.0,33.0,10.0,70.0,A
255806501,2024-09-11T00:00:56,29.29541,-94.52786,1.2,3.0,92.0,ERNA OLDENDORFF,IMO9717670,CQEW2,70.0,1.0,180.0,30.0,8.5,70.0,A
538006215,2024-09-11T00:01:32,49.20711,-123.9206,0.1,203.8,157.0,STAR MAINE,IMO9738959,V7BO9,70.0,1.0,199.0,32.0,6.7,70.0,A
538007569,2024-09-11T00:01:45,29.99724,-90.43193,0.0,343.9,251.0,ISHIZUCHI STAR,IMO9811919,V7HR3,70.0,1.0,180.0,30.0,5.6,70.0,A
369463000,2024-09-11T00:01:56,37.7945,-122.2836,0.0,209.5,511.0,US GOV VESSEL,IMO9647526,NJHG,70.0,5.0,240.0,50.0,10.5,35.0,A
338100000,2024-09-11T00:01:39,28.94766,-95.32816,0.0,51.2,85.0,MISS EMMA MCCALL,IMO9289659,WDG8742,70.0,5.0,41.0,11.0,3.0,70.0,A
538005260,2024-09-11T00:01:53,37.95209,-121.3248,0.1,132.3,265.0,ABTENAUER,IMO9655212,V7CH5,70.0,5.0,180.0,30.0,9.9,79.0,A
372205000,2024-09-11T00:02:02,37.75813,-122.34382,0.2,54.5,305.0,REMY ENTERPRISE,IMO9749958,3ELR7,70.0,1.0,180.0,30.0,9.9,70.0,A
538006351,2024-09-11T00:02:04,41.63651,-87.15891,0.0,180.1,1.0,FEDERAL BEAUFORT,IMO9697818,V7MF7,70.0,5.0,200.0,23.0,8.1,70.0,A
355886000,2024-09-11T00:01:46,46.01118,-122.85917,0.3,174.1,54.0,WOOYANG QUEEN,IMO9491680,HPUY,70.0,1.0,178.0,28.0,10.4,79.0,A
636019915,2024-09-11T00:00:25,48.70149,-123.53545,0.0,23.2,114.0,SAKIZAYA STAR,IMO9861316,D5WT5,70.0,1.0,229.0,32.0,7.3,70.0,A
367606520,2024-09-11T00:00:24,29.11318,-90.1961,0.0,241.8,511.0,RAVEN,IMO9097123,WDH3320,70.0,0.0,49.0,12.0,3.0,70.0,A
366843080,2024-09-11T00:00:17,29.2549,-89.96932,0.0,31.8,511.0,CAPT LEVERT,IMO1123753,WDA7416,70.0,5.0,36.0,9.0,0.0,70.0,A
366911650,2024-09-11T00:00:31,29.1432,-90.19746,0.0,265.2,511.0,GOL POWER,IMO8980701,WDH2201,70.0,0.0,56.0,15.0,3.0,70.0,A
368297990,2024-09-11T00:00:13,27.67788,-82.74497,0.7,211.5,511.0,BRITTYN B,IMO0000000,WDN6321,70.0,,30.0,10.0,,,B
368341940,2024-09-11T00:00:44,29.79847,-88.31658,8.3,35.3,43.0,PATIENCE LAB,IMO9563043,WDH3221,70.0,0.0,48.0,6.0,0.0,70.0,A
354701000,2024-09-11T00:01:45,49.28361,-123.195,0.1,209.3,135.0,ALAMO,IMO9851335,3EXZ4,70.0,1.0,182.0,31.0,7.8,70.0,A
377901107,2024-09-11T00:01:13,18.33564,-64.94839,0.0,248.5,262.0,TROPIC HOPE,IMO9809904,J8QX7,70.0,5.0,159.0,24.0,8.0,70.0,A
367780870,2024-09-11T00:00:39,29.21709,-90.22089,0.0,257.7,300.0,SARAH BORDELON,IMO9350367,WDJ4762,70.0,0.0,45.0,12.0,0.0,70.0,A
248122000,2024-09-11T00:00:24,29.82119,-90.00346,0.0,9.5,35.0,GLYFADA I,IMO9473145,9HA2185,70.0,1.0,225.0,32.0,14.1,70.0,A
367431830,2024-09-11T00:00:38,29.22827,-88.49077,0.3,232.2,83.0,KELLY ANN CANDIES,IMO9562427,WDF2782,79.0,0.0,85.0,18.0,5.5,79.0,A
373440000,2024-09-11T00:01:56,49.30845,-123.1081,0.0,256.0,256.0,HONOR STAR,IMO9335991,3FCZ4,70.0,5.0,225.0,33.0,9.5,70.0,A
