MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
373210000,2024-09-10T00:00:00,25.58336,-125.22342,10.3,291.0,293.0,GLOBAL ORIOLE,IMO9626742,3FDG7,70.0,0.0,196.0,32.0,13.3,70.0,A
257732000,2024-09-10T00:00:00,26.94829,-117.19227,17.3,126.7,127.0,PORGY,IMO9409338,LAWR8,70.0,0.0,200.0,32.0,9.5,70.0,A
538009699,2024-09-10T00:00:02,28.74226,-88.82477,0.1,235.1,180.0,SUBSEA RESPONDER IV,IMO9400693,V7A5057,70.0,3.0,90.0,18.0,5.2,70.0,A
538009764,2024-09-10T00:00:01,29.70877,-120.95063,16.6,128.3,126.0,BUENAVENTURA EXPRESS,IMO9932488,V7A5135,73.0,0.0,335.0,51.0,15.1,73.0,A
371519000,2024-09-10T23:59:59,48.31933,-124.02272,13.7,295.0,297.0,MARCOS V,IMO9307059,3ECH9,70.0,0.0,293.0,40.0,12.8,70.0,A
477302100,2024-09-10T00:00:03,29.36011,-93.65756,11.1,180.7,177.0,GRANDE ISLAND,IMO9496214,VRSN2,70.0,0.0,190.0,32.0,6.7,70.0,A
636092675,2024-09-10T00:00:04,29.60095,-89.84492,13.0,102.7,102.0,NORDIC MALMOE,IMO9602679,D5KK8,70.0,0.0,180.0,30.0,6.0,70.0,A
538008975,2024-09-10T00:00:05,42.13956,-73.90974,0.0,183.4,31.0,SSI MARVELOUS,IMO9615327,V7A4144,70.0,5.0,178.0,29.0,7.3,70.0,A
304839000,2024-09-10T00:00:01,26.0729,-80.11785,0.0,16.4,95.0,CARIBBEAN EXPRESS I,IMO9233727,HO2570,77.0,0.0,58.0,12.0,2.1,77.0,A
366904930,2024-09-10T00:00:06,44.47463,-82.75133,12.0,162.0,160.0,HERBERT C JACKSON,IMO5148417,WL3972,70.0,0.0,213.0,23.0,8.0,70.0,A
636015465,2024-09-10T00:00:01,21.21846,-158.86345,9.9,272.9,270.0,NOBILITY,IMO9459101,D5AX9,74.0,0.0,146.0,22.0,7.2,74.0,A
367120990,2024-09-10T23:59:59,47.12642,-91.14499,10.8,65.9,65.0,AMERICAN INTEGRITY,IMO7514696,WDD2875,70.0,0.0,305.0,32.0,0.0,70.0,A
371384000,2024-09-10T00:00:02,29.90061,-80.35762,0.9,228.8,340.0,GRAND DUKE,IMO9303170,3ECP7,70.0,0.0,200.0,32.0,9.1,70.0,A
538007487,2024-09-10T00:00:07,34.26928,-120.293,12.6,105.0,103.0,HYUNDAI SUPREME,IMO9347619,V7QL3,70.0,0.0,294.0,32.0,11.3,70.0,A
367339130,2024-09-10T00:00:03,29.49797,-92.31512,5.9,190.5,183.0,MS MEGAN,IMO8660117,WDE3441,70.0,5.0,50.0,12.0,3.0,70.0,A
215196000,2024-09-10T00:00:02,30.14412,-122.2028,17.6,127.6,124.0,CMA CGM CASSIOPEIA,IMO9410765,9HA5007,71.0,0.0,364.0,46.0,13.4,71.0,A
