MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367659780,2024-09-08T00:00:00,29.34927,-90.24727,0.0,360.0,511.0,STARFLEET GUARDIAN,IMO9780184,WDH8611,70.0,0.0,53.0,11.0,0.0,70.0,A
538005732,2024-09-08T00:00:05,48.79848,-125.73768,11.4,131.2,132.0,SAN FELIPE,IMO9698628,V7GN7,70.0,0.0,299.0,48.0,11.4,72.0,A
373009000,2024-09-08T00:00:00,25.67799,-117.84166,10.2,141.3,142.0,CAPE HARMONY,IMO9514212,3FIB3,70.0,0.0,292.0,44.0,11.6,70.0,A
636020898,2024-09-08T00:00:02,31.9862,-80.17233,1.1,266.1,125.0,MSC DORINE,IMO9301328,5LBG5,70.0,0.0,293.0,32.0,11.2,70.0,A
256163000,2024-09-08T00:00:03,32.3858,-79.26871,0.8,235.6,9.0,CMA CGM URAL,IMO9705079,9HA3845,71.0,0.0,300.0,49.0,12.1,70.0,A
368206170,2024-09-08T00:00:00,29.58446,-94.93235,0.0,310.5,511.0,268 BOOSTER,,WDM4409,70.0,0.0,49.0,16.0,0.0,0.0,A
367121010,2024-09-08T00:00:05,42.32482,-83.03608,10.4,257.8,255.0,AMERICAN CENTURY,IMO7923196,WDD2876,70.0,0.0,305.0,32.0,7.5,1.0,A
370808000,2024-09-08T00:00:03,40.6671,-74.07088,0.0,300.5,298.0,MORNING LYNN,IMO9383429,3FXS4,70.0,0.0,232.0,32.0,8.8,70.0,A
303657000,2024-09-08T00:00:00,39.06251,-74.01984,13.7,22.6,22.0,MAERSK KENSINGTON,IMO9333010,WMKN,71.0,0.0,299.0,40.0,11.5,71.0,A
366971370,2024-09-08T00:00:00,46.88464,-85.29282,13.0,290.1,291.0,EDWIN H GOTT,IMO7606061,WDH7558,70.0,0.0,305.0,32.0,7.3,70.0,A
440254000,2024-09-08T00:00:04,34.10815,-119.19713,0.0,171.0,298.0,GLOVIS SPLENDOR,IMO9702431,D7GY,70.0,1.0,199.0,35.0,9.6,70.0,A
316001940,2024-09-08T00:00:03,42.46365,-82.75321,10.9,226.5,228.0,FLORENCE SPIRIT,IMO9314600,CFCB,70.0,0.0,146.0,21.0,7.5,70.0,A
334976000,2024-09-08T00:00:05,25.78345,-80.09252,0.1,294.1,511.0,BELEN,IMO9196230,HQZX5,70.0,1.0,90.0,14.0,3.8,70.0,A
368183000,2024-09-08T00:00:05,46.50372,-84.36741,0.1,87.8,87.0,GREAT REPUBLIC,IMO7914236,WDH7561,70.0,0.0,193.0,21.0,6.4,70.0,A
372802000,2024-09-08T00:00:03,30.83837,-80.69764,12.9,297.0,299.0,MORNING LUCY,IMO9383431,3FWJ,70.0,0.0,231.0,32.0,9.5,70.0,A
244584000,2024-09-08T00:00:04,26.47111,-79.94204,14.2,179.5,180.0,STATENGRACHT,IMO9288045,PHAQ,70.0,0.0,173.0,25.0,6.9,70.0,A
305822000,2024-09-08T00:00:06,29.97702,-125.35993,13.0,116.4,114.0,BBC NORFOLK,IMO9559884,V2FW3,70.0,0.0,132.0,15.0,5.7,79.0,A
368251670,2024-09-08T00:00:06,43.25008,-82.41636,13.0,174.8,174.0,MARK W. BARKER,IMO9962445,WDM9326,70.0,0.0,195.0,24.0,7.1,70.0,A
241508000,2024-09-08T00:00:00,26.15692,-79.36863,9.2,195.0,194.0,AMFITRITI,IMO9463592,SVCP5,70.0,0.0,196.0,32.0,12.5,70.0,A
413165000,2024-09-08T00:00:03,26.61269,-116.53731,17.9,307.4,308.0,XIN MEI ZHOU,IMO9337925,BPKC,71.0,0.0,335.0,43.0,11.5,71.0,A
229955000,2024-09-08T00:00:03,33.71187,-118.25238,5.3,301.6,294.0,CMA CGM SEATTLE,IMO9290098,9HA5642,71.0,0.0,260.0,32.0,9.2,71.0,A
368206160,2024-09-08T00:00:01,29.62841,-94.95527,0.0,315.0,511.0,BT213 QUARTER BOAT,,WDM4408,70.0,15.0,47.0,14.0,0.0,0.0,A
235058697,2024-09-08T00:00:03,26.61468,-121.51155,16.4,115.0,114.0,ZENITH LEADER,IMO9384942,2ACU6,70.0,0.0,200.0,32.0,9.0,70.0,A
352366000,2024-09-08T00:00:01,40.28787,-73.76973,10.7,353.0,354.0,TEXAS TRIUMPH,IMO9737503,3FMG7,71.0,0.0,365.0,51.0,12.0,71.0,A
440271000,2024-09-08T00:00:02,25.43769,-79.57597,11.6,179.5,181.0,NEW HORIZON,IMO9048108,DSNS9,70.0,0.0,186.0,28.0,11.0,80.0,A
538006351,2024-09-08T00:00:03,41.87944,-87.14099,12.3,178.8,178.0,FEDERAL BEAUFORT,IMO9697818,V7MF7,70.0,0.0,200.0,23.0,7.3,70.0,A
416498000,2024-09-08T00:00:03,25.01468,-114.03199,18.9,128.2,127.0,EVER LYRIC,IMO9629108,BKKH,70.0,0.0,335.0,46.0,13.9,74.0,A
371628000,2024-09-08T00:00:04,34.46256,-122.6485,11.3,268.9,271.0,KEN TOKU,IMO9316945,3EDN3,70.0,0.0,170.0,27.0,8.0,79.0,A
538007518,2024-09-08T00:00:01,33.78794,-118.65719,11.6,297.7,298.0,TS BANGKOK,IMO9784233,V7AZ4,70.0,0.0,169.0,28.0,7.0,74.0,A
636022114,2024-09-08T00:00:05,30.85938,-116.79455,16.5,344.0,344.0,NAVARINO,IMO9400289,5LHG3,70.0,0.0,335.0,43.0,11.3,70.0,A
255806377,2024-09-08T00:00:06,32.62259,-79.60073,10.9,296.4,298.0,MSC TORONTO,IMO9299525,CQEG6,74.0,0.0,325.0,43.0,11.8,71.0,A
316001635,2024-09-08T00:00:05,42.90758,-79.24417,4.5,9.8,9.0,RT HON PAUL J MARTIN,IMO7324405,VCFJ,70.0,0.0,225.0,24.0,8.1,70.0,A
371228000,2024-09-08T00:00:01,36.54823,-75.34905,9.7,127.2,122.0,MSC PAMELA,IMO9290531,3EBT6,71.0,0.0,337.0,46.0,13.0,71.0,A
255792000,2024-09-08T00:00:04,39.39428,-73.90215,14.9,185.9,185.0,MSC MANZANILLO,IMO9289960,CQME,71.0,0.0,294.0,32.0,10.2,71.0,A
477947100,2024-09-08T00:00:00,40.68126,-74.14655,0.0,262.6,310.0,HUBERT SCHULTE,IMO9535204,VRKR4,70.0,5.0,275.0,40.0,12.7,70.0,A
368269780,2024-09-08T00:00:04,37.04968,-75.29624,2.7,45.3,36.0,GO GLORY,IMO8998112,WDN3240,70.0,0.0,43.0,12.0,3.0,70.0,A
563947000,2024-09-08T00:00:03,37.45514,-123.46362,1.0,126.0,41.0,STRATEGIC UNITY,IMO9648099,S6CK6,70.0,0.0,180.0,30.0,9.8,70.0,A
255805869,2024-09-08T00:00:07,34.93409,-121.44771,9.5,154.8,154.0,MSC GIULIA,IMO9770737,CQZP,74.0,0.0,299.0,48.0,10.9,74.0,A
304839000,2024-09-08T00:00:00,25.95612,-79.87587,8.9,91.6,110.0,CARIBBEAN EXPRESS I,IMO9233727,HO2570,77.0,0.0,58.0,12.0,2.1,77.0,A
441701000,2024-09-08T00:00:04,39.79873,-124.98093,14.8,339.0,341.0,SM LONG BEACH,IMO9312755,D7FP,70.0,0.0,304.0,40.0,10.1,70.0,A
636092041,2024-09-08T00:00:04,36.96244,-76.42365,0.0,38.0,38.0,CERVIA,IMO9570838,A8VT2,70.0,5.0,229.0,38.0,11.7,79.0,A
636021693,2024-09-08T00:00:05,33.76312,-118.27257,0.0,331.9,198.0,YM THRONE,IMO9792694,5LFF8,70.0,5.0,333.0,48.0,13.9,70.0,A
563000900,2024-09-08T00:00:00,33.875,-127.38477,17.6,126.4,125.0,MAERSK SANTANA,IMO9289934,9V5245,74.0,0.0,335.0,43.0,14.0,74.0,A
367781000,2024-09-08T00:00:01,32.3291,-79.42024,7.4,72.2,77.0,MISSOURI EXPRESS,IMO9349552,WDM2203,70.0,0.0,306.0,40.0,11.3,70.0,A
367121040,2024-09-08T00:00:05,41.49685,-81.72285,0.0,54.0,54.0,AMERICAN COURAGE,IMO7634226,WDD2879,70.0,0.0,194.0,21.0,0.0,70.0,A
215165000,2024-09-08T00:00:03,37.49262,-123.10847,7.5,49.7,44.0,CMA CGM VIRGINIA,IMO9351139,9HA4990,71.0,0.0,294.0,33.0,10.0,71.0,A
210296000,2024-09-08T00:00:07,27.5621,-83.10243,13.5,74.4,75.0,QUEEN B II,IMO9430090,5BWD2,79.0,0.0,133.0,19.0,7.1,79.0,A
246789000,2024-09-08T00:00:04,29.72084,-95.23986,0.0,210.0,248.0,ZEALAND BEATRIX,IMO9507087,PCKH,70.0,5.0,134.0,20.0,5.3,70.0,A
368456000,2024-09-08T00:00:07,28.41166,-80.35712,9.2,46.0,40.0,BOB,IMO9529695,WDN4308,70.0,0.0,92.0,20.0,5.0,70.0,A
338731000,2024-09-08T00:00:05,30.34566,-88.51079,0.0,245.5,511.0,ROCKETSHIP,IMO9198501,WCZ7837,70.0,5.0,95.0,25.0,2.6,70.0,A
563196800,2024-09-08T00:00:07,30.66379,-88.03112,2.3,355.6,2.0,NICOLAUS SCHULTE,IMO9966312,9V8093,70.0,0.0,229.0,32.0,7.4,70.0,A
367612290,2024-09-08T00:00:06,29.79194,-92.14391,0.0,235.4,511.0,ELISE MARY,IMO9547647,WDH3919,70.0,0.0,46.0,12.0,3.3,70.0,A
370350000,2024-09-08T00:00:00,34.60166,-74.86066,9.8,173.1,182.0,BALSA 92,IMO9616060,3FPM3,70.0,0.0,106.0,19.0,4.3,70.0,A
338032000,2024-09-08T00:00:02,28.67874,-89.67702,7.7,112.3,108.0,AGNES CANDIES,IMO9679438,KAGK,70.0,0.0,84.0,18.0,5.3,70.0,A
316014060,2024-09-08T00:00:04,46.36711,-84.22074,8.4,159.7,160.0,ALGOMA STRONGFIELD,IMO9613953,CFG8305,70.0,0.0,223.0,24.0,7.0,70.0,A
