MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
372750000,2024-09-06T00:00:00,25.79859,-79.56303,9.5,188.8,185.0,ROYAL NEPTUNE,IMO9851517,3FDB,70.0,0.0,229.0,32.0,10.0,70.0,A
351606000,2024-09-06T00:00:03,49.30046,-123.04482,0.0,60.0,295.0,FELICIA K,IMO9614309,3FQW2,70.0,5.0,181.0,28.0,6.7,70.0,A
316052496,2024-09-06T00:00:00,42.90754,-79.24543,0.0,39.4,210.0,NORTHERN VENTURE,IMO9167681,VDAK,70.0,0.0,155.0,22.0,7.8,70.0,A
566708000,2024-09-06T00:00:00,33.12743,-137.77381,12.9,116.6,112.0,CHAYANEE NAREE,IMO9613434,S6AF2,70.0,0.0,190.0,32.0,6.8,70.0,A
416482000,2024-09-06T00:00:04,39.07388,-134.6158,16.0,103.3,104.0,EVER LOGIC,IMO9604081,BKIF,74.0,0.0,335.0,46.0,11.2,74.0,A
477302100,2024-09-06T00:00:02,23.66723,-82.561,10.2,257.5,254.0,GRANDE ISLAND,IMO9496214,VRSN2,70.0,0.0,190.0,32.0,7.0,70.0,A
311001345,2024-09-06T00:00:03,35.25006,-135.33343,19.1,91.2,93.0,FELIXSTOWE,IMO9227039,C6GT4,70.0,0.0,260.0,32.0,11.1,70.0,A
477947100,2024-09-06T00:00:01,40.1311,-63.73027,15.8,262.9,262.0,HUBERT SCHULTE,IMO9535204,VRKR4,70.0,0.0,275.0,40.0,10.4,70.0,A
247408300,2024-09-06T00:00:04,36.36311,-75.47858,16.4,336.3,340.0,GRANDE HOUSTON,IMO9782699,IBQR,70.0,0.0,199.0,36.0,9.0,70.0,A
368183000,2024-09-06T00:00:00,45.18981,-86.40324,5.9,13.1,10.0,GREAT REPUBLIC,IMO7914236,WDH7561,70.0,0.0,193.0,21.0,8.1,70.0,A
319211600,2024-09-06T00:00:03,34.34992,-120.48631,9.6,281.9,288.0,ONE ARCADIA,IMO9468310,ZGOK7,71.0,0.0,332.0,46.0,12.9,71.0,A
311475000,2024-09-06T00:00:02,39.36124,-73.83116,11.8,14.9,19.0,GLOBAL LEADER,IMO9237319,C6SU5,70.0,0.0,189.0,32.0,8.6,70.0,A
371215000,2024-09-06T00:00:04,33.08934,-78.03536,8.7,78.4,77.0,ONE MILLAU,IMO9706736,H9RD,70.0,0.0,365.0,50.0,13.9,70.0,A
538010966,2024-09-06T00:00:01,46.42627,-84.25011,8.2,341.5,340.0,FEDERAL OHIO,IMO9975399,V7A6380,70.0,0.0,200.0,24.0,10.8,70.0,A
477931700,2024-09-06T00:00:01,41.75543,-69.67384,19.5,153.3,152.0,ZIM RUBY,IMO9968009,VRVJ3,70.0,0.0,272.0,43.0,14.9,70.0,A
636022177,2024-09-06T00:00:04,25.67351,-115.53759,11.0,121.7,121.0,ARIONAS,IMO9951173,5LHN5,79.0,0.0,172.0,27.0,9.6,79.0,A
636022046,2024-09-06T00:00:03,30.6658,-122.74984,9.2,128.8,511.0,MSC SOMYA III,IMO9220328,5LGX7,71.0,0.0,207.0,0.0,10.9,71.0,A
