,PORT NAME,STATE,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand,Year
435,"San Francisco Port Commission, CA",CA,0.0,0.0,0.0,0.0,0.0,94.76,0.0,94.76,94.76,2022
436,"Stockton Port District, CA",CA,0.0,0.0,0.0,0.0,0.0,74.0,0.0,74.0,74.0,2022
437,"Fall River Port Authority, MA",MA,0.0,0.0,0.0,0.0,0.0,73.53,0.0,73.53,73.53,2022
438,"Metlakatla, AK",AK,1.0,703.2,65.4,605.0,1374.6,0.0,0.0,0.0,66.4,2022
439,"Port Moller, AK",AK,49.2,11.3,0.0,59.5,120.0,0.0,0.0,0.0,49.2,2022
440,"Morehead City, NC",NC,0.0,0.0,0.0,0.0,0.0,24.23,12.0,36.23,36.23,2022
441,"New Bedford Port Authority, MA",MA,0.0,0.0,0.0,0.0,0.0,35.01,0.0,35.01,35.01,2022
442,"Hooper Bay, AK",AK,27.35,13.6,0.0,0.0,40.95,0.0,0.0,0.0,27.35,2022
443,"Port of Green Bay, WI",WI,0.0,0.0,0.0,0.0,0.0,26.27,0.0,26.27,26.27,2022
444,"Port Arthur, TX",TX,0.0,0.0,0.0,0.0,0.0,20.99,0.0,20.99,20.99,2022
445,"Cheboygan, MI",MI,0.0,0.0,0.0,0.0,0.0,19.27,0.0,19.27,19.27,2022
446,"Shishmaref, AK",AK,18.8,0.0,0.0,0.0,18.8,0.0,0.0,0.0,18.8,2022
447,"Plaquemines Port, Harbor and Terminal District, LA",LA,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,2022
448,"Utqiagvik (Barrow), AK",AK,16.4,0.0,0.0,0.0,16.4,0.0,0.0,0.0,16.4,2022
449,"Wainwright, AK",AK,16.0,6.0,0.0,0.0,22.0,0.0,0.0,0.0,16.0,2022
450,"Port of Pascagoula, MS",MS,0.0,0.0,0.0,0.0,0.0,14.35,0.0,14.35,14.35,2022
451,"Rogers City, MI",MI,0.0,0.0,0.0,0.0,0.0,14.02,0.0,14.02,14.02,2022
452,"Beaumont, TX",TX,0.0,0.0,0.0,0.0,0.0,3.75,10.0,13.75,13.75,2022
