,24
2009-01-01,21551.0
2010-01-01,20127.0
2011-01-01,17719.0
2012-01-01,17138.0
2013-01-01,19432.0
2014-01-01,18632.0
2015-01-01,16879.0
2016-01-01,17729.0
2017-01-01,18396.0
2018-01-01,17649.0
2019-01-01,17239.0
2020-01-01,13765.0
