,Port hub,Year,latitude,longitude,Major/Minor ports,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand,Count of Event_Amphetamines,Count of Event_Anabolic steroids,Count of Event_Barbiturates,Count of Event_Benzodiazepines,Count of Event_Cannabis,Count of Event_Class A,Count of Event_Class B,Count of Event_Class C,Count of Event_Classification Unknown,Count of Event_Cocaine,Count of Event_Crack,Count of Event_Ecstasy,Count of Event_GHB,Count of Event_Ketamine,Count of Event_LSD,Count of Event_Mephedrone,Count of Event_Methadone,Count of Event_Morphine,Count of Event_Nitrous Oxide,Count of Event_Other Class A,Count of Event_Other Class B,Count of Event_Other Class C,Count of Event_Temazepam,Count of Event_Unnamed: 24,Sum Qty (kg)_Amphetamines,Sum Qty (kg)_Anabolic steroids,Sum Qty (kg)_Barbiturates,Sum Qty (kg)_Benzodiazepines,Sum Qty (kg)_Cannabis,Sum Qty (kg)_Class A,Sum Qty (kg)_Class B,Sum Qty (kg)_Class C,Sum Qty (kg)_Classification Unknown,Sum Qty (kg)_Cocaine,Sum Qty (kg)_Crack,Sum Qty (kg)_Ecstasy,Sum Qty (kg)_GHB,Sum Qty (kg)_Ketamine,Sum Qty (kg)_LSD,Sum Qty (kg)_Mephedrone,Sum Qty (kg)_Methadone,Sum Qty (kg)_Morphine,Sum Qty (kg)_Nitrous Oxide,Sum Qty (kg)_Other Class A,Sum Qty (kg)_Other Class B,Sum Qty (kg)_Other Class C,Sum Qty (kg)_Temazepam,Sum Qty (kg)_Unnamed: 24,Sum Qty (lbs)_Amphetamines,Sum Qty (lbs)_Anabolic steroids,Sum Qty (lbs)_Barbiturates,Sum Qty (lbs)_Benzodiazepines,Sum Qty (lbs)_Cannabis,Sum Qty (lbs)_Class A,Sum Qty (lbs)_Class B,Sum Qty (lbs)_Class C,Sum Qty (lbs)_Classification Unknown,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Crack,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_GHB,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_LSD,Sum Qty (lbs)_Mephedrone,Sum Qty (lbs)_Methadone,Sum Qty (lbs)_Morphine,Sum Qty (lbs)_Nitrous Oxide,Sum Qty (lbs)_Other Class A,Sum Qty (lbs)_Other Class B,Sum Qty (lbs)_Other Class C,Sum Qty (lbs)_Temazepam,Sum Qty (lbs)_Unnamed: 24
38,Haven,2020.0,51.95605555555556,1.2995277777777776,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23080.939,151.0,8.0,0.0,141.0,2277.0,630.0,2460.0,185.0,28.0,333.0,50.0,514.0,0.0,28.0,2.0,1.0,6.0,11.0,0.0,39.0,59.0,49.0,1.0,0.0,5.152681,1.0994,0.0,127.688335,0.0,0.0,0.0,0.0,0.0,5.280567,6.517758000000001,6.1198,0.0,0.030022,0.011,0.0,0.545,0.5790000000000001,0.0,0.0,0.0,0.0,0.00913,0.0,2.337219566183742,0.4986800446335423,0.0,57.91852337364263,0.0,0.0,0.0,0.0,0.0,2.3952277489998277,2.9564088142174176,2.775897887164228,0.0,0.013617766327076699,0.004989522003792,0.0,0.2472081356424236,0.2626302945632353,0.0,0.0,0.0,0.0,0.0041413032631473,0.0
39,Haven,2021.0,51.95605555555556,1.2995277777777776,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2312.355,160.0,7.0,0.0,244.0,2555.0,562.0,2768.0,289.0,49.0,284.0,39.0,404.0,0.0,25.0,25.0,1.0,7.0,5.0,0.0,51.0,80.0,50.0,1.0,0.0,2.9400000000000004,10.85,0.0,11.33,0.0,0.0,0.0,0.0,0.0,3.7300000000000004,0.25,8.48,0.0,0.09,0.51,0.0,1.03,0.06,0.0,0.0,0.0,0.0,0.01,0.0,1.3335631537407808,4.921483067376691,0.0,5.139207663905798,0.0,0.0,0.0,0.0,0.0,1.6919015521949365,0.1133982273589098,3.846467872014225,0.0,0.0408233618492074,0.2313323838121762,0.0,0.4672006967187088,0.0272155745661383,0.0,0.0,0.0,0.0,0.0045359290943563,0.0
40,Haven,2021.0,51.95605555555556,1.2995277777777776,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4571.983,160.0,7.0,0.0,244.0,2555.0,562.0,2768.0,289.0,49.0,284.0,39.0,404.0,0.0,25.0,25.0,1.0,7.0,5.0,0.0,51.0,80.0,50.0,1.0,0.0,2.9400000000000004,10.85,0.0,11.33,0.0,0.0,0.0,0.0,0.0,3.7300000000000004,0.25,8.48,0.0,0.09,0.51,0.0,1.03,0.06,0.0,0.0,0.0,0.0,0.01,0.0,1.3335631537407808,4.921483067376691,0.0,5.139207663905798,0.0,0.0,0.0,0.0,0.0,1.6919015521949365,0.1133982273589098,3.846467872014225,0.0,0.0408233618492074,0.2313323838121762,0.0,0.4672006967187088,0.0272155745661383,0.0,0.0,0.0,0.0,0.0045359290943563,0.0
41,Haven,2021.0,51.95605555555556,1.2995277777777776,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21469.378,160.0,7.0,0.0,244.0,2555.0,562.0,2768.0,289.0,49.0,284.0,39.0,404.0,0.0,25.0,25.0,1.0,7.0,5.0,0.0,51.0,80.0,50.0,1.0,0.0,2.9400000000000004,10.85,0.0,11.33,0.0,0.0,0.0,0.0,0.0,3.7300000000000004,0.25,8.48,0.0,0.09,0.51,0.0,1.03,0.06,0.0,0.0,0.0,0.0,0.01,0.0,1.3335631537407808,4.921483067376691,0.0,5.139207663905798,0.0,0.0,0.0,0.0,0.0,1.6919015521949365,0.1133982273589098,3.846467872014225,0.0,0.0408233618492074,0.2313323838121762,0.0,0.4672006967187088,0.0272155745661383,0.0,0.0,0.0,0.0,0.0045359290943563,0.0
42,Haven,2022.0,51.95605555555556,1.2995277777777776,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2687.937,131.0,3.0,0.0,133.0,1825.0,0.0,0.0,180.0,0.0,236.0,46.0,200.0,0.0,22.0,9.0,2.0,5.0,2.0,0.0,39.0,43.0,49.0,1.0,34.0,1.1099999999999999,0.05,0.0,9.280000000000001,0.0,0.0,0.0,0.0,0.0,1.7200000000000002,0.33,21.680000000000003,0.0,0.04,113.19,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.50348812947356,0.0226796454717819,0.0,4.209342199562737,0.0,0.0,0.0,0.0,0.0,0.7801798042293003,0.149685660113761,9.83389427656467,0.0,0.0181437163774254,51.34218141902007,0.0,0.0362874327548511,0.0045359290943563,0.0,0.0,0.0,0.0,0.0090718581887127,0.0
43,Haven,2022.0,51.95605555555556,1.2995277777777776,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4381.98,131.0,3.0,0.0,133.0,1825.0,0.0,0.0,180.0,0.0,236.0,46.0,200.0,0.0,22.0,9.0,2.0,5.0,2.0,0.0,39.0,43.0,49.0,1.0,34.0,1.1099999999999999,0.05,0.0,9.280000000000001,0.0,0.0,0.0,0.0,0.0,1.7200000000000002,0.33,21.680000000000003,0.0,0.04,113.19,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.50348812947356,0.0226796454717819,0.0,4.209342199562737,0.0,0.0,0.0,0.0,0.0,0.7801798042293003,0.149685660113761,9.83389427656467,0.0,0.0181437163774254,51.34218141902007,0.0,0.0362874327548511,0.0045359290943563,0.0,0.0,0.0,0.0,0.0090718581887127,0.0
44,Haven,2022.0,51.95605555555556,1.2995277777777776,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22197.261,131.0,3.0,0.0,133.0,1825.0,0.0,0.0,180.0,0.0,236.0,46.0,200.0,0.0,22.0,9.0,2.0,5.0,2.0,0.0,39.0,43.0,49.0,1.0,34.0,1.1099999999999999,0.05,0.0,9.280000000000001,0.0,0.0,0.0,0.0,0.0,1.7200000000000002,0.33,21.680000000000003,0.0,0.04,113.19,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.50348812947356,0.0226796454717819,0.0,4.209342199562737,0.0,0.0,0.0,0.0,0.0,0.7801798042293003,0.149685660113761,9.83389427656467,0.0,0.0181437163774254,51.34218141902007,0.0,0.0362874327548511,0.0045359290943563,0.0,0.0,0.0,0.0,0.0090718581887127,0.0
45,Haven,2023.0,51.95605555555556,1.2995277777777776,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2330.326,119.0,2.0,0.0,131.0,2068.0,0.0,0.0,0.0,0.0,418.0,0.0,218.0,1.0,37.0,3.0,0.0,2.0,8.0,0.0,25.0,23.0,48.0,1.0,34.0,9.620000000000001,0.44,0.0,8.39,0.0,0.0,0.0,0.0,0.0,68.66999999999999,0.0,1.9290399999999999,0.0,0.84,0.01,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.363563788770855,0.1995808801516815,0.0,3.8056445101650174,0.0,0.0,0.0,0.0,0.0,31.148225090945385,0.0,0.874998866017726,0.0,0.3810180439259372,0.0045359290943563,0.0,0.0045359290943563,0.2267964547178198,0.0,0.0,0.0,0.0,0.0,0.0
46,Haven,2023.0,51.95605555555556,1.2995277777777776,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4234.59,119.0,2.0,0.0,131.0,2068.0,0.0,0.0,0.0,0.0,418.0,0.0,218.0,1.0,37.0,3.0,0.0,2.0,8.0,0.0,25.0,23.0,48.0,1.0,34.0,9.620000000000001,0.44,0.0,8.39,0.0,0.0,0.0,0.0,0.0,68.66999999999999,0.0,1.9290399999999999,0.0,0.84,0.01,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.363563788770855,0.1995808801516815,0.0,3.8056445101650174,0.0,0.0,0.0,0.0,0.0,31.148225090945385,0.0,0.874998866017726,0.0,0.3810180439259372,0.0045359290943563,0.0,0.0045359290943563,0.2267964547178198,0.0,0.0,0.0,0.0,0.0,0.0
47,Haven,2023.0,51.95605555555556,1.2995277777777776,Major port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22525.977,119.0,2.0,0.0,131.0,2068.0,0.0,0.0,0.0,0.0,418.0,0.0,218.0,1.0,37.0,3.0,0.0,2.0,8.0,0.0,25.0,23.0,48.0,1.0,34.0,9.620000000000001,0.44,0.0,8.39,0.0,0.0,0.0,0.0,0.0,68.66999999999999,0.0,1.9290399999999999,0.0,0.84,0.01,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.363563788770855,0.1995808801516815,0.0,3.8056445101650174,0.0,0.0,0.0,0.0,0.0,31.148225090945385,0.0,0.874998866017726,0.0,0.3810180439259372,0.0045359290943563,0.0,0.0045359290943563,0.2267964547178198,0.0,0.0,0.0,0.0,0.0,0.0
