MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
636093186,2024-09-12T00:00:00,29.99542,-124.18539,18.9,129.5,128.0,UMM SALAL,IMO9525857,5LLQ5,74.0,0.0,366.0,48.0,14.5,74.0,A
414047000,2024-09-12T00:00:00,46.2208,-124.66064,1.4,73.6,15.0,GUO YUAN 12,IMO9579250,BFDV,70.0,0.0,224.0,32.0,7.4,70.0,A
209470000,2024-09-12T00:00:02,28.9971,-94.55552,8.8,82.8,82.0,MSC BOSPHORUS,IMO9247742,5BDF5,79.0,0.0,300.0,40.0,12.1,79.0,A
636017637,2024-09-12T00:00:02,27.41015,-117.71633,12.6,126.7,127.0,MELODY FAIR,IMO9748760,D5LZ9,70.0,0.0,,,10.1,70.0,A
255806494,2024-09-12T00:00:05,45.84103,-125.3234,16.5,358.0,358.0,MSC ELODIE,IMO9704972,CQEV3,70.0,0.0,300.0,48.0,9.9,72.0,A
316043882,2024-09-12T00:00:00,44.02211,-82.4238,12.9,301.0,300.0,ALGOMA INTREPID,IMO9773387,VABC,70.0,0.0,198.0,24.0,6.4,70.0,A
370188000,2024-09-12T00:00:00,34.20772,-119.97558,9.8,105.7,106.0,COSCO AFRICA,IMO9345439,3ERX3,71.0,0.0,349.0,46.0,13.9,71.0,A
563232300,2024-09-12T00:00:00,34.03383,-121.62676,2.4,170.3,64.0,YM TRAVEL,IMO9878503,9V9758,70.0,0.0,333.0,48.0,13.5,70.0,A
368031000,2024-09-12T00:00:01,29.29801,-94.84473,0.0,147.9,333.0,AET INNOVATOR,IMO9632583,WDF9351,79.0,5.0,56.0,14.0,4.3,79.0,A
255803450,2024-09-12T00:00:05,33.06318,-77.79507,5.5,59.0,61.0,MSC RIKKU,IMO9393319,CQRB,70.0,0.0,340.0,46.0,12.7,79.0,A
316001637,2024-09-12T00:00:03,41.459,-82.73162,0.1,22.8,14.0,CSL LAURENTIEN,IMO7423108,VCJW,79.0,0.0,225.0,24.0,6.8,79.0,A
316001701,2024-09-12T00:00:01,42.44414,-80.03325,11.3,258.6,257.0,JOHN D LEITCH,IMO6714586,VGWM,70.0,0.0,222.0,24.0,8.1,70.0,A
367510770,2024-09-12T00:00:01,29.12201,-90.20915,0.0,166.5,511.0,SEA SERVICE 1,IMO1236101,WDN3148,70.0,0.0,53.0,12.0,3.0,70.0,A
376609000,2024-09-12T00:00:03,26.10976,-79.79601,12.4,78.9,92.0,ALLEGRO,IMO9142447,J8B5341,79.0,5.0,100.0,16.0,3.6,79.0,A
367655260,2024-09-12T00:00:04,41.43189,-71.40811,0.1,353.8,0.0,SHELIA BORDELON,IMO9670638,WSHQ,79.0,3.0,78.0,16.0,4.4,79.0,A
368183000,2024-09-12T00:00:01,42.75209,-87.11617,11.6,14.7,14.0,GREAT REPUBLIC,IMO7914236,WDH7561,70.0,0.0,193.0,21.0,6.5,70.0,A
538006787,2024-09-12T00:00:00,42.36079,-82.91359,10.4,244.6,245.0,FEDERAL YUKON,IMO9205897,V7RG8,79.0,0.0,199.0,24.0,8.1,79.0,A
