MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367492110,2024-09-07T00:00:00,29.34496,-93.72431,9.7,356.5,0.0,ODYSSEA TITAN,IMO9399064,WDF8168,70.0,0.0,61.0,17.0,3.3,70.0,A
636092919,2024-09-07T00:00:01,38.4694,-74.60192,13.6,269.4,270.0,RDO CONCORD,IMO9401283,A8TG2,72.0,0.0,304.0,40.0,13.4,72.0,A
431578000,2024-09-07T00:00:01,27.5106,-123.0806,16.8,298.6,300.0,HYPERION LEADER,IMO9403279,7KFK,70.0,0.0,190.0,28.0,7.5,70.0,A
563052500,2024-09-07T00:00:04,35.32596,-75.21234,12.2,183.3,182.0,MONTE OLIVIA,IMO9283198,9V6839,70.0,0.0,272.0,40.0,10.5,70.0,A
316052496,2024-09-07T00:00:00,42.40253,-80.40339,12.5,248.3,247.0,NORTHERN VENTURE,IMO9167681,VDAK,70.0,0.0,155.0,22.0,8.0,70.0,A
352870000,2024-09-07T00:00:05,47.57688,-122.36102,0.0,71.6,180.0,MSC FLORENTINA,IMO9251705,HPFH,70.0,0.0,300.0,40.0,9.4,71.0,A
353642000,2024-09-07T00:00:05,24.56597,-116.26259,15.0,124.6,124.0,DREAM BEAUTY,IMO9303168,3EFF2,70.0,0.0,186.0,28.0,8.0,70.0,A
255915675,2024-09-07T00:00:00,37.00478,-76.27692,12.6,255.9,255.0,KAMILLA OLDENDORFF,IMO9952452,CQ2133,70.0,0.0,229.0,32.0,7.4,70.0,A
538006787,2024-09-07T00:00:00,46.22757,-84.11273,8.0,15.7,16.0,FEDERAL YUKON,IMO9205897,V7RG8,79.0,0.0,199.0,24.0,6.0,79.0,A
367719640,2024-09-07T00:00:03,33.74926,-118.27368,0.0,322.4,322.0,CATALINA PROVIDER,IMO8793562,WDI6530,70.0,0.0,45.0,15.0,1.7,70.0,A
246789000,2024-09-07T00:00:05,29.72097,-95.23948,0.1,318.0,248.0,ZEALAND BEATRIX,IMO9507087,PCKH,70.0,5.0,134.0,20.0,5.3,70.0,A
262005000,2024-09-07T00:00:00,36.65203,-75.61938,11.0,141.9,139.0,KOTOR,IMO9575981,4OCE,70.0,0.0,179.0,28.0,9.1,70.0,A
316044371,2024-09-07T00:00:01,42.31699,-83.06468,10.5,240.3,240.0,HARVEST SPIRIT,IMO9655951,VDAY,70.0,0.0,152.0,22.0,7.2,70.0,A
367766220,2024-09-07T00:00:01,40.49614,-74.13145,0.1,117.9,511.0,DALE PYATT,IMO131462900,WDJ3256,70.0,3.0,50.0,20.0,2.3,33.0,A
367610650,2024-09-07T00:00:03,28.83133,-89.45962,5.2,236.6,233.0,IRISH,IMO9721841,WDH3763,70.0,0.0,75.0,14.0,3.0,70.0,A
368371570,2024-09-07T00:00:00,30.39687,-88.26123,0.0,0.0,511.0,MISS SERENA,IMO8998124,WDP6324,70.0,7.0,48.0,12.0,3.0,30.0,A
