MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367438000,2024-09-01T00:00:04,34.04825,-122.59535,22.2,124.4,124.0,MAUNAWILI,IMO9268538,WGEB,70.0,0.0,217.0,32.0,11.3,70.0,A
636018135,2024-09-01T00:00:04,23.73816,-81.90596,15.5,89.1,94.0,AAL BRISBANE,IMO9498341,D5OI7,71.0,0.0,193.0,28.0,9.1,79.0,A
338058000,2024-09-01T00:00:03,39.21737,-73.19779,15.3,40.3,39.0,ARC INTEGRITY,IMO9332949,KINQ,70.0,0.0,228.0,32.0,8.6,70.0,A
316054347,2024-09-01T00:00:05,44.02795,-66.82178,8.2,169.5,173.0,CANMAR,IMO9075369,VAAM,70.0,0.0,59.0,12.0,3.8,70.0,A
373363000,2024-09-01T00:00:03,34.60282,-121.45813,12.8,126.0,125.0,OEL EMIRATES,IMO9104902,3FMJ9,70.0,0.0,244.0,32.0,7.3,70.0,A
577608000,2024-09-01T00:00:04,25.80377,-80.25572,0.0,325.6,310.0,BETTY K VIII,IMO8410328,YJXP3,70.0,0.0,78.0,13.0,3.6,70.0,A
366206000,2024-09-01T00:00:02,32.85054,-79.94043,0.0,0.0,55.0,CAPE EDMONT,IMO7027576,KGTE,70.0,5.0,199.0,28.0,6.4,70.0,A
636017425,2024-09-01T00:00:05,47.26157,-122.38792,0.0,133.9,134.0,CMA CGM CORNEILLE,IMO9409170,A8SU4,70.0,5.0,299.0,40.0,13.0,72.0,A
636019291,2024-09-01T00:00:04,48.87897,-126.04783,12.0,305.4,305.0,CL ZHENJIANG,IMO9728801,D5TV5,70.0,0.0,228.0,32.0,7.5,70.0,A
316001696,2024-09-01T00:00:02,45.20931,-83.16917,13.2,335.3,336.0,TIM S DOOL,IMO6800919,VGPY,79.0,0.0,223.0,23.0,0.0,70.0,A
414647000,2024-09-01T00:00:09,34.49665,-128.65844,11.0,130.0,128.0,QINGDAOGANG DAGANG,IMO9618513,BRBT,70.0,0.0,190.0,32.0,12.8,70.0,A
636020354,2024-09-01T00:00:04,38.64422,-74.84643,15.0,322.4,324.0,MSC PASSION III,IMO9399765,D5YV3,79.0,0.0,224.0,31.0,9.8,71.0,A
352002496,2024-09-01T00:00:00,25.45648,-118.28881,12.9,116.4,115.0,VITALITY DIVA,IMO9951903,3E2649,70.0,0.0,199.0,32.0,11.8,70.0,A
370232000,2024-09-01T00:00:00,35.14669,-129.40945,12.7,125.7,126.0,QUEEN HALO,IMO9425928,3FFO9,70.0,0.0,190.0,32.0,12.0,70.0,A
354662000,2024-09-01T00:00:02,31.30027,-80.21983,16.2,30.0,30.0,GRAND PHOENIX,IMO9284764,HOWE,70.0,0.0,199.0,32.0,8.3,70.0,A
441701000,2024-09-01T00:00:02,34.61597,-121.38182,19.8,129.0,129.0,SM LONG BEACH,IMO9312755,D7FP,70.0,0.0,304.0,40.0,12.4,70.0,A
255806491,2024-09-01T00:00:05,34.50323,-121.18065,9.8,129.4,130.0,MSC BRUNELLA,IMO9702106,CQEU8,74.0,0.0,300.0,48.0,13.1,74.0,A
538010390,2024-09-01T00:00:02,34.88309,-121.89995,12.8,123.4,121.0,CLIPPER  GEMMA,IMO9722338,V7A5980,70.0,0.0,200.0,33.0,7.1,70.0,A
334979000,2024-09-01T00:00:03,25.79711,-80.2464,0.0,360.0,511.0,SARA REGINA,IMO9142655,HQZX8,70.0,0.0,91.0,14.0,4.0,70.0,A
367040660,2024-09-01T00:00:03,33.7355,-118.271,0.0,328.3,511.0,MARLIN,,WDC5412,70.0,15.0,19.0,,0.0,0.0,A
353592000,2024-09-01T00:00:00,34.24932,-120.16105,9.3,106.0,109.0,HANOI BRIDGE,IMO9588093,3FHS3,70.0,0.0,334.0,45.0,12.7,73.0,A
416466000,2024-09-01T00:00:04,37.39183,-123.43767,0.5,122.4,234.0,YM UNANIMITY,IMO9462718,BLHL,74.0,0.0,333.0,43.0,13.0,74.0,A
371819000,2024-09-01T00:00:03,33.11485,-118.02293,12.7,161.8,163.0,UNITED HARMONY,IMO9755672,3FXX9,70.0,0.0,179.0,31.0,9.2,70.0,A
247341700,2024-09-01T00:00:04,40.39708,-72.08415,13.7,37.5,35.0,GRANDE ABIDJAN,IMO9680712,IBDE,70.0,0.0,236.0,36.0,9.8,70.0,A
538003878,2024-09-01T00:00:06,33.47899,-128.53054,12.6,119.7,117.0,IONIC SPIRIT,IMO9514200,V7TT2,70.0,0.0,190.0,32.0,8.1,70.0,A
538003320,2024-09-01T00:00:06,20.25562,-124.30277,11.3,310.0,310.0,YASA DREAM,IMO9324461,V7QA2,70.0,0.0,299.0,50.0,8.7,70.0,A
636019215,2024-09-01T00:00:02,24.24225,-113.65911,9.4,131.0,128.0,MSC ALIYA,IMO9842097,D5TM4,71.0,0.0,366.0,48.0,15.9,71.0,A
246265000,2024-09-01T00:00:06,39.91712,-75.13479,0.0,9.8,280.0,ORANJEBORG,IMO9232797,PIAG,70.0,5.0,158.0,26.0,8.9,70.0,A
636023101,2024-09-01T00:00:05,26.69928,-116.74997,20.0,306.6,307.0,MSC VIVIENNE,IMO9947122,5LLY5,71.0,0.0,366.0,51.0,14.6,71.0,A
477302200,2024-09-01T00:00:07,31.9705,-79.9573,13.2,237.3,238.0,SEASPAN HANNOVER,IMO9320013,VRSM5,70.0,0.0,207.0,30.0,8.8,70.0,A
210505000,2024-09-01T00:00:07,48.47712,-125.96937,11.7,91.4,87.0,CLIMATE PLEDGE,IMO9932749,5BBV6,70.0,0.0,229.0,37.0,7.4,70.0,A
431888000,2024-09-01T00:00:01,40.67089,-74.07961,0.0,213.6,299.0,ONE WREN,IMO9784776,7KBS,70.0,5.0,364.0,51.0,12.8,70.0,A
352306000,2024-09-01T00:00:07,26.07372,-80.00284,7.9,92.2,107.0,CARIB WARRIOR,IMO9666364,HP8134,70.0,0.0,64.0,14.0,2.4,70.0,A
314850000,2024-09-01T00:00:09,18.43705,-66.09205,0.0,242.5,58.0,ST MICHAEL,IMO9972529,8PYO7,70.0,5.0,179.0,30.0,10.8,70.0,A
353873000,2024-09-01T00:00:17,28.19549,-89.02998,12.2,326.5,329.0,MSC ANS,IMO9282261,H3MH,70.0,0.0,294.0,32.0,11.3,71.0,A
366893910,2024-09-01T00:00:04,43.83323,-87.31725,11.4,204.5,205.0,ALPENA,IMO5206362,WAV4647,70.0,0.0,153.0,20.0,5.9,70.0,A
636093031,2024-09-01T00:00:07,39.19316,-73.30824,0.3,177.2,88.0,BSG BAHAMAS,IMO9439498,5LCC6,70.0,0.0,263.0,32.0,9.3,70.0,A
