Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts
2018-12,26783.0,85646.0,9528.0,99401.0,221358.0,108929.0,112429.0,29.602093408239703,-94.66715344569288,1.0,1.0,,,,,,25.0,,33.0,0.45415225972,0.000881849048,,,,,,255.4007244496884,,12.9810825412744,60.0
2018-12,55399.25,85349.75,20677.0,138872.75,349055.19,159549.75,140749.0,47.449354639175255,-122.42877860824744,2.0,1.0,,,,,2.0,92.0,,22.0,0.0110231131,0.005952481074,,,,,0.014991433816,16.636214567877197,,125.9667131351548,119.0
2018-12,41825.0,72389.1,19651.75,87056.45,220922.3,106708.2,114214.1,37.90095694063927,-122.20986401826484,5.0,6.0,,,1.0,,1.0,55.0,9.0,64.0,0.445554231502,1.09790206476,,,1.18829159218,,0.000992080179,73.78682311594682,34.785417547408,1028.9101415189696,141.0
2019-01,471596.0,262281.0,22097.75,753760.75,1509735.5,775858.5,733877.0,33.804338012958965,-118.37905453563714,8.0,22.0,,3.0,1.0,,1.0,216.0,13.0,52.0,280.9420491203054,1.076517225346,,11.615495197994,0.086641668966,,0.0048060773116,433.2471902805646,3848.539843243168,40.7169987989704,316.0
2019-01,12286.0,33662.0,16188.0,27730.0,89866.0,43918.0,45948.0,26.14492877245509,-79.93771224550898,18.0,13.0,8.0,2.0,7.0,1.0,45.0,64.0,6.0,212.0,122.1086015039286,4.2877484874118,0.0108908357428,0.037037660016,11.7726186521214,3.086471668,0.3197364185785999,8.373641727736397,48.1742450422514,851.6088127233411,376.0
2019-01,182.337,111.833,1.016,327.345,622.531,328.36100000000005,294.16999999999996,40.6909464495114,-74.15705749185668,10.0,112.0,1.0,2.0,10.0,,133.0,13.0,15.0,721.0,21.522187403226,86.28892934680003,0.04629707502,0.7716179169999999,50.17500620858,,1.0405818766400008,11.2098666821402,1.7857443222,684.318013858347,1017.0
2019-01,60043.25,72858.5,15978.25,128615.25,326227.64,144593.5,132901.75,47.449354639175255,-122.42877860824744,3.0,1.0,1.0,1.0,,1.0,1.0,79.0,1.0,27.0,0.08245288598799999,0.0011243575362,0.8157103694,0.01322773572,,321.87490252,6.61386786e-05,7.109180424035399,0.029101018584,23.180967508740203,115.0
2019-01,20698.0,87961.0,10975.0,95318.0,214952.0,106293.0,108659.0,29.602093408239703,-94.66715344569288,,,,,,,5.0,99.0,1.0,38.0,,,,,,,0.0260145469159999,52.621894808291785,0.037919509064,464.05586545356414,143.0
2019-01,39768.5,75350.2,15481.5,81893.1,212493.3,97374.6,115118.7,37.90095694063927,-122.20986401826484,6.0,12.0,,2.0,2.0,,,76.0,5.0,71.0,2.3553967609818,3.2375324099224,,0.0054674640976,1.0277068805392,,,57.53502859431901,9.0751746916466,590.2106990368834,174.0
2019-02,380932.5,247841.5,21968.8,651180.75,1301923.55,673149.55,628774.0,33.804338012958965,-118.37905453563714,4.0,21.0,,1.0,4.0,,,198.0,7.0,56.0,2.76900601072,2.194260893686,,0.02866009406,0.050926782522,,,819.4441623616844,37.897021913276,29.2591561645326,291.0
2019-02,44157.25,65610.0,12206.5,99668.5,269232.57,111875.0,109767.25,47.449354639175255,-122.42877860824744,1.0,1.0,,,1.0,,1.0,46.0,2.0,12.0,0.002866009406,0.001763698096,,,2.2487150724,,0.000661386786,17.856120448427998,0.006834330122,3.1655955738317996,64.0
2019-02,33662.0,67837.15,14208.7,69976.9,185684.75,84185.59999999999,101499.15,37.90095694063927,-122.20986401826484,2.0,34.0,,,3.0,,1.0,35.0,9.0,76.0,0.14550509292,11.874494263391597,,,0.06393405598,,0.0024471311082,42.319450796543606,13.8162817746352,278.8381557078132,160.0
2019-02,15322.0,86460.0,9759.0,86953.0,198494.0,96712.0,101782.0,29.602093408239703,-94.66715344569288,2.0,3.0,,,,3.0,,53.0,,36.0,171.1669002168,1.46276710837,,,,1701.96866264,,47.5267694249836,,20.6160434139536,97.0
2019-02,175.358,113.358,977.0,295.523,585.216,1272.5230000000001,288.716,40.6909464495114,-74.15705749185668,7.0,122.0,,2.0,8.0,2.0,53.0,11.0,12.0,610.0,3314.107639728124,58.44170169302021,,11.205435390674,15.12591579582,226.9879449552,0.2182576393800002,4.4957105391564,2.188749337136,586.948783500784,827.0
2019-02,11239.0,32664.0,10862.0,27361.0,82126.0,38223.0,43903.0,26.14492877245509,-79.93771224550898,18.0,19.0,,1.0,8.0,5.0,38.0,68.0,2.0,198.0,361.509167057836,7.241744382175999,,0.159173753164,11.6955229991,3472.2806265,0.3211694232816001,21.500471870419,0.04519476371,334.76367751217515,357.0
2019-03,11477.0,37351.0,15030.0,28507.0,92365.0,43537.0,48828.0,26.14492877245509,-79.93771224550898,20.0,20.0,1.0,2.0,1.0,,36.0,42.0,1.0,144.0,108.88000598110678,7.232044042648,8.157103694,0.007054792384,0.0012345886672,,0.35714886444,14.897340522578398,6.61386786,142.33614631978585,267.0
2019-03,170.777,130.038,1.302,282.981,585.098,284.283,300.815,40.6909464495114,-74.15705749185668,11.0,106.0,5.0,3.0,4.0,,124.0,31.0,3.0,665.0,88.36001797470661,101.90206674164004,0.03747858454,1.66669470072,29.0128336792,,0.5599741454799997,14.8851930519422,0.26235009178,443.7659077713348,952.0
2019-03,17489.0,118295.0,35333.0,109604.0,280721.0,144937.0,135784.0,29.602093408239703,-94.66715344569288,3.0,2.0,,,,1.0,1.0,38.0,3.0,82.0,0.7826410301,1.137144347396,,,,220.462262,0.000440924524,18.774257584753204,3.979123366838,17.1487231883486,130.0
2019-03,30532.75,88202.05,20523.25,74714.4,213972.45,95237.65,118734.8,37.90095694063927,-122.20986401826484,2.0,39.0,,,3.0,,3.0,53.0,4.0,85.0,0.301371912154,14.313600545254802,,,0.0596570880971999,,0.022266688462,51.4949578636264,15.51062244301,408.3487776583919,189.0
