,Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Hub Portuario,Hub Portuario_name
0,2018-10,-0.4597118447922314,-0.42847103561829164,-0.08700632946060548,-0.4265690721520884,-0.35862026104607037,-0.43267469665736413,-0.4626699038274135,1.6299940316770722,-1.021196100221785,-0.5195628801246789,-0.30422510770835776,-0.34168588808140643,-0.1524021627444167,-0.5236182215084527,-0.3909977306992006,-0.18156952892138067,-0.27826454741261225,-0.3920093733606436,-0.5930071076653588,-0.1060657319519369,-0.37172366426927117,-0.08827793584187672,-0.22907002639843552,-0.19516640035962174,-0.3115300132826203,-0.149768893813167,-0.3487018077532694,-0.2960471907413016,-0.19856128134641396,-0.6090957359836005,-0.06520340097080495,-0.11765952197156512,-0.08088234453130691,-0.10905832005471482,-0.09875561681287304,-0.24922645142514024,-0.16939427118129094,-0.3783515070271127,-0.26331836954697607,-0.1411223927842872,5.0,Seattle/Tacoma
1,2018-10,0.2266337001381892,0.425510590749389,-0.2521679161628662,0.3621973329041306,0.28998535833468175,0.29981627822024043,0.28607044336602194,0.6735015112857412,1.3874854740914484,-0.1773813664715176,0.2502952816099498,0.5713702261503802,-0.13915236111478232,-0.3250105009430416,0.0,-0.21216540535449108,-0.8365239198248453,-0.3403687943172333,-0.19227864161667788,-0.08588553277731786,0.26872052278484665,-0.0509713346033521,4.0564575510510394,-0.16051034657834104,-0.19157874627583416,-0.1493183815883176,-0.354267483685641,-0.29447625785676534,0.6578612469863417,-0.26417259571045026,-0.05633560550685831,-0.07295413725655542,-0.06724884856990856,1.5450798152621226,-0.05220139637357777,-0.043216345804535,-0.16215202432062273,-0.38263054337201197,-0.2592600794575816,0.27570627837609457,3.0,Newark/New York
2,2018-10,-0.5545069005208213,-0.3566681357571705,0.12730061416717509,-0.6268013412509629,-0.5742315486537751,-0.5828993637093693,-0.5147394700602572,0.2786446126912207,-1.0102726127834971,-0.3329184181320455,-0.2933521588981948,-0.34168588808140643,-0.17890176600368543,-0.2852889568299594,-0.3909977306992006,-0.26570818911243427,-0.3223376557609464,-0.3403687943172333,-0.5143364885637772,-0.09802342894324306,-0.3514054365863639,-0.08827793584187672,-0.24443812034893103,-0.17362040720598143,-0.3115300132826203,-0.15573476782102152,-0.28214977136324165,-0.24676208114963255,-0.08213740517212519,-0.5528382184524182,-0.059710443647627114,-0.08775262040414847,-0.08088234453130691,-0.11384637325239648,-0.07463628783049302,-0.24922645142514024,-0.1798888392280859,-0.2865763562047979,-0.13434778918805323,0.07111312282021656,4.0,Oakland
3,2018-10,-0.7459409846604033,-0.9499064493106633,-0.020649501080391736,-0.8320292610102628,-0.8466633886602478,-0.8130495683159555,-0.8196459580055363,-1.3851425834676494,1.0990400598702295,-0.021844314810989685,-0.2281144660372175,-0.15907466523504907,-0.1921515676333198,-0.046959692151466094,-0.3909977306992006,0.26207067935871997,-0.32968317381900214,-0.49529053144746427,-0.4098520725694893,-0.08875149585152702,-0.22122702433890024,-0.08822151754132695,-0.2474770089832098,-0.18044676196912726,-0.3115300132826203,-0.11954361909145092,-0.25160853005803535,-0.25351864437215454,0.488015891472576,-0.39144370094492814,-0.05960572479797328,-0.052482865312720846,-0.08077925571496364,-0.11854493012862614,-0.09051678098130164,-0.24922645142514024,-0.16973953074095072,-0.24279885454553427,0.5167985983361775,0.5237556457597091,2.0,Miami/Fort Lauderdale
4,2018-10,1.864513728747485,2.8788470034552667,0.16194089868623446,2.3244112013433353,2.285965498477596,2.2929923794194247,2.1852513177683153,-0.301134715999291,-0.8191213548189943,-0.3951332387962566,-0.1465673499609958,-0.34168588808140643,-0.1921515676333198,-0.4838966773953705,-0.3909977306992006,-0.25041025089587904,-0.02851693343871848,-0.288728215273823,-0.4467289252733556,-0.103516381801616,-0.31308781426790966,-0.08827793584187672,-0.2474770089832098,-0.19514764874041587,-0.3115300132826203,-0.1515982464837677,-0.2752398275366418,-0.11598125615021578,-0.16890066374727397,-0.444012200933082,-0.0629720714080907,-0.10453473559908702,-0.08088234453130691,-0.11854493012862614,-0.09862966955130471,-0.24922645142514024,-0.13986779197411842,-0.315158580471112,0.10324137090982241,-0.10920422063146128,1.0,Los Angeles/Long Beach
5,2018-10,-0.6362374435669852,-0.10010462066095532,-0.11140991434737613,-0.5258418638127497,-0.5444101093043829,-0.534229470533108,-0.506962424417036,-0.8958628561870937,0.3640645338625945,-0.5817777007888901,-0.31509805651852063,-0.34168588808140643,-0.1921515676333198,-0.5236182215084527,-0.3909977306992006,-0.26570818911243427,-0.8071418475926225,-0.4436499524040539,-0.6188209045580652,-0.10606201734121082,-0.37173678973935054,-0.08827793584187672,-0.2474770089832098,-0.19516640035962174,-0.3115300132826203,-0.15573476782102152,-0.351082362560145,-0.15528424260883925,-0.19676759176974762,-0.7133104815741511,-0.06513118410029622,-0.11676274710520111,-0.08088234453130691,-0.11854493012862614,-0.09875561681287304,-0.24922645142514024,-0.1798888392280859,-0.34372108094790227,0.5966586863839743,-0.102589060366747,0.0,Houston
6,2018-11,-0.5665541887125155,-0.3802753320215972,0.05338192106872143,-0.6230820962530439,-0.5880696265342754,-0.5946020558572854,-0.5302136797333431,0.2786446126912207,-1.0102726127834971,-0.4262406491283622,-0.2879156844931134,-0.34168588808140643,-0.16565196437405105,-0.5236182215084527,-0.3909977306992006,-0.26570818911243427,-0.4692480169220604,-0.26290792575211785,-0.5032734327526174,-0.10580412942413485,-0.29938482350501877,-0.08827793584187672,-0.24574050119219337,-0.19516640035962174,-0.3115300132826203,-0.15573476782102152,-0.3054748597604822,-0.21007007749726442,-0.07945835059614584,-0.5666720342387744,-0.06494691262026182,-0.02858708825704823,-0.08088234453130691,-0.11720248530684624,-0.09875561681287304,-0.24922645142514024,-0.1798888392280859,-0.2937166922062399,-0.10585605515254444,0.05696183393639364,4.0,Oakland
7,2018-11,1.489422667232123,2.496867716435402,0.12976712579560515,1.912062766954768,1.8788872511118149,1.8855035922771501,1.7989864255174302,-0.301134715999291,-0.8191213548189943,-0.3329184181320455,-0.24442388925246183,-0.15907466523504907,-0.16565196437405105,-0.3250105009430416,-0.1954988653496003,-0.26570818911243427,0.14042998189656258,-0.056345609578476584,-0.5376918286095592,-0.08654383011266176,-0.3551111943054471,-0.08722009270656884,-0.23375859743417993,-0.19060937420649132,-0.3115254716979007,-0.15573476782102152,0.01010857644669774,-0.01432793214957595,-0.16677456682262506,-0.4919694289924505,-0.05184632186858439,-0.1092590104221914,-0.07894942922487048,-0.10793961603656489,-0.09263406583019715,-0.24921085155077255,-0.1798888392280859,-0.11578375244712764,0.023358018152844804,-0.06992078672990003,1.0,Los Angeles/Long Beach
8,2018-11,-0.5309580860155945,-0.2839968923340995,0.05453626654747481,-0.495257346145706,-0.3880883478193113,-0.47011135093827355,-0.4773145266434206,1.6299940316770722,-1.021196100221785,-0.3951332387962566,-0.30422510770835776,-0.34168588808140643,-0.1921515676333198,-0.5236182215084527,-0.1954988653496003,-0.22746334357104628,-0.2635735112965008,-0.4178296628823488,-0.5991532497826698,-0.10607170948643865,-0.3717586655228162,-0.08827793584187672,-0.2474770089832098,-0.19516640035962174,-0.17084774779091966,-0.1536596812095939,-0.12905908996184515,-0.2959873416237574,-0.19892511017032655,-0.6164737710696572,-0.06522275574394597,-0.11774595810326285,-0.08088234453130691,-0.11854493012862614,-0.09875561681287304,0.23400259810631063,-0.17185821324445152,-0.10692890098650187,-0.2629966663044385,-0.14291852472529515,5.0,Seattle/Tacoma
9,2018-11,0.10536108794433738,0.19404770234548124,-0.2384961368988809,0.21694202244521166,0.1405186168522365,0.16145465000830894,0.13197229025303858,0.6735015112857412,1.3874854740914484,-0.1773813664715176,0.2394223327997869,2.3974824546139537,-0.07290335296661046,-0.08668123626454831,-0.1954988653496003,-0.1739205598131031,-0.821832883708734,-0.26290792575211785,0.001939449290351495,-0.03416142291281759,0.6295921971478005,0.21265586883299561,0.45185809115388653,-0.1861197008080595,-0.2728820178253485,-0.15259483413267705,-0.35070107435803516,-0.2947175467891571,-0.10512300494175512,-0.09263327995963228,-0.03355679624698707,-0.04611977642690205,-0.0442241332543316,0.0015964233938877638,-0.09323169610141635,-0.11647457935484673,-0.17482567043357958,-0.3233339318696876,-0.26097675489276384,-0.1125558568655313,3.0,Newark/New York
