Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Hub Portuario,Hub Portuario_name
2018-10-01,0.2266337001381892,0.425510590749389,-0.2521679161628662,0.3621973329041306,0.28998535833468175,0.29981627822024043,0.28607044336602194,0.6735015112857412,1.3874854740914484,-0.1773813664715176,0.2502952816099498,0.5713702261503802,-0.13915236111478232,-0.3250105009430416,0.0,-0.21216540535449108,-0.8365239198248453,-0.3403687943172333,-0.19227864161667788,-0.08588553277731786,0.26872052278484665,-0.0509713346033521,4.0564575510510394,-0.16051034657834104,-0.19157874627583416,-0.1493183815883176,-0.354267483685641,-0.29447625785676534,0.6578612469863417,-0.26417259571045026,-0.05633560550685831,-0.07295413725655542,-0.06724884856990856,1.5450798152621226,-0.05220139637357777,-0.043216345804535,-0.16215202432062273,-0.38263054337201197,-0.2592600794575816,0.27570627837609457,3.0,Newark/New York
2018-11-01,0.10536108794433738,0.19404770234548124,-0.2384961368988809,0.21694202244521166,0.1405186168522365,0.16145465000830894,0.13197229025303858,0.6735015112857412,1.3874854740914484,-0.1773813664715176,0.2394223327997869,2.3974824546139537,-0.07290335296661046,-0.08668123626454831,-0.1954988653496003,-0.1739205598131031,-0.821832883708734,-0.26290792575211785,0.001939449290351495,-0.03416142291281759,0.6295921971478005,0.21265586883299561,0.45185809115388653,-0.1861197008080595,-0.2728820178253485,-0.15259483413267705,-0.35070107435803516,-0.2947175467891571,-0.10512300494175512,-0.09263327995963228,-0.03355679624698707,-0.04611977642690205,-0.0442241332543316,0.0015964233938877638,-0.09323169610141635,-0.11647457935484673,-0.17482567043357958,-0.3233339318696876,-0.26097675489276384,-0.1125558568655313,3.0,Newark/New York
2018-12-01,0.16184474054257883,0.2017596174143171,-0.2558293557282871,0.2765652976457622,0.19147409575341223,0.2158192802515026,0.17666116221505557,0.6735015112857412,1.3874854740914484,-0.48845546979257337,0.24485880720486833,0.7539814489967376,-0.1524021627444167,-0.046959692151466094,-0.3909977306992006,-0.0744839614054943,-0.7851052934184555,-0.4694702419257591,-0.13450490571395396,-0.10024058188329613,0.863138061427211,0.08055382855326114,0.18925470045742518,-0.1854423464000111,-0.3115300132826203,-0.13662212797892462,-0.35256027843184107,-0.2957252829185579,-0.13456147559118067,-0.20791507817926802,-0.05623087161463467,-0.0301755599561569,-0.02946679738009763,0.10653831832313808,-0.09331289586652765,-0.24922645142514024,-0.16509558083718043,-0.36875272796053615,-0.26008373686335085,-0.11652896344192448,3.0,Newark/New York
2019-01-01,0.20129089609286704,0.14009442153186785,-0.2572362142805178,0.3150670295291049,0.21772285891453927,0.25295318203673,0.18972751182839132,0.6735015112857412,1.3874854740914484,-0.3018110077999399,0.2883506024455199,-0.15907466523504907,-0.16565196437405105,-0.12640278037763053,-0.3909977306992006,0.7516047022884863,-0.770414257302344,-0.13380647814359206,0.25516050452356703,-0.09774137470810998,1.3405114082148966,-0.08679695545244569,-0.09553257726927121,-0.10807086943999192,-0.3115300132826203,-0.09129786778195194,-0.3473985408058799,-0.29226680822094314,-0.09739680038822549,0.20341037786839233,-0.06008830547968622,-0.0048827508901199725,-0.0781762631022959,-0.0010810082228843935,-0.04025696934280232,-0.24922645142514024,-0.1705139493777806,-0.33107694963497664,-0.25882657555980826,-0.11981266975372408,3.0,Newark/New York
2019-03-01,0.13882547716665722,0.4143042141649869,-0.2520777329223386,0.14447970971759816,0.14295153622901546,0.08820349679372594,0.21680982411180244,0.6735015112857412,1.3874854740914484,-0.2707035974678343,0.25573175601503123,0.5713702261503802,-0.1524021627444167,-0.36473204505612383,-0.3909977306992006,0.6827639803139879,-0.6381949322573415,-0.4436499524040539,0.18632371280968318,-0.07185256176962947,1.650360005222539,-0.08707904695519444,0.08072296351889759,-0.144804908778167,-0.3115300132826203,-0.12105897839321719,-0.34510866883017,-0.2955360366970741,-0.1331697441962175,0.14346384279418176,-0.046044952054903505,0.023184892889076873,-0.08044421706184798,0.050603117415641975,-0.014191026902713243,-0.24922645142514024,-0.17447771072680424,-0.35521767432029355,-0.26006928673342505,-0.1271485897879631,3.0,Newark/New York
2019-04-01,0.15935909238461546,0.4334785654982446,-0.24760464419216927,0.201557479424613,0.18323053395705188,0.14461264080405795,0.23748530495661002,0.6735015112857412,1.3874854740914484,-0.4262406491283622,-0.03783786185936687,-0.15907466523504907,-0.12590255948514795,0.11192648430086279,0.0,-0.0668349922972167,-0.5427031975026174,-0.3920093733606436,0.2637651034878025,-0.09665961174999134,2.158446951996012,-0.08200139990571663,1.0198697895953648,-0.03062936092253047,-0.07109317518438527,-0.15027401358042242,-0.3195383905610945,-0.29225261475433184,-0.11256683586434797,0.08167279894845698,-0.055550207866717126,0.24235070657443422,-0.06941371371311739,0.2733549866935818,-0.029684949780876584,0.16371139948475888,-0.1758247572525624,-0.3052540702351756,-0.24941087090017225,-0.12369789422230112,3.0,Newark/New York
2019-05-01,0.13164411542332394,0.4486011489535399,-0.252781162198454,0.36634243097366453,0.2600193021027947,0.30371842149792305,0.2206734858190523,0.6735015112857412,1.3874854740914484,-0.3951332387962566,-0.09220260591018134,0.02353655761130827,-0.1921515676333198,-0.007238148038383874,-0.1954988653496003,-0.25805922000415665,-0.748377703128177,-0.26290792575211785,0.28834967195704675,-0.09007638221650227,1.1312039120154385,-0.08799584433912795,-0.2474770089832098,-0.015551911022699642,-0.23405592100652234,-0.15505217354094666,-0.34108410654383464,-0.2916848760898807,-0.0025621305123545808,0.040171351589388116,-0.05113437375397711,0.1469863042539779,-0.08062462249044873,-0.11854493012862614,-0.005955618207511053,0.016889052494572548,-0.16668057280763457,-0.3012745529342293,-0.2554192349233102,-0.09851111012538287,3.0,Newark/New York
2019-06-01,0.21597783455665928,0.3032195000386889,-0.24668477513878767,0.21648829185875063,0.1947439553755692,0.1593166941128736,0.2449436392649081,0.6735015112857412,1.3874854740914484,-0.2707035974678343,0.07632810064734351,-0.15907466523504907,-0.16565196437405105,0.07220494018778056,0.1954988653496003,-0.25805922000415665,-0.7997963295345668,-0.3920093733606436,0.29203735722743335,-0.08607484983432362,4.713832033799487,-0.02255061570141369,2.43412514729393,0.009748998205387696,-0.03311443566595978,-0.15559824896500657,0.08963928742887071,-0.29568118854895215,-0.02552285276118331,0.06876123754785779,-0.05401650277728622,0.39798133436346883,0.03921612650861051,1.9545254859049936,-0.006999866659208168,0.06954979819955195,-0.17724718594399563,4.616935075835469,-0.2619769350857064,-0.10404675133222117,3.0,Newark/New York
2019-07-01,0.33051217880924955,0.23320977105441335,-0.24388909468243183,0.35208452407029545,0.2985465179807201,0.29170176379892887,0.31238654425601226,0.6735015112857412,1.3874854740914484,-0.1773813664715176,0.03827277981177338,0.02353655761130827,-0.17890176600368543,0.03248339607469835,0.0,-0.25805922000415665,-0.7630687392442883,-0.36618908383893845,0.019148647218822454,-0.07663760375629389,1.5003796337819566,-0.043778001283258504,-0.24530637424443924,-0.04363418287095433,-0.2760655796631306,-0.15436957926087175,-0.3154842828688461,-0.29256487101977996,-0.07481170640945606,-0.1359792360902153,-0.05226290494670208,0.09201096003667925,-0.040226692585927135,-0.11518881807417639,-0.026056874592451915,-0.18831811841593013,-0.1534723063871833,-0.10382504590458068,-0.25271417060120477,-0.10337164438691225,3.0,Newark/New York
2019-08-01,0.33928759752345067,0.3721146162981718,-0.24071464461586004,0.37349830064657985,0.33168655523863494,0.3131747648815793,0.356590420708364,0.6735015112857412,1.3874854740914484,-0.3329184181320455,0.23398585839470545,-0.15907466523504907,-0.17890176600368543,0.5488634695447672,0.0,-0.18156952892138067,-0.7777597753603998,-0.23708763623041268,-0.05091737291852359,-0.09404896625302238,3.058154174371775,-0.08616224957126095,-0.24660875508770158,-0.0953044609357569,-0.16973016174716676,-0.15082008900448232,-0.34293254185974387,-0.291310547063786,-0.11087411204026298,-0.1369014904759724,-0.056987730157074375,0.13097973089509937,-0.07701651391843403,-0.11720248530684624,-0.07391363804775292,-0.0056925303524076746,-0.17124342848015414,-0.2888008997164007,-0.25553100011004515,-0.1117767521359362,3.0,Newark/New York
