Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Hub Portuario,Hub Portuario_name
2018-10-01,-0.7459409846604033,-0.9499064493106633,-0.020649501080391736,-0.8320292610102628,-0.8466633886602478,-0.8130495683159555,-0.8196459580055363,-1.3851425834676494,1.0990400598702295,-0.021844314810989685,-0.2281144660372175,-0.15907466523504907,-0.1921515676333198,-0.046959692151466094,-0.3909977306992006,0.26207067935871997,-0.32968317381900214,-0.49529053144746427,-0.4098520725694893,-0.08875149585152702,-0.22122702433890024,-0.08822151754132695,-0.2474770089832098,-0.18044676196912726,-0.3115300132826203,-0.11954361909145092,-0.25160853005803535,-0.25351864437215454,0.488015891472576,-0.39144370094492814,-0.05960572479797328,-0.052482865312720846,-0.08077925571496364,-0.11854493012862614,-0.09051678098130164,-0.24922645142514024,-0.16973953074095072,-0.24279885454553427,0.5167985983361775,0.5237556457597091,2.0,Miami/Fort Lauderdale
2018-11-01,-0.7326049419346345,-0.955780759617003,-0.014444894132092325,-0.8212166304244284,-0.8362086267406573,-0.8012534340397425,-0.8111768767527254,-1.3851425834676494,1.0990400598702295,0.040370505853221474,-0.24442388925246183,0.2061477804576656,-0.17890176600368543,-0.12640278037763053,-0.3909977306992006,0.6139232583394895,-0.34437420993511353,-0.4436499524040539,-0.39510133148794274,-0.08396332846825168,-0.27634087320229,-0.024721309815065463,0.0034483668186659384,-0.17514234985050608,-0.3115300132826203,-0.1137251854480926,-0.3526037243262636,-0.2960479477261876,0.05679851267222348,-0.33795294657101715,-0.05873540934422331,-0.06757518591095825,-0.042171634920936965,0.26942162336576664,-0.08530624852396995,-0.24922645142514024,-0.17282023445782282,-0.38301120579540826,-0.26319629484936313,0.08884283828690595,2.0,Miami/Fort Lauderdale
2018-12-01,-0.7159997315228488,-0.989686073718467,-0.013506988430605205,-0.8165870403727411,-0.8320578825165631,-0.7965589015141012,-0.8078267397027685,-1.3851425834676494,1.0990400598702295,0.07147791618532705,-0.2770427356829505,-0.15907466523504907,-0.17890176600368543,-0.2852889568299594,-0.3909977306992006,-0.028590146755828723,-0.27826454741261225,-0.49529053144746427,-0.513107260140315,0.1909382315766952,-0.34181509311501757,-0.08826383126673928,-0.10551749706761572,-0.18397397981036032,-0.3115300132826203,-0.13839687310711934,-0.34800716792629083,-0.2960659261172285,-0.18592301227784905,-0.507647753550321,0.018010229079383475,-0.09027277386896058,-0.0808565723272211,0.10094479823238849,-0.0862264346391018,-0.24922645142514024,-0.16906658222552257,-0.3774710794000251,-0.2629015121988773,-0.1203779908389997,2.0,Miami/Fort Lauderdale
2019-01-01,-0.7175937884937167,-1.0373432988704137,0.01641581077645503,-0.8370049167634881,-0.846259899568204,-0.8102051899305949,-0.8219242142232078,-1.3851425834676494,1.0990400598702295,-0.05295172514309526,-0.24986036365754327,1.1192038946894522,-0.16565196437405105,-0.24556741271687718,-0.1954988653496003,0.07849542076005765,-0.3957928363415034,-0.36618908383893845,-0.3705167630186985,-0.0587804623544291,-0.286832936468091,-0.08792955283598199,-0.24018367626094073,-0.17473107709212776,-0.3109066585171804,-0.1359354381331693,-0.34916561980415894,-0.19271634092187478,-0.07251867961539453,-0.3877546834018998,-0.04902751518860991,-0.06966361583143969,-0.08080277285119196,-0.11290666187715055,-0.07914761102987018,-0.24708529219820002,-0.17137508421049455,-0.37728625262032534,0.05224816291345004,-0.039949788157033185,2.0,Miami/Fort Lauderdale
2019-02-01,-0.7232513398445594,-1.052375508320996,-0.0796473770335527,-0.8384237861397943,-0.8617203231940409,-0.8314913067566512,-0.8302588009229183,-1.3851425834676494,1.0990400598702295,-0.05295172514309526,-0.2172415172270546,-0.34168588808140643,-0.17890176600368543,-0.20584586860379497,0.5864965960488009,0.02495263700211446,-0.36641076410928064,-0.4694702419257591,-0.3877259609471695,0.03394840699992906,-0.22820977442113968,-0.08827793584187672,-0.216133043355363,-0.1748649024234806,0.3897440978372319,-0.13584670087675954,-0.34098709157314033,-0.29600205551747777,-0.1493796652874769,-0.4052775167312844,-0.017265467934268353,-0.062118620768158085,-0.08088234453130691,-0.07008267206237155,-0.08171096827664973,0.23253437463640872,-0.16976157474318407,-0.3655772274537038,-0.2626197346653246,-0.10050744398933502,2.0,Miami/Fort Lauderdale
2019-03-01,-0.721965287101961,-0.9817783483060865,-0.004470627729738913,-0.834017216206876,-0.8412682201572264,-0.8116292479658411,-0.8101865077708039,-1.3851425834676494,1.0990400598702295,0.009263095521115894,-0.21180504282197316,-0.15907466523504907,-0.16565196437405105,-0.4838966773953705,-0.3909977306992006,0.009654698785559267,-0.5573942336187288,-0.49529053144746427,-0.45410429581412887,-0.06390439639000335,-0.2284022813156375,0.17265670420073398,-0.24608780275039663,-0.1951642573174268,-0.3115300132826203,-0.13361871314659512,-0.3451011004811891,-0.2819055775947103,-0.17799591551463562,-0.4882804114494222,-0.05222714198913409,-0.06499182602484216,0.3959034310563481,-0.11747097427120223,-0.09874122284012236,-0.24922645142514024,-0.16800139944967973,-0.3631440648953506,-0.0034060789917808036,-0.11878904801297493,2.0,Miami/Fort Lauderdale
2019-04-01,-0.7276282420357557,-1.0008623256346314,-0.01920656923195001,-0.8194017080785841,-0.8399319122236754,-0.8004759955323114,-0.8196215044504271,-1.3851425834676494,1.0990400598702295,-0.146273956139412,-0.2389874148473804,0.9365926718430949,-0.17890176600368543,-0.3250105009430416,0.1954988653496003,0.047899544326947256,-0.5867763058509515,-0.4436499524040539,-0.5020442043291551,-0.10164889755124593,-0.27963099103552563,-0.08764322996069199,0.8017513872352668,-0.19272677643232863,0.12303730890974525,-0.14092247194339644,-0.3131864854169802,-0.2960328080284689,-0.17571513404743117,-0.5196370605651631,-0.06340767013297029,-0.0725722747747336,-0.0807166660764695,1.5037123780789743,-0.09547841765981972,0.24833816893049132,-0.1728981226104324,-0.2756264636090672,-0.26310381401783817,-0.10542946525205295,2.0,Miami/Fort Lauderdale
2019-05-01,-0.7442280488645894,-1.0050647168537823,0.03409172591986614,-0.845122080051787,-0.854083992506499,-0.8144325118147511,-0.8332788149789013,-1.3851425834676494,1.0990400598702295,-0.05295172514309526,-0.2716062612778691,-0.34168588808140643,-0.17890176600368543,-0.24556741271687718,-0.3909977306992006,-0.04388808497238392,-0.6161583780831744,-0.5211108209691694,-0.43935355473258236,-0.09401911273785359,-0.1864532789418833,-0.08827793584187672,0.6207768865250108,-0.17766616472117247,-0.3115300132826203,-0.1431067736396361,-0.33696975424427134,-0.29609904420598815,-0.13688549765166977,-0.5002697184642643,-0.06109766859876735,0.03451849089327382,-0.08088234453130691,1.2238998916512795,-0.081963872581038,-0.24922645142514024,-0.1714628761667635,-0.3336218840727115,-0.26350841765575994,-0.0746381211243549,2.0,Miami/Fort Lauderdale
2019-06-01,-0.751431024939731,-1.0216332843844842,0.00774018303769917,-0.8572574506523891,-0.8681661613129783,-0.8316894040686408,-0.8431947315756717,-1.3851425834676494,1.0990400598702295,0.040370505853221474,-0.2770427356829505,3.3105385688457405,-0.17890176600368543,-0.3250105009430416,-0.3909977306992006,-0.14332468337999268,-0.5353576794445617,-0.4694702419257591,-0.43689509788565795,-0.05034797151146532,-0.308607653814142,-0.08674053715189593,-0.09566281535359743,-0.17224847751510367,-0.3115300132826203,-0.14948220421553554,-0.302679185819482,-0.2842508113944471,-0.15895369786008015,-0.4799801219776084,-0.04886615228883149,-0.05952041888837548,-0.0807418860190392,0.1161815469595904,-0.06796947945147643,-0.24922645142514024,-0.17232710670237752,-0.2690502804610672,-0.15494603653639277,-0.09997210185626804,2.0,Miami/Fort Lauderdale
2019-07-01,-0.7498045464711506,-1.0273117843472794,-0.01639285212748865,-0.8444222582997878,-0.8643230275847987,-0.8242140338048809,-0.8435044766070546,-1.3851425834676494,1.0990400598702295,0.10258532651743263,-0.26073331246770615,3.675761014538455,-0.17890176600368543,-0.12640278037763053,-0.3909977306992006,0.2850175866835528,-0.5573942336187288,-0.36618908383893845,-0.17875712895859355,-0.07679703314079084,-0.3350248499272759,-0.08649370708699075,-0.08250876883664787,-0.1907647447656256,-0.3115300132826203,-0.13042417191584466,-0.29953310144136147,-0.2564330361830036,-0.08549776219474298,-0.2226711483513814,-0.057378963053283785,-0.09330417740818944,-0.08073415435781346,0.136519586009556,-0.09579919762397743,-0.24922645142514024,-0.17308658202155347,-0.253133438606655,-0.14235852835804874,-0.09045231178327354,2.0,Miami/Fort Lauderdale
