Hub Portuario,Date,latitude,longitude,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,Empty Exports_MA,Loaded Exports_MA,Empty Imports_MA,Loaded Imports_MA,Total TEUs_MA,Total Imports_MA,Total Exports_MA,Empty Exports_diff_savgol,Loaded Exports_diff_savgol,Empty Imports_diff_savgol,Loaded Imports_diff_savgol,Total TEUs_diff_savgol,Total Imports_diff_savgol,Total Exports_diff_savgol,Target_B
5.0,2018-10,1.6299940316770722,-1.021196100221785,-0.4597118447922314,-0.4284710356182916,-0.0870063294606054,-0.4265690721520884,-0.3586202610460703,-0.4326746966573641,-0.4626699038274135,-0.4837078057867441,-0.35455639651371196,0.019386221261333103,-0.44513790027364514,-0.3623450296511223,-0.42867700880349774,-0.4607686399176752,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-2.3070644374666953
5.0,2018-11,1.6299940316770722,-1.021196100221785,-0.5309580860155945,-0.2839968923340995,0.0545362665474748,-0.495257346145706,-0.3880883478193113,-0.4701113509382735,-0.4773145266434206,-0.4837078057867441,-0.35455639651371196,0.019386221261333103,-0.44513790027364514,-0.3623450296511223,-0.42867700880349774,-0.4607686399176752,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-2.0716059711643573
5.0,2018-12,1.6299940316770722,-1.021196100221785,-0.4846277657843381,-0.258805138520373,0.0973823241221412,-0.4096416528787991,-0.3285370731292454,-0.3780101171823371,-0.4355539679057273,-0.4837078057867441,-0.35455639651371196,0.019386221261333103,-0.44513790027364514,-0.3623450296511223,-0.42867700880349774,-0.4607686399176752,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-2.2370096163602957
5.0,2019-01,1.6299940316770722,-1.021196100221785,-0.4595335265548123,-0.4469525195820838,0.0126326238363218,-0.449083529917987,-0.3741344366098622,-0.4339118704360163,-0.4675361612941393,-0.4837078057867441,-0.35455639651371196,0.019386221261333103,-0.44513790027364514,-0.3623450296511223,-0.42867700880349774,-0.4607686399176752,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-2.31124366541156
5.0,2019-02,1.6299940316770722,-1.021196100221785,-0.5453748453317819,-0.5561318484423509,-0.0553971036556789,-0.5603888337624043,-0.4879804219825017,-0.5562033214234301,-0.5618229564063402,-0.4960412136957516,-0.39487148689943974,0.004429556277930702,-0.46818808697139697,-0.3874721081173982,-0.4541822713274842,-0.48097950321540817,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-2.0525397687092837
5.0,2019-03,1.6299940316770722,-1.021196100221785,-0.5006345293841794,-0.2361137321703706,0.0866865917955669,-0.4937192763610922,-0.3529606274153925,-0.4619538531379456,-0.4414870117140908,-0.5042257506141412,-0.35640002620985556,0.03916814052916516,-0.48161812781319774,-0.38634018139126264,-0.4600381026236005,-0.47674292479274366,0.018243129037416102,0.018349731575492842,-0.007635834300452655,0.02006478225960389,0.01581130461728468,0.01792153142870321,0.018724779997823245,-2.2840803071917635
5.0,2019-04,1.6299940316770722,-1.021196100221785,-0.4781164483270645,-0.319732280031,-0.0010292352712054,-0.5104669337283049,-0.378688170558312,-0.4964104510632071,-0.4471286506574033,-0.4936574230764353,-0.36354710374923566,0.028055040165429125,-0.48466004532971746,-0.38446014593906275,-0.4652979226485872,-0.4707057495955402,0.004904381947036582,-0.03364134669603162,-0.023168750865846396,-0.012468388343467501,-0.006758691975577871,-0.016921039441627046,-0.00540365830352092,-1.9249270924480686
5.0,2019-05,1.6299940316770722,-1.021196100221785,-0.5070391260781495,-0.4818594789024493,-0.0388989816335584,-0.514011223288224,-0.39497848335777,-0.5077033060364127,-0.5128119185787767,-0.4981396951351975,-0.4081579718256509,0.0007987790142891984,-0.5055339594116025,-0.3977484279847677,-0.4912365604194024,-0.4861573397301501,-0.008678582004713883,-0.027166488576429382,-0.029991383561481507,-0.015094437424724199,-0.00920069385186937,-0.02088751450990464,-0.013896479882750314,-2.4261312141674676
5.0,2019-07,1.6299940316770722,-1.021196100221785,-0.4998618170220299,-0.4323571178209472,-0.113862898489727,-0.4708841310451017,-0.3735611824785471,-0.4813163703108798,-0.4940040780054324,-0.5062053532286411,-0.4052388914734236,-0.02450032545092056,-0.5098940796370255,-0.3976337771585047,-0.5007174603943751,-0.4914509230724087,0.00017331992318843532,0.03410821629398949,-0.008406415735240869,0.005217039784360297,0.013216733974990652,0.0033291623764406587,0.009359785016027074,-1.3839320947853704
5.0,2019-10,1.6299940316770722,-1.021196100221785,-0.5166791180646854,-0.3496197165062687,-0.03978638472035,-0.5227042014521377,-0.4064160608118076,-0.5163371718067987,-0.4843011111177377,-0.5004662077752217,-0.3639364650862072,-0.021378181663854783,-0.502357153174972,-0.3813209049243659,-0.4927442304710488,-0.4759465540146882,-0.0011284032099710259,-0.004711121554013922,-0.009162226443562675,-0.005607395487071025,-0.0056410754628264115,-0.007349307488474385,-0.002125829057490947,-1.8794444360853388
