Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Hub Portuario,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Loaded_to_Total_Imports_Ratio
2018-10,60010.25,74085.5,10454.0,134470.5,333994.55,333994.55,134095.75,47.449354639175255,-122.42877860824744,3.0,3.0,,3.0,,,11.0,80.0,5.0,31.0,0.030974947811,0.010141264052,,0.093475999088,,,0.096342008494,9.1180766478318,0.0241626639151999,4.0460998020336,136.0,Seattle/Tacoma,0.010324982603666667,0.003380421350666667,,0.031158666362666666,,,0.008758364408545454,0.11397595809789748,0.00483253278303998,0.13051934845269678,0.40261285700619964
2018-10,42467.25,78852.55,22335.75,82396.85,226052.4,226052.4,121319.8,37.90095694063927,-122.20986401826484,9.0,5.0,,1.0,6.0,,,74.0,7.0,95.0,20.79400055184,1.03396800878,,0.01543235834,12.412466275124,,,115.93647387829796,22.990025143622,786.9285140326976,197.0,Oakland,2.31044450576,0.206793601756,,0.01543235834,2.0687443791873332,,,1.566709106463486,3.284289306231714,8.28345804244945,0.3645033186995582
2018-10,7040.0,39467.0,14133.0,29024.0,89664.0,89664.0,46507.0,26.14492877245509,-79.93771224550898,19.0,17.0,1.0,,12.0,,69.0,73.0,1.0,180.0,44.73159454376421,7.593602152328,0.001763698096,,8.479860445568,,0.584445456562,164.95625783399805,19.84160358,4620.875673553153,372.0,Miami/Fort Lauderdale,2.3542944496718006,0.4466824795487059,0.001763698096,,0.7066550371306667,,0.008470224008144928,2.2596747648492883,19.84160358,25.67153151973974,0.32369735902926483
2018-10,27342.0,95886.0,9101.0,108653.0,240982.0,240982.0,123228.0,29.602093408239703,-94.66715344569288,1.0,1.0,,,,,,8.0,3.0,10.0,0.040565056208,0.009479877266,,,,,,5.2972010926574,65.616844425846,16.1076122022798,23.0,Houston,0.040565056208,0.009479877266,,,,,,0.662150136582175,21.872281475281998,1.61076122022798,0.4508759990372725
2018-11,40237.75,77285.25,18237.5,83364.1,219124.6,219124.6,117523.0,37.90095694063927,-122.20986401826484,6.0,6.0,,2.0,,,,54.0,10.0,104.0,0.706361087448,3.65526430396,,0.00881849048,,,,78.49887327280375,40.08775541077,804.9435877720275,182.0,Oakland,0.11772684790799999,0.6092107173266667,,0.00440924524,,,,1.4536828383852547,4.008775541077,7.739842190115649,0.38044153874097203
2018-11,420721.75,268301.0,22472.5,742669.65,1454164.9,1454164.9,689022.75,33.804338012958965,-118.37905453563714,9.0,14.0,1.0,2.0,5.0,1.0,,137.0,18.0,76.0,50.431183357024,0.8472364728659998,0.0330693393,0.069666074792,2.625264615896,0.022487150724,,585.0215685450585,131.29962911425616,217.7931474401922,263.0,Los Angeles/Long Beach,5.603464817447111,0.060516890918999984,0.0330693393,0.034833037396,0.5250529231792,0.022487150724,,4.270230427336193,7.294423839680898,2.8656993084235816,0.510719004426527
2018-11,46825.25,83677.25,18301.5,116607.0,319241.85,319241.85,130502.5,47.449354639175255,-122.42877860824744,7.0,3.0,,,,1.0,5.0,82.0,4.0,26.0,0.015542589471,0.008377565956,,,,696.5725630152,0.0335102638239999,361.6524895743625,0.0520511400581999,1.599563941941,128.0,Seattle/Tacoma,0.0022203699244285713,0.0027925219853333332,,,,696.5725630152,0.00670205276479998,4.410396214321494,0.013012785014549975,0.06152169007465384,0.3652622611978975
2018-11,22390.0,89400.0,13233.0,101320.0,226343.0,226343.0,111790.0,29.602093408239703,-94.66715344569288,0.0,1.0,,,,,,10.0,1.0,34.0,,0.01763698096,,,,,,5.324185673526199,11.7285923384,3.4453842305360003,46.0,Houston,0.0,0.01763698096,,,,,,0.5324185673526199,11.7285923384,0.10133483030988236,0.44763920244937994
2018-11,9508.0,39077.0,14477.0,31836.0,94898.0,94898.0,48585.0,26.14492877245509,-79.93771224550898,21.0,14.0,3.0,1.0,10.0,,115.0,71.0,3.0,192.0,57.093332452402,4.816439037914,1.9868499975964,1.27427187436,11.53568785915,,0.6784064726263991,2.8553610787454,0.023809924296,1721.1912302345306,430.0,Miami/Fort Lauderdale,2.718730116781048,0.344031359851,0.6622833325321333,1.27427187436,1.1535687859150001,,0.005899186718490427,0.04021635322176619,0.007936641432,8.964537657471514,0.3354759847415119
2018-12,519461.5,261294.4,22145.4,842003.85,1644905.15,1644905.15,780755.9,33.804338012958965,-118.37905453563714,3.0,22.0,1.0,1.0,5.0,,,147.0,9.0,47.0,11.6514305467,0.9905369431659998,0.00551155655,0.10141264052,0.124120253506,,,297.87335242586965,54.97667427494,37.39635211627399,235.0,Los Angeles/Long Beach,3.8838101822333333,0.045024406507545446,0.00551155655,0.10141264052,0.0248240507012,,,2.026349336230406,6.108519363882222,0.7956670663037019,0.5118859588955631
