Date,Loaded Imports,Empty Imports,Total Imports,Loaded Exports,Empty Exports,Total Exports,Total TEUs,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Computed_Value
2018-10-01,0.7100483528610069,2.233072426451936,0.7820527474773515,2.2810742549643015,-0.2139514331461127,0.3795660926013833,0.6043107518932737,-0.32011674412788105,2.1093309551036974,-0.5801757705296315,-0.6933550887314287,-0.8244770170194025,-0.5855400437691199,-0.34478140858078316,-0.21883906497383873,-0.8769309332373549,-0.7233169488163648,-0.36584694761933667,-0.5243099673384023,-0.28145261713824155,-0.17911815442530019,-0.2045107651192216,-0.2572744200627269,-0.22965353021570564,-0.9442678185498936,-0.44186656488380877,-0.21423149843956807,-0.7755029847463397,-0.11624782593758162
2018-11-01,-0.212531239270966,1.6943599530790716,-0.1660458499815036,1.309922947919262,-0.8760426349003738,-0.5891882387842269,-0.3649414711333061,-0.09146192689368035,0.010880852384470112,0.4811213706831091,0.957490360629116,-0.4911305141813691,0.14638501094227996,-0.7115701411135312,-0.11159548909887516,-0.3590583348688382,-1.1377717357181638,0.08666515952183707,-0.6749941275485871,-0.19681799706267153,-0.13853918158074205,-0.20252709535541863,-0.2572663918465957,-0.38031828595784345,-0.5782356877196264,-0.3933695541862387,-0.21333727565644806,-0.9877608021728765,-0.11624782593758162
2018-12-01,0.6420519418688713,1.595574859436139,0.694961570086874,1.0416068761704866,0.06574925864485298,0.3484719642768697,0.5422139207834261,-0.7774263785962824,0.9435253424819044,0.4811213706831091,0.13206763594884358,-0.4911305141813691,-0.5855400437691199,-0.7115701411135312,-0.06496784741410838,-0.8769309332373549,-1.3001932062607606,-0.3138121294650165,-0.6647968652751233,-0.2673468471256465,-0.12004749775284215,-0.20442478769628586,-0.2572744200627269,-0.38031828595784345,-0.8077264330245028,-0.47151101538433543,-0.22462059828709408,-1.102053473094858,-0.11624782593758162
2019-01-01,-0.11711327123639148,1.5811844292555035,-0.07285195917923042,1.0793884872782056,-0.3907977741407177,-0.13070572550355156,-0.1006492233143584,-0.20578933551078069,0.9435253424819044,-0.5801757705296315,1.7829130853093882,-0.8244770170194025,-0.5855400437691199,-0.5281757748471573,0.25676288021078236,-0.6467653339624586,-1.2721895044430716,2.467143628644915,-0.6586785079110449,-0.28145261713824155,6.586655080578609,-0.20445322380892997,-0.2572744200627269,-0.3694783794391022,-0.6995347703217814,3.412439360941474,-0.22441290098406844,-0.7714211036419832,-0.11624782593758162
2019-02-01,-0.9996204311201431,1.5422411769618432,-0.9660522251948188,0.5264312872073522,-1.255557400739303,-1.2050272801686908,-1.0889971516998478,-0.663098969979182,0.8269447812197251,-0.5801757705296315,0.13206763594884358,-0.5744671398908774,-0.5855400437691199,-0.7115701411135312,0.17283312517820215,-0.9920137328748031,-1.2497865429889201,-0.40554064860226524,-0.5791398621780272,-0.28145261713824155,-0.16242427319177946,-0.2044803217515673,-0.2572744200627269,-0.38031828595784345,-0.3908836069776395,-0.4889976155180143,-0.2251295574793426,-0.8734681312508952,-0.11624782593758162
2019-03-01,-1.9197644824355526,1.8234510208799637,-1.8880785177812363,2.154657505006622,-1.5857672235769724,-1.1242944731209952,-1.5556788599076656,-0.4344441527449814,-0.45544139266424705,0.4811213706831091,0.957490360629116,-0.9078136427289109,-0.5855400437691199,-0.7115701411135312,0.21946076686296892,-0.8769309332373549,-1.3898050520773657,-0.4081042205195783,-0.6416569239622629,0.11350894321441846,-0.17809083865708353,-0.20451896141051312,-0.2572744200627269,-0.38031828595784345,-0.13465121676744235,-0.5084352969656585,-0.22568597946700047,-0.9714332777554506,-0.11624782593758162
2019-04-01,-0.7634916948497846,2.249848678215509,-0.7069862794852089,1.732534355563704,-1.2424119594384688,-0.8690077953661002,-0.790966985852698,1.6234492023628246,0.7103642199575458,2.60371565310859,0.13206763594884358,-0.8244770170194025,-0.5855400437691199,-0.5281757748471573,0.17749588934667884,-0.47414113450628637,-1.3001932062607606,0.5034566468105468,-0.5369545725574975,1.023048993626544,-0.17886132548324601,-0.20451812505425893,-0.2572744200627269,-0.3604285492262081,0.22132749783932915,-0.5049901622697636,-0.19300693749126807,-0.7877486280594092,-0.11624772699226721
2019-05-01,-0.421695673865894,0.16589392606516695,-0.4214923452857142,2.0617735624343827,-1.2779624519769024,-0.8192255030653507,-0.6116753817179896,0.022865481723419987,0.4772030974331873,-0.5801757705296315,-0.6933550887314287,-0.8244770170194025,-0.5855400437691199,-0.34478140858078316,0.405971333602036,-0.01380993595649369,-1.3562006098961388,-0.26410251202042256,3.115703204987663,-0.28145261713824155,-0.17911815442530019,-0.20446710732275034,-0.2572744200627269,-0.35615225582890647,-0.8495803666425342,-0.013351731558915576,-0.22094786595379676,-0.6734559571374277,-0.11624782593758162
2019-06-01,-0.33939400935987035,-0.3393264443269542,-0.3528462767608132,1.4956525383028376,-0.8339747428256904,-0.49453104767667977,-0.423057791022974,0.365847707574721,-0.10569970887770919,1.5424185118958498,-0.6933550887314287,-0.6578037656003858,-0.5855400437691199,-0.34478140858078316,0.1588448326727721,-0.4165997346875623,-1.255387283352458,-0.40486674337355777,-0.641515731100015,-0.2645256931231275,-0.17911815442530019,-0.2044911943828724,-0.2572744200627269,-0.3262679263896244,0.30454753427896447,-0.49648390819967636,-0.22167340414184347,-0.8367312013116869,-0.11624782593758162
2019-07-01,0.1928348919275179,-0.25168525149546767,0.18767889864184006,1.4896498345311622,-0.5479192764978791,-0.1895796261008945,0.014443647644957565,0.022865481723419987,0.1274614136466494,-0.5801757705296315,-0.6933550887314287,-0.5744671398908774,-0.5855400437691199,-0.34478140858078316,1.0307817321779107,-0.4165997346875623,-0.9809510055391046,0.13347425243476424,-0.6286295292055177,-0.28145261713824155,-0.17911815442530019,-0.20394906825887502,-0.2572744200627269,-0.18589610940610807,0.2738271268090396,-0.433447549699405,-0.17664801081136833,0.11842897710772926,-0.11624772699226721
