,Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Hub Portuario,Hub Portuario_name
0,2018-10,-0.8886072696752211,1.7655402537242475,-0.5050855370473012,-0.2992035841980004,-0.27297792294370155,-0.28152367164016273,-0.4533954573251909,0.0,1.4210854715202004e-14,-0.5683606161900107,-0.5247854595860197,0.13012816587160947,-0.4797118144553845,-0.9622002035735086,-0.6284874179439914,-0.5993325917216044,-0.6385869600169597,-0.6207383018966748,-0.940689243494532,-0.30388843930427684,-0.5216432797552457,-0.1427349848801099,1.4681579617029743,-0.7129193525803362,-0.6747820851937556,-0.5404449740480753,-0.690349783232634,-0.2352780085846929,1.983328878150545,-1.8725008825103675,-0.19637908733635684,-0.30216581007439053,-0.19328790323504486,0.5127378756757723,-0.3562962786963166,-0.4258347002163838,1.6286389261340026,-0.524266142646067,-0.20702722356104963,6.4048775521062105,0.0,Newark/New York
1,2018-11,-1.4197780665131368,0.27791687047260866,-0.05288780330885433,-1.1461779340325662,-1.042957271615017,-0.7806987493767998,-1.3412811310414332,0.0,1.4210854715202004e-14,-0.5683606161900107,-0.530249698024025,1.6088573235035353,-0.4499726955232025,-0.8234213280580986,-0.7490412704907928,-0.5814213929731503,-0.6283913193567634,-0.5810942150596746,-0.8168799744834785,-0.11797939804443178,-0.28664393530974386,1.696542715891066,-0.2475462534024593,-0.7528757886038145,-0.7222172223448035,-0.601119967298646,-0.6840097970656391,-0.23627791621227545,-0.9237059357692028,-1.4282503162657918,-0.03622942241099119,-0.0002539732017672332,0.12732040411969214,-0.1484228013702151,-0.8894216004932647,-0.509518134127223,-0.09700381506298998,-0.4355548417282329,-0.21068409818006198,-0.32836767416491314,0.0,Newark/New York
2,2018-12,-1.172381179316829,0.32748172842958395,-0.6723309827091779,-0.798518460596131,-0.7804596345726631,-0.5776680096505052,-1.083791937381063,0.0,1.4210854715202004e-14,-0.7583207151839981,-0.5275175788050224,0.2780010816348021,-0.48565963824182096,-0.800291515472197,-0.8695951230375942,-0.5348522762271697,-0.6029022177062727,-0.6868117799583419,-0.9038599039785857,-0.35548398002061965,-0.13455905610578672,0.7748914835987335,-0.3725392656168463,-0.7518189611716334,-0.7447657979456301,-0.30532937520211345,-0.6873148938806093,-0.24045400100982614,-1.0358690096860936,-1.7110841222557338,-0.1956427407804597,0.17913348129120363,0.3328093498397984,-0.10347029027261907,-0.8904766659252003,-0.66116160100532,1.227844483017288,-0.5035040952396763,-0.20878178461562627,-0.3972693219455223,0.0,Newark/New York
3,2019-01,-0.9996080733632229,-0.06884352249982387,-0.7450086782594733,-0.5740173444140707,-0.6452388800303828,-0.44425001596245944,-1.0085059953039863,0.0,1.4210854715202004e-14,-0.6443446557876057,-0.5056606250530016,-0.46136349718116093,-0.49160746202825734,-0.8465511406440003,-0.8695951230375942,-0.14797038326056186,-0.5927065770460764,-0.5150207369980075,-0.6554577629880542,-0.3465012210893255,0.17630608383321442,-0.39268364224592894,-0.5080912841531958,-0.6311018028448728,-0.7447657979456301,0.5340080314307821,-0.6781389014074684,-0.22612199168114278,-0.8942684400937447,-0.8863828743369634,-0.22276297932813768,0.46370140870601845,-0.3454469996223119,-0.14956969579733737,-0.20109691269846597,-0.66116160100532,0.49007981309661736,-0.44713886249410356,-0.20610377037443037,-0.45421538451904975,0.0,Newark/New York
4,2019-02,-1.1647838961646226,0.07878618137593259,6.0038467801531565,-1.2874972724222122,-1.0292098453865346,5.438340046908789,-1.1365813315760938,0.0,1.4210854715202004e-14,-0.701332685485802,-0.47833943286297553,-0.6092364129443535,-0.49160746202825734,-0.8928107658158035,-0.6284874179439914,-0.43454956323582694,-0.6029022177062727,-0.5546648238350078,-0.7424376924831615,4.237390318194912,-0.18357181310199777,-0.40301616548349234,0.469846273967203,-0.726025206894672,-0.7180192386845574,-0.40898248867183845,-0.6855753204055354,-0.22253800904737628,-0.9494383039932873,-1.1818570914770092,7.690227729253401,-0.018335721284797202,-0.38312790792576246,0.530808650959942,-0.6747689178859023,-0.5712237476080338,-0.11453574421884355,-0.4900093090131308,-0.20079699272865825,-0.44830704648526143,0.0,Newark/New York
5,2019-03,-1.2732049370377008,1.6935163195055178,-0.5013049841723359,-1.5687010074821743,-1.030424064170188,-1.070198220883201,-0.8524626125522161,0.0,1.4210854715202004e-14,-0.6253486458882069,-0.5220533403670171,0.13012816587160947,-0.48565963824182096,-0.9853300161594102,-0.8695951230375942,-0.1802105410077792,-0.50094581110431,-0.6735970843460085,-0.6993395292198201,-0.2534505256717199,0.37807924129339243,-0.3946517419102267,-0.4241978092663698,-0.6884152860172229,-0.7447657979456301,-0.017123157261903173,-0.6740682086415497,-0.2396697597332908,-1.030566394846326,-0.9807473117584149,-0.12402918162390456,0.7794888404938335,-0.37702718943853725,-0.1274304802542814,0.1375897175111755,-0.66116160100532,-0.04962564647012976,-0.4832548400799355,-0.20875100284273898,-0.5814349716675804,0.0,Newark/New York
6,2019-04,-1.1832682517467823,1.8167508198555755,-0.32999153899261185,-1.2358842124550593,-0.8229264220314556,-0.8455728381082912,-0.7333342332144073,0.0,1.4210854715202004e-14,-0.7203286953852007,-0.6695877781931577,-0.46136349718116093,-0.47376399066894814,-0.7077722651285904,-0.6284874179439914,-0.5312700364774788,-0.4346741468130343,-0.6471676931213417,-0.6499725422090835,-0.34261310170088,0.7089450528699299,-0.3592259479528666,0.022813900641686848,-0.5102753793090221,-0.6044866409819618,-0.5581418470794918,-0.628612066168701,-0.22606317358540262,-0.9520675639236841,-1.0850129508440294,-0.19085723729288825,3.245310695147791,-0.22343262987780532,-0.03201333648650793,-0.06372986034005525,-0.1894595726978756,-0.2330394043194009,-0.40850628017680035,-0.18604636716105963,-0.5215929800441915,0.0,Newark/New York
7,2019-05,-1.3046591093407613,1.9139444085055817,-0.5311864407801103,-0.27503378461303474,-0.42734834830275265,-0.26824501113304583,-0.8302008929361608,0.0,1.4210854715202004e-14,-0.701332685485802,-0.6969089703831837,-0.3134905814179683,-0.5035031096011302,-0.7771617028862954,-0.7490412704907928,-0.6208260302197492,-0.577413116055782,-0.5810942150596746,-0.6343004828405958,-0.31895137230291437,0.040005210451472935,-0.40104806581919455,-0.5804132452625288,-0.4867511171618462,-0.6995647362573371,-0.6466262122365739,-0.6669137664898676,-0.2237104497557966,-0.5329402918402686,-1.1595727689142648,-0.15981108622092874,2.172371337299827,-0.3795392499921005,-0.19988609475882824,0.24459612350582013,-0.35717584942941133,1.012032090569823,-0.4025526826971512,-0.19884542832760282,-0.08480355766037678,0.0,Newark/New York
8,2019-06,-0.9352796758314555,0.9795693909260399,-0.2981824847690071,-1.148823607827581,-0.7636149214468955,-0.7888804804972998,-0.690360660537849,0.0,1.4210854715202004e-14,-0.6253486458882069,-0.612213274594103,-0.46136349718116093,-0.49160746202825734,-0.730902077714492,-0.5079335653971899,-0.6208260302197492,-0.613097858366469,-0.6471676931213417,-0.6319496739353226,-0.30456889088970335,2.373009765318525,0.05555105629789218,0.6959660512298973,-0.44727592572047986,-0.5823285324145434,-0.6567387111116691,0.0987808324027442,-0.2402712727923934,-0.6204225940783717,-1.1077951479849037,-0.18007430507880656,4.99630185933845,1.2891866891607104,0.6881264663415405,0.2310277290378347,-0.2970210815715205,-0.42671719241327877,6.955385035846433,-0.21281468937222997,-0.18080269418987074,0.0,Newark/New York
9,2019-07,-0.43362231229821746,0.5296134147853737,-0.2073836410389889,-0.3581707204767199,-0.22887502712388466,-0.309267368643732,-0.3017668459740727,0.0,1.4210854715202004e-14,-0.5683606161900107,-0.6313381091271213,-0.3134905814179683,-0.49755528581469377,-0.7540318903003936,-0.6284874179439914,-0.6208260302197492,-0.5876087567159783,-0.6339529975090082,-0.805909532925537,-0.27064913132117996,0.28041214389527125,-0.09254844344051633,-0.5793800743895383,-0.5305658689292533,-0.7240746222934891,-0.6339855886427052,-0.6214051013120853,-0.22735717169168596,-0.8082173134734809,-1.5281433767351025,-0.16774538560904995,1.553846928959605,0.1829828811094116,-0.19844848335992848,-0.016588631415030346,-0.5915855518299719,2.8104686942987005,-0.10715633220756977,-0.19308308044309855,-0.16909498384645866,0.0,Newark/New York
